"anne_page::careful";"hugh_evans::careful"
"john_chester::strange";"mr_varden::strange"
"john::kind";"john::sad"
"john::kind";"john::strange"
"john::kind";"mr_varden::kind"
"john::kind";"mr_varden::sad"
"john::kind";"mr_varden::strange"
"john::sad";"john::strange"
"john::sad";"mr_varden::kind"
"john::sad";"mr_varden::sad"
"john::sad";"mr_varden::strange"
"john::strange";"mr_varden::kind"
"john::strange";"mr_varden::sad"
"john::strange";"mr_varden::strange"
"mr_varden::kind";"mr_varden::sad"
"mr_varden::kind";"mr_varden::strange"
"mr_varden::sad";"mr_varden::strange"
"dennis::good";"john::good"
"john_chester::amusing";"john::amusing"
"john_chester::amusing";"varden::amusing"
"john::amusing";"varden::amusing"
"gabriel::honest";"john::honest"
"gabriel::honest";"varden::honest"
"john::honest";"varden::honest"
"gabriel::successful";"john::successful"
"john::firm";"john::little"
"john::firm";"varden::firm"
"john::firm";"varden::little"
"john::little";"varden::firm"
"john::little";"varden::little"
"varden::firm";"varden::little"
"john::rough";"varden::rough"
"chester::plain";"hugh::plain"
"chester::plain";"john::plain"
"hugh::plain";"john::plain"
"john_chester::#-angry";"john_chester::good-natured"
"john_chester::#-angry";"john_chester::natural"
"john_chester::#-angry";"john::#-angry"
"john_chester::#-angry";"john::good-natured"
"john_chester::#-angry";"john::natural"
"john_chester::#-angry";"varden::#-angry"
"john_chester::#-angry";"varden::good-natured"
"john_chester::#-angry";"varden::natural"
"john_chester::good-natured";"john_chester::natural"
"john_chester::good-natured";"john::#-angry"
"john_chester::good-natured";"john::good-natured"
"john_chester::good-natured";"john::natural"
"john_chester::good-natured";"varden::#-angry"
"john_chester::good-natured";"varden::good-natured"
"john_chester::good-natured";"varden::natural"
"john_chester::natural";"john::#-angry"
"john_chester::natural";"john::good-natured"
"john_chester::natural";"john::natural"
"john_chester::natural";"varden::#-angry"
"john_chester::natural";"varden::good-natured"
"john_chester::natural";"varden::natural"
"john::#-angry";"john::good-natured"
"john::#-angry";"john::natural"
"john::#-angry";"varden::#-angry"
"john::#-angry";"varden::good-natured"
"john::#-angry";"varden::natural"
"john::good-natured";"john::natural"
"john::good-natured";"varden::#-angry"
"john::good-natured";"varden::good-natured"
"john::good-natured";"varden::natural"
"john::natural";"varden::#-angry"
"john::natural";"varden::good-natured"
"john::natural";"varden::natural"
"varden::#-angry";"varden::good-natured"
"varden::#-angry";"varden::natural"
"varden::good-natured";"varden::natural"
"john::good";"varden::good"
"john::anxious";"john::difficult"
"barnaby::firm";"mary_rudge::firm"
"barnaby::busy";"barnaby::proud"
"barnaby::young";"hugh::young"
"barnaby::bold";"hugh::bold"
"barnaby_rudge::distinguished";"hugh::distinguished"
"mansfield::bright";"mansfield::helpless"
"mansfield::bright";"mansfield::sad"
"mansfield::bright";"mansfield::strange"
"mansfield::helpless";"mansfield::sad"
"mansfield::helpless";"mansfield::strange"
"mansfield::sad";"mansfield::strange"
"willet::bright";"willet::kind"
"edward::#-proud";"edward::employed"
"edward::#-proud";"edward::short"
"edward::#-proud";"edward::well"
"edward::employed";"edward::short"
"edward::employed";"edward::well"
"edward::short";"edward::well"
"joe::honest";"joe::kind"
"joe::honest";"joe::little"
"joe::kind";"joe::little"
"dolly::pretty";"dolly::weak"
"dolly::pretty";"joe::pretty"
"dolly::pretty";"joe::weak"
"dolly::weak";"joe::pretty"
"dolly::weak";"joe::weak"
"joe::pretty";"joe::weak"
"joe::gentle";"joe::old"
"joe::gentle";"joe::patient"
"joe::gentle";"joe::young"
"joe::patient";"joe::young"
"edward::faithful";"edward::poor"
"edward::loud";"haredale::loud"
"barnaby_rudge::good";"barnaby_rudge::poor"
"barnaby::grateful";"gabriel::grateful"
"barnaby::grateful";"mr_haredale::grateful"
"gabriel::grateful";"mr_haredale::grateful"
"gabriel_varden::giving";"gabriel_varden::good"
"joe::confused";"joe::little"
"joe::confused";"mrs_varden::confused"
"joe::confused";"mrs_varden::little"
"joe::little";"mrs_varden::confused"
"joe::little";"mrs_varden::little"
"mrs_varden::confused";"mrs_varden::little"
"dolly::extraordinary";"joe::extraordinary"
"dolly::extraordinary";"mrs_varden::extraordinary"
"joe::extraordinary";"mrs_varden::extraordinary"
"mrs_varden::great";"mrs_varden::motherly"
"dolly::little";"dolly::young"
"dolly::little";"willet::little"
"dolly::little";"willet::young"
"dolly::young";"willet::little"
"willet::little";"willet::young"
"dolly::open";"dolly::opened"
"dolly::open";"joe::open"
"dolly::open";"joe::opened"
"dolly::opened";"joe::open"
"dolly::opened";"joe::opened"
"joe::open";"joe::opened"
"miggs::little";"miggs::young"
"miggs::good";"miggs::loud"
"haredale::courteous";"john::courteous"
"john::great";"john::unlucky"
"george_gordon::fine";"george_gordon::good"
"john::beautiful";"john::religious"
"john::beautiful";"john::romantic"
"john::religious";"john::romantic"
"gashford::employed";"gashford::exhausted"
"gashford::old";"gashford::poor"
"dolly_varden::little";"joe_willet::little"
"joe::famous";"joe::great"
"joe::famous";"joe::youthful"
"joe::great";"joe::youthful"
"joe::hard";"joe::old"
"phil_parkes::old";"solomon_daisy::old"
"phil_parkes::old";"tom_cobb::old"
"solomon_daisy::old";"tom_cobb::old"
"joe::old";"willet::short"
"joe::short";"willet::old"
"joe::short";"willet::short"
"willet::old";"willet::short"
"joseph::good";"willet::good"
"barnaby::happy";"barnaby::old"
"barnaby::happy";"barnaby::popular"
"barnaby::happy";"barnaby::young"
"barnaby::old";"barnaby::popular"
"barnaby::old";"barnaby::young"
"barnaby::popular";"barnaby::young"
"dolly::old";"edward::old"
