"accessible" "accomplished" "accurate" "active" "affable" "affectionate" "agreeable" "amiable" "anxious" "audacious" "bashful" "benevolent" "bitter" "bold" "brave" "bright" "brisk" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "civil" "clever" "clumsy" "coarse" "cold" "complimentary" "confident" "confused" "considerate" "constant" "conventional" "conversational" "cool" "cordial" "cruel" "curious" "deep" "deliberate" "dependent" "despondent" "determined" "direct" "dissatisfied" "distant" "doleful" "dull" "eager" "earnest" "elegant" "emphatic" "exact" "expressive" "faithful" "fearful" "fierce" "firm" "foolish" "frank" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impartial" "impatient" "independent" "indifferent" "ingenious" "insolent" "intimate" "irresolute" "jealous" "kind" "lively" "loud" "lucid" "magnanimous" "maternal" "methodical" "mild" "modest" "moral" "musical" "narrow" "natural" "negative" "obliging" "observant" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "polished" "polite" "political" "practical" "precise" "prejudiced" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "refined" "resentful" "reserved" "responsible" "rigid" "rough" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "severe" "shallow" "shrewd" "shy" "silent" "simple" "slow" "social" "solemn" "solicitous" "spirited" "steady" "stern" "strict" "submissive" "sullen" "tender" "thorough" "thoughtful" "tight" "timid" "tough" "transparent" "treacherous" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "wise" "worldly" "womanly" "suspicious" "wishful"
"hearty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 2 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 2 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 3 0 0 2 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0
"honest" 0 0 1 1 1 1 3 1 5 0 0 2 0 0 0 4 0 1 0 1 1 1 3 1 1 0 0 0 3 0 0 0 0 1 0 0 0 3 4 3 2 0 1 0 1 0 0 1 0 1 0 1 1 0 0 1 3 2 0 0 0 0 3 0 2 0 2 1 0 1 0 0 2 0 2 0 1 1 1 0 0 1 0 1 0 1 3 0 2 0 0 1 1 1 0 0 0 1 3 0 0 0 1 3 0 3 0 0 1 2 0 1 0 1 0 0 0 2 2 0 1 6 0 0 1 0 0 1 0 2 0 0 0 1 0 0 0 1 2 6 0 1 1 0 0 0 1 0 0 0 0 0 1 1 2 0 1 0 0 1 0 1 0 0 2 0 1 0 0 0 0 0
"humble" 0 0 0 1 1 0 3 0 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 1 2 2 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 2 0 1 0 0 0 0 2 1 0 0 0 0 3 1 1 0 0 0 0 1 1 0 0 1 3 0 0 0 2 5 0 0 0 0 0 2 0 0 0 1 0 0 1 0 3 1 5 1 0 0 0 0 1 1 0 0 0 0 2 0 1 0 1 0 1 0 1 0 2 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 2 1 0
"ignorant" 0 1 0 0 0 1 1 0 3 0 1 0 1 0 0 4 0 1 0 3 0 0 4 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 1 0 1 0 0 1 0 2 2 0 1 0 1 0 0 0 3 0 1 1 2 0 2 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 2 1 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
"immovable" 0 0 0 1 0 0 0 1 1 0 0 0 0 0 2 3 0 2 0 0 1 0 3 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 1 3 0 1 0 0 0 0 1 2 2 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 0 0 2 0 1 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 2 1 1 0 0 1 3 0 1 0 0 1 0 0 0 0 0
"impartial" 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"impatient" 2 0 0 0 0 2 2 1 2 0 0 1 1 0 0 3 0 1 0 2 0 0 3 1 0 1 0 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 1 0 0 2 0 0 0 1 0 0 0 2 0 0 2 0 1 0 1 0 1 0 2 2 0 3 0 0 1 1 0 2 2 2 0 0 0 0 1 0 0 0 3 1 1 0 0 0 0 0 0 1 0 0 2 0 0 1 1 2 0 0 0 0 0 1 1 2 0 0 0 0 1 2 2 0 2 3 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 3 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0
"independent" 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"indifferent" 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 1 0 2 0 0 1 0 0 1 1 0 2 0 0 1 1 1 0 1 0 0 0 0 0 0 2 0 1 2 0 0 1 0 0 0 1 1 1 2 1 1 2 2 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 2 1 0 0 1 1 1 0 2 0 1 0 2 4 0 1 0 0 0 0 0 1 0 1 0 0 1 0 3 0 1 3 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 2
"ingenious" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 4 0 1 0 1 0 1 4 0 0 0 0 0 2 0 0 0 0 1 1 0 0 1 0 2 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 1 0 0 1 0 1 0 0 0 1 0 0 2 1 1 1 0 0 0 0 1 1 0 0 5 0 0 0 3 3 0 3 1 0 0 2 1 1 1 3 1 0 0 1 1 0 4 2 1 0 0 0 2 0 1 1 0 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 0
"insolent" 0 0 1 0 1 2 1 3 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"intimate" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 1 0 0 1 1 2 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"irresolute" 0 0 0 0 0 0 1 2 1 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"jealous" 1 0 0 0 1 0 0 0 2 0 0 1 0 0 1 2 0 0 0 2 1 0 4 1 0 0 0 0 3 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 2 0 1 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 3 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 2 1 1 1 0 1 0 0 0 2 0 0 0 1 1 0 1 0 0 1 0 0 0 1 4 1 2 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 3 1 2 0 0 0 0
"kind" 0 0 1 1 3 2 4 2 6 0 1 1 1 0 0 10 0 2 1 4 0 0 12 1 1 2 1 1 8 0 2 1 1 1 0 0 2 1 5 2 1 2 1 1 2 1 1 2 0 4 1 2 1 2 1 5 2 0 1 1 0 1 2 0 3 2 4 2 1 8 0 3 0 3 3 0 0 0 3 2 2 2 1 0 1 0 0 1 1 0 1 0 0 1 2 1 0 0 7 0 1 0 3 6 2 1 2 1 0 6 1 2 0 2 0 1 0 7 4 1 4 13 1 0 0 0 2 1 1 0 0 2 0 4 2 1 0 1 0 2 1 2 3 0 0 2 2 3 0 3 2 1 0 0 2 1 0 0 0 2 0 1 2 0 4 2 2 2 0 1 1 0
"lively" 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 4 2 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 1 1 0 1 4 0 1 0 0 0 0 1 0 0 0 1 2 0 1 0 1 0 0 1 0 2 0 0 0 1 0 1 0 0 0 3 0 0 0 1 4 0 0 1 0 0 1 0 0 1 0 0 1 0 0 2 0 3 1 0 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 4 1 0 0 0 1 1 0 1 1 3 0 1 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"loud" 1 0 0 0 0 0 1 2 2 0 0 2 0 1 1 4 0 1 0 0 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 1 1 2 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 2 0 1 0 0 1 0 0 0 2 2 0 1 0 0 1 2 1 0 0 0 1 1 0 1 1 0 2 0 1 2 0 0 0 0 0 1 0 1 0 0 2 0 0 0 3 2 0 0 0 0 1 1 1 0 0 2 0 1 1 1 3 0 4 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 3 1 2 0 0 0 0 2 0 1 0 0 1 0 2 2 2 0 0 0 0 2 0 1 0 0 0 1 1 1 0 0 0
"lucid" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0
"magnanimous" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"maternal" 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 2 0 1 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"methodical" 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mild" 0 0 0 0 1 1 0 1 3 0 1 0 0 0 0 0 1 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 2 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0
"modest" 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 2 1 0 0 2 0 0 1 1 1 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 1 0 1 0 0 2 0 0 0 0 0 2 1 0 0 0 0 0 3 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 2 1 0 0 1 0 1 2 0 1 0 0 1 0 0 0 0 3 0 1 1 0 0 2 0 0 1 1 2 0 0 0 2 1 0 4 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 2 0 1 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 1 0 1 0 2 1 1 1 0
"moral" 0 2 0 0 1 2 0 2 2 0 0 1 0 0 0 1 0 1 0 4 0 0 5 1 0 1 0 0 2 0 0 0 0 0 2 1 3 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 2 0 3 0 0 0 2 1 0 0 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 2 0 1 0 0 2 0 1 0 0 0 2 1 2 0 0 2 0 1 2 2 0 3 3 2 0 0 0 1 1 1 0 0 0 1 0 1 0 0 1 1 0 2 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 2 1 1 1 0 1 1 0 0 1 0
"musical" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1
"narrow" 2 0 0 1 0 0 1 2 3 0 0 1 0 1 2 8 0 1 0 1 0 1 9 2 0 3 1 1 4 1 0 0 1 0 0 1 0 0 1 2 4 0 0 0 0 0 0 2 3 4 1 1 0 0 0 0 0 1 1 1 0 1 0 1 2 0 0 3 0 3 1 0 1 1 1 0 2 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 1 2 0 0 0 0 3 0 0 1 1 0 1 1 3 4 0 2 2 0 0 1 0 0 0 3 2 1 0 0 0 1 0 0 0 2 4 1 1 2 0 0 0 1 0 0 0 0 0 0 1 3 2 0 1 1 1 0 2 1 0 2 2 2 1 0 0 0 0
"natural" 2 2 1 1 1 5 6 1 3 0 2 1 3 0 0 7 1 1 1 5 2 0 14 3 0 4 1 1 5 0 1 2 0 0 3 0 3 1 5 4 3 1 2 1 1 3 0 3 1 4 0 5 1 0 2 0 5 0 0 2 1 2 2 0 2 1 2 2 4 3 2 2 2 3 3 3 0 1 2 1 2 5 1 0 0 3 7 3 2 0 1 1 0 0 1 2 2 2 0 1 0 2 2 9 0 4 2 0 0 6 1 3 0 2 3 1 0 3 6 0 7 10 2 0 1 2 4 0 2 0 0 0 0 0 3 2 1 2 1 2 5 9 0 0 2 1 3 1 2 2 1 3 2 4 3 5 1 0 0 1 2 1 0 2 2 2 4 4 3 1 0 1
"negative" 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"obliging" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 4 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"observant" 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"original" 0 0 0 2 0 1 2 0 2 0 0 0 0 1 1 3 0 0 0 1 0 1 8 0 1 0 0 0 3 0 0 0 1 2 0 1 0 0 1 2 2 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 2 0 0 0 0 0 0 1 1 1 2 2 0 6 0 0 0 1 2 0 0 0 1 0 2 3 0 2 0 1 3 1 3 0 1 2 0 0 0 0 0 2 2 1 0 0 0 6 2 2 2 2 0 2 2 2 0 5 1 1 1 1 3 1 3 4 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 2 0 3 1 1 0 0 1 0 1 2 1 3 0 0 0 0 0 0 0 1 1 0 0 0 2 0 1 2 3 1 0 0
"particular" 1 0 1 4 1 3 4 2 3 0 1 0 1 2 1 4 0 0 0 3 2 1 8 1 0 2 0 1 2 0 0 1 1 4 1 1 1 1 2 0 3 3 1 1 1 1 0 4 1 5 0 2 1 2 0 2 2 1 0 0 1 1 1 0 1 3 1 2 0 5 0 0 1 3 5 1 1 0 2 3 4 3 0 1 1 2 6 4 2 1 1 2 0 1 3 2 1 1 9 3 0 1 6 0 0 2 0 0 0 6 2 2 2 2 3 1 0 1 4 0 7 7 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 4 5 5 0 1 2 0 2 3 2 2 0 3 1 0 0 1 0 0 1 1 0 2 3 2 2 0 3 3 2 0 1 3
"passionate" 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 3 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 1 0 0 0 0 0 1 1 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 3 0 0 0 2 0 0 0 0 3 1 2 1 1 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 1 0 1 0 1 0 0 0 0 0
"patient" 0 0 0 1 0 1 1 0 2 0 0 0 0 1 0 2 0 0 0 2 0 1 6 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 3 1 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 1 3 1 0 0 0 0 1 0 0 2 0 0 1 2 0 0 1 3 0 0 0 0 0 0 1 3 0 1 0 1 1 0 0 0 0 1 0 1 1 1 2 0 4 0 0 0 2 2 0 0 1 0 0 2 0 0 1 3 1 0 0 2 1 0 1 4 1 0 0 0 1 0 3 1 0 0 0 0 0 0 0 1 1 3 3 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 1 0 1 0 1 2 2 1 1 0 0 0 1
"peaceful" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 2 0 1 1 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0
"pious" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"placid" 0 1 0 1 0 0 0 0 2 0 0 1 0 0 0 2 0 3 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 2 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 4 1 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
