"abrupt" "active" "affected" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bashful" "benevolent" "bitter" "bold" "boyish" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "cold" "compassionate" "complacent" "conciliatory" "confident" "confused" "considerate" "constant" "contrary" "cool" "cordial" "cruel" "curious" "deep" "demonstrative" "determined" "distant" "dreamy" "dull" "eager" "earnest" "exact" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "firm" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "girlish" "gloomy" "graceful" "gracious" "harsh" "hasty" "haughty" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "impetuous" "indifferent" "inexperienced" "ingenious" "intimate" "jealous" "kind" "lazy" "lively" "loud" "loving" "masculine" "meek" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "nervous" "observant" "orderly" "original" "particular" "passionate" "patient" "peaceful" "pious" "placid" "pleasant" "pliant" "polished" "polite" "practical" "profound" "proper" "prophetic" "proud" "prudent" "punctual" "quick" "quiet" "reasonable" "rebellious" "reliant" "religious" "reproachful" "respectful" "restless" "rigid" "rough" "rude" "rugged" "selfish" "sensitive" "serene" "serious" "severe" "shy" "silent" "simple" "sincere" "slow" "solemn" "spirited" "stable" "steady" "stern" "stormy" "strict" "submissive" "sullen" "sunny" "suspicious" "systematic" "tender" "thoughtful" "thoughtless" "tight" "timid" "unaffected" "undisciplined" "unreasonable" "vague" "vain" "violent" "warm" "wild" "vigorous" "wise" "worldly"
"impatient" 0 0 0 0 0 0 3 0 0 0 0 2 0 0 4 0 0 1 0 0 0 3 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 1 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 1 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"impetuous" 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"indifferent" 1 1 2 1 0 1 1 0 2 0 0 3 1 0 1 0 0 0 1 0 0 4 1 1 1 0 1 0 0 0 0 0 0 2 0 0 1 0 2 1 0 0 1 0 0 0 3 1 0 1 0 0 0 0 0 0 1 1 0 1 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 1 0 0 0 2 0 0 1 2 0 0 0 1 2 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 5 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 1 2 0 1 0 0 0 1 1 2 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 1 1 1 0 1
"inexperienced" 0 0 0 3 1 0 0 1 0 0 0 0 1 0 3 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 1 0 2 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 2 0 1 0 0 2 0 1 0 0 1 2 2 0 0 1 1 0 0 2 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 1 1 1 1 1 0 0 1 1 0 1 1
"ingenious" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 2 1 0 0 0 0 0 0 2 0 1 1 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
"intimate" 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 2 0 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"jealous" 0 0 0 1 3 1 1 0 0 0 2 1 0 1 3 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 3 1 0 0 1 1 0 1 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1
"kind" 0 2 1 5 6 3 3 0 0 0 0 2 1 0 8 0 2 2 0 2 1 11 6 4 0 1 5 0 0 0 0 0 2 1 1 0 0 4 4 3 1 0 3 1 4 0 4 2 1 2 2 2 2 0 0 5 0 6 1 2 1 6 0 3 1 2 1 0 1 4 3 1 2 0 0 1 2 0 2 2 1 0 1 2 0 2 1 0 0 0 3 1 1 1 7 5 0 1 3 5 2 3 0 0 0 6 0 0 0 1 1 4 0 2 0 0 1 8 0 0 0 0 2 2 2 0 8 0 0 1 2 0 5 1 0 10 2 1 2 4 2 0 3 1 1 0 0 0 0 0 1 1 1 3 0 3 0 0 1 2 1 1 1 6 1 3 3
"lazy" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 1 0 1 2 1 0 0 1 0 0 0 0 0 0 1 1 4 1 0 1 0 0 0 2 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 2 0 1 2 0 0 0 1 0 0 1 1 0 1 0 0 2 0 0 0 0 0 1 0 0 2 0 0 2 2 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 1 0 1 0 0 0
"lively" 0 0 0 0 1 1 2 1 1 0 0 0 0 0 3 0 0 1 0 0 0 5 2 1 0 0 2 0 0 0 0 2 1 2 1 0 0 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 1 2 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 1 2 1 0 1 0
"loud" 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 1 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 1 0
"loving" 0 0 0 1 1 0 1 0 0 0 0 1 0 0 2 0 2 0 1 0 0 2 1 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 3 0 1 0 0 0 3 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 5 1 0 0 0 1 1 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0
"masculine" 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
"meek" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0
"mercenary" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1
"merry" 0 0 0 1 0 1 3 0 0 0 0 1 0 0 3 0 1 0 0 1 0 0 3 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 3 0 0 0 0 1 0 0 0 0 0 2 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 1 0 0 0 1 1 1 1 1 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1
"mild" 1 0 0 1 0 3 1 0 0 0 1 2 1 0 2 0 2 0 0 0 0 6 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 2 0 1 1 0 0 1 0 0 0 0 3 0 1 1 1 0 0 0 2 0 0 1 1 0 0 2 1 1 0 2 1 1 0 1 3 0 0 0 0 0 1 1 0 0 0 0 1 5 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 2 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 2 0 1 0 2 0 2 4 0 2 0 1 1 1 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 1 1 1 2 0 0 3 1
"modest" 0 0 1 1 0 0 2 0 1 0 0 3 0 0 4 1 3 1 0 1 0 2 2 1 0 2 1 0 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 1 1 4 0 0 2 0 0 0 0 0 1 0 1 0 0 0 3 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 2 3 0 0 1 1 0 0 0 0 1 0 3 3 2 0 0 0 1 0 0 0 0 1 0 0 1 1 3 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 1 0 0 1 0 1 0 0 0
"moral" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"narrow" 0 0 0 0 2 1 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 4 0 1 0 0 2 0 0 0 0 1 0 0 0 0 1 0 1 2 1 1 0 0 3 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 1 0 0 1
"natural" 1 1 1 4 13 4 4 1 1 1 0 3 3 0 14 0 4 3 2 0 2 11 7 1 0 4 5 1 1 1 0 2 0 1 2 1 3 4 0 4 0 1 5 0 6 0 5 1 1 3 0 0 1 0 3 3 0 5 1 2 0 7 0 2 1 4 0 0 1 1 3 2 1 1 1 2 2 2 0 0 3 7 2 2 1 1 0 2 1 2 5 2 2 2 0 4 2 3 4 11 2 1 2 0 3 7 1 0 0 1 2 1 0 4 2 0 6 11 2 0 0 0 3 3 0 1 3 0 1 0 1 1 5 1 0 8 8 1 5 1 3 1 2 2 1 1 0 0 0 1 0 2 6 3 2 3 2 1 1 1 1 1 4 2 0 4 3
"nervous" 0 1 0 0 2 1 0 1 0 0 0 1 0 0 3 0 0 1 0 0 0 4 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 5 0 2 0 0 0 1 0 0 0 0 0 0 4 0 0 0 1 1 0 1 0 0 2 3 0 0 0 3 1 1 1 0 1 0 1 3 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 1 3 0 2 0
"observant" 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 2 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0
"orderly" 0 1 0 0 0 0 0 0 1 0 0 1 0 0 3 0 2 1 0 1 0 2 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 0 0 2 0 0 0 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 0 1 0 0 0
"original" 0 0 0 2 0 2 0 0 0 1 1 1 0 0 2 0 1 0 1 1 0 2 2 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 2 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 1 3 0 1 0 0 0 0 1 1 0 0 0 1 4 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 4 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 2 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 2 0 0 1 0
"particular" 0 1 2 3 5 2 4 0 1 0 0 1 1 0 9 1 2 1 2 1 1 8 3 3 1 4 3 1 1 0 2 0 2 3 0 2 2 2 0 2 1 1 5 1 3 1 3 1 2 0 0 0 2 0 1 1 0 5 1 2 1 4 1 3 0 0 0 0 0 2 3 0 1 2 2 1 2 2 1 1 1 5 1 2 0 1 0 0 2 0 1 2 2 1 11 1 1 0 1 0 1 2 1 2 0 7 1 0 0 3 1 0 0 8 2 1 2 11 2 1 0 0 1 0 1 0 2 0 1 2 2 0 4 0 1 2 2 2 2 1 0 1 2 0 0 1 0 2 0 2 1 2 2 0 2 2 1 2 0 1 2 0 1 3 1 3 3
"passionate" 0 0 1 0 1 0 1 0 0 0 1 0 0 0 4 0 2 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 0 1 1 2 0 0 0 1 0 0 0 1 0 0 1 2 0 0 0 0 1 1 0 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
"patient" 0 0 0 1 1 1 2 0 0 1 0 0 0 0 2 0 3 0 0 0 0 5 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 3 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 3 0 0 1 0 0 0 0 0 2 0 0 1 0 0 1 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 0 1 0 3 2
"peaceful" 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"pious" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"placid" 0 1 0 1 2 2 0 0 0 1 0 1 0 1 3 0 2 2 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 3 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 0 2 0 2 3 2 0 2 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 4 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0 1 0 0 0
"pleasant" 1 1 1 2 7 2 5 2 1 0 1 3 2 2 10 2 2 0 0 2 0 5 4 2 0 3 7 0 0 0 2 4 1 1 3 0 2 7 4 8 0 1 4 0 7 1 5 0 0 1 0 0 1 3 0 2 0 7 1 1 2 5 0 1 0 3 0 0 1 2 5 1 1 2 1 2 1 2 1 2 2 6 2 2 0 1 0 2 0 4 1 3 1 0 7 3 1 0 0 7 2 0 0 0 2 0 0 0 2 1 0 0 0 3 0 0 5 12 0 1 1 1 1 2 3 0 4 1 0 4 3 1 4 0 1 8 4 2 2 2 2 1 0 1 1 1 0 0 0 3 0 2 1 0 0 4 0 0 0 0 3 1 0 6 0 1 3
"pliant" 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0
"polished" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"polite" 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 4 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"practical" 0 0 0 1 3 1 2 0 0 1 0 2 0 1 5 0 0 0 0 0 0 2 1 2 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 2 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 1 0 0 1 1 0 0 1 2 0 0 0 0 1 1 0 1 3 0 0 1 3 1 1 0 0 0 1 0 0 0 0 1 1 1 1 2 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 0 4 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 2 2 1 1
"profound" 1 0 0 3 2 1 1 0 0 0 0 0 0 2 4 0 0 0 0 1 0 4 0 0 1 0 1 0 2 0 1 1 0 0 0 0 0 0 0 4 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 1 0 2 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 3 2 0 0 1 0 0 0 0 1 0 2 1 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 1 0 2 0
"proper" 0 0 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3
