"abrupt" "abstract" "active" "affectionate" "agreeable" "amiable" "anxious" "awkward" "bitter" "bland" "blunt" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "companionable" "compassionate" "complimentary" "confused" "congenial" "considerate" "consistent" "constant" "contented" "cool" "cruel" "cunning" "curious" "dainty" "deep" "despondent" "devilish" "distant" "distrustful" "dull" "eager" "earnest" "envious" "exact" "excessive" "expressive" "facetious" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "formal" "friendly" "gallant" "generous" "genteel" "gentle" "glib" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "hearty" "honest" "humble" "humorous" "impatient" "imperturbable" "impetuous" "indefinite" "independent" "indifferent" "ingenious" "intimate" "intricate" "jealous" "jovial" "kind" "lazy" "loud" "malicious" "manly" "merciful" "merry" "mild" "moderate" "modest" "moody" "moral" "musical" "narrow" "natural" "negative" "noisy" "obliging" "original" "particular" "patient" "peaceful" "pensive" "placid" "pleasant" "polite" "practical" "profound" "proper" "proud" "prudent" "quick" "quiet" "responsible" "restless" "rough" "rude" "rugged" "selfish" "sensitive" "sentimental" "serene" "serious" "shrewd" "silent" "simple" "sincere" "slow" "sluggish" "smart" "social" "solemn" "spirited" "stable" "steady" "stern" "strict" "submissive" "sunny" "suspicious" "tender" "thoughtful" "thoughtless" "tight" "timid" "treacherous" "uncouth" "unmindful" "vague" "vain" "vigorous" "violent" "vocal" "warm" "wild" "wise"
"humorous" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"impatient" 0 0 2 0 0 1 2 0 0 1 0 1 1 2 0 0 1 0 0 1 1 0 0 0 0 4 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 4 2 2 0 0 0 0 0 0 0 0 1 0 1 0 3 0 1 0 1 0 2 1 0 0 0 1 0 2 1 0 0 1 1 1 0 0 0 1 0 0 1 4 0 0 1 0 0 1 0 0 0 1 0 0 1 2 0 1 0 1 3 0 1 0 1 3 1 0 0 1 0 0 2 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 2 1 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 2 0
"imperturbable" 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
"impetuous" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 0 0
"indefinite" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
"independent" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"indifferent" 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 3 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 3 0 0 1 0 1 0 0 0 0 3 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0
"ingenious" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"intimate" 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 3 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"intricate" 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"jealous" 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 2 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0
"jovial" 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0
"kind" 0 0 1 5 1 1 6 0 0 1 1 0 3 5 2 0 3 0 1 6 2 0 0 3 1 5 0 0 0 0 0 0 1 1 1 0 1 2 1 2 0 2 0 0 1 1 4 0 7 0 0 1 0 0 4 0 0 0 0 3 0 2 1 3 0 6 0 5 1 0 0 0 3 2 3 5 0 4 0 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 2 0 2 0 4 0 1 5 0 3 0 3 4 3 1 0 3 7 0 1 3 1 0 0 6 9 0 0 1 0 0 1 1 0 0 0 0 10 5 0 3 0 1 0 1 2 1 1 0 0 0 0 2 1 4 1 1 4 1 2 1 3 0 0 3 0 2 2 0
"lazy" 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1
"loud" 0 0 0 1 1 0 3 1 1 0 0 0 0 4 1 1 2 1 0 3 6 0 0 0 0 4 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 5 1 0 3 0 2 1 0 0 0 0 0 0 0 1 0 0 0 2 1 3 0 1 1 1 0 0 0 0 1 0 1 1 4 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 2 0 2 5 1 0 0 3 2 0 0 0 0 4 0 0 2 0 1 0 3 1 0 0 3 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 4 1 1 1 0 0 0 1 0 0 1 0 1 2 0
"malicious" 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0
"manly" 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 1
"merciful" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 0 0 0 2 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 1
"merry" 0 0 0 0 1 0 1 0 0 0 1 0 2 3 0 0 1 0 1 1 0 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 1 0 2 0 2 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 0 1 0 1 2 0 1 1 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 1 1 0 1 1 0 1 0 0 0 0 3 1 0 0 1 0 0 1 0 0 1 1 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0
"mild" 0 0 1 2 0 1 2 0 1 0 0 0 0 0 1 0 2 1 0 7 4 1 1 1 1 2 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 2 0 0 1 0 3 0 2 0 1 1 0 0 0 0 0 0 0 1 1 1 0 0 1 3 0 3 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 1 1 1 0 0 0 0 1 2 0 0 0 1 3 0 1 0 0 0 1 0 0 0 0 1 1 4 1 0 0 0 0 2 0 0 1 0 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0 1 2 1 1
"moderate" 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
"modest" 1 0 0 1 2 2 2 0 0 0 0 0 0 2 1 0 1 0 0 3 1 0 0 0 0 3 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 2 0 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 0 0 0 1 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 0
"moody" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"moral" 0 0 0 4 1 1 0 0 1 0 0 1 2 4 3 0 2 1 0 3 3 0 0 2 1 3 0 0 0 1 0 0 1 0 3 0 1 0 1 0 0 3 0 1 3 0 3 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 2 1 0 1 0 0 1 0 0 1 2 2 0 0 0 0 0 2 0 0 1 0 0 0 4 0 2 0 0 1 0 1 0 1 0 0 1 1 2 1 2 0 5 2 0 0 0 0 5 0 0 1 2 1 0 2 3 0 0 0 0 0 0 1 0 0 0 0 5 3 1 2 0 1 1 2 1 1 1 1 0 0 0 2 2 3 0 3 2 0 0 2 1 0 0 1 0 1 1 1
"musical" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 2 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
"narrow" 0 0 2 0 1 0 0 0 0 0 0 0 0 7 1 0 0 0 0 1 4 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 7 0 0 5 0 3 0 3 1 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 4 0 3 0 0 0 1 0 0 1 2 0 1 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 1 1 0 1 0 0 1 0 0 4 0 1 0 2 1 1 0 0 0 3 0 0 0 0 0 0 1 6 0 1 3 0 1 0 0 0 0 0 0 6 4 0 0 0 1 0 4 0 0 1 2 0 0 0 0 1 2 0 1 3 0 0 0 0 0 1 1 0 2 3 1
"natural" 1 1 2 3 4 0 4 1 1 1 0 1 0 3 1 0 3 0 0 7 5 0 0 0 1 6 0 0 0 0 0 1 1 0 2 0 3 1 1 2 0 5 1 0 1 0 3 1 4 1 2 0 0 2 1 1 0 1 0 3 0 5 1 2 1 2 1 3 1 1 0 2 2 0 3 4 0 2 0 0 1 0 1 0 0 0 0 1 5 1 5 1 0 0 0 2 0 1 0 2 1 4 0 2 4 0 5 8 1 1 0 1 6 0 2 2 0 0 1 5 6 0 2 4 0 1 0 0 0 0 2 0 6 0 1 1 1 2 1 0 1 1 1 1 0 0 0 2 0 3 2 2 3 2 2 2 0 0 2 0 0 5 2 0
"negative" 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 1 0 0 2 0 0 1 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 0 0 1 0 1 0
"noisy" 1 1 0 4 1 0 3 0 0 0 1 3 1 3 0 0 2 0 1 2 2 0 1 1 1 4 0 0 0 0 0 0 1 0 1 0 2 1 1 3 1 5 0 0 4 0 5 1 3 0 2 0 0 0 1 2 0 2 0 1 0 1 0 2 0 3 1 2 2 0 0 1 0 1 0 8 0 1 0 0 1 0 1 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 2 0 1 4 1 0 1 1 4 0 2 0 0 4 0 0 1 1 1 1 2 6 0 3 3 1 2 0 0 1 0 0 0 3 1 1 6 1 0 1 2 1 0 0 0 0 0 0 0 2 0 0 0 4 1 1 1 1 1 0 1 1 1 4 1
"obliging" 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"original" 0 0 1 1 5 0 2 1 0 0 0 0 2 3 2 0 0 0 0 9 3 0 0 1 2 13 0 0 1 0 0 0 0 1 3 0 1 0 2 0 0 7 0 1 4 0 5 1 2 2 2 2 0 1 1 1 1 2 0 0 1 2 0 1 2 2 0 2 0 1 0 2 3 0 3 4 0 1 0 0 0 1 1 1 0 0 1 0 3 0 3 1 0 0 2 1 0 0 0 5 2 2 5 0 1 0 0 7 1 1 0 2 6 1 0 2 2 1 2 4 7 0 1 5 2 0 1 1 1 0 1 1 6 4 0 4 0 0 0 5 0 1 0 1 1 0 0 2 3 2 0 3 0 0 0 0 5 1 1 2 0 2 6 0
"particular" 3 1 0 3 6 0 6 1 1 1 0 2 2 3 1 1 3 0 1 12 7 0 1 0 0 7 0 1 1 0 0 1 0 1 1 1 2 1 3 3 0 7 2 3 2 0 3 1 5 0 3 1 1 2 0 0 0 1 1 0 1 10 0 1 1 6 2 0 3 1 0 2 1 1 6 5 0 3 0 0 2 0 2 0 1 0 2 0 4 1 2 2 0 0 1 1 0 2 2 2 2 1 8 2 4 1 7 0 0 0 1 0 10 2 3 4 5 1 1 4 6 1 2 1 2 2 0 2 2 0 1 1 7 1 0 1 0 1 3 1 0 3 2 0 2 0 0 2 2 4 0 4 3 2 1 1 2 1 2 1 2 6 2 0
"patient" 0 0 0 0 0 0 1 0 0 0 0 0 0 2 2 0 0 0 0 2 0 1 0 1 0 4 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 2 0 0 1 0 3 0 3 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 3 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 3 0 2 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0
"peaceful" 0 0 0 1 0 0 1 0 0 0 0 0 2 2 1 0 1 0 0 3 1 0 0 0 0 2 0 0 1 0 0 0 0 0 1 1 0 1 2 0 0 1 0 0 2 0 3 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 2 0 0 0 0 0 0 1 5 0 0 1 1 0 0 0 0 0 0 0 2 0 2 3 0 0 0 2 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0
"pensive" 0 0 0 0 0 0 1 0 0 0 0 0 1 2 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0
"placid" 0 0 0 1 1 0 2 0 0 1 0 0 0 1 1 0 2 0 0 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 1 0 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 1 0
"pleasant" 2 1 1 2 5 2 4 0 2 1 1 2 0 12 4 2 3 0 2 9 13 0 0 0 1 8 0 1 2 3 1 1 1 0 3 2 1 1 3 1 1 10 3 0 7 2 10 0 7 0 1 1 0 1 3 7 1 1 1 2 0 6 1 1 1 4 0 4 3 0 1 0 2 2 6 4 0 3 1 1 1 0 0 0 3 1 1 2 7 0 4 2 1 0 1 0 2 0 1 5 2 3 6 2 4 1 6 10 2 2 1 1 0 2 2 5 3 0 0 6 11 0 1 3 2 1 0 2 0 0 2 0 9 6 2 2 1 2 0 1 0 1 0 0 1 1 1 2 3 4 1 4 5 2 2 1 4 0 1 0 2 8 4 2
"polite" 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 2 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 1 1 0 2 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"practical" 0 0 0 0 2 1 1 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 3 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 2 0 0 1 0 3 0 0 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0
