"abrupt" "abstract" "active" "affable" "affected" "affectionate" "agreeable" "aloof" "amiable" "anxious" "awkward" "bitter" "boisterous" "bold" "brave" "bright" "brisk" "brutal" "calm" "candid" "capricious" "careful" "careless" "cautious" "certain" "cheerful" "childish" "civil" "clumsy" "coarse" "cold" "complimentary" "conciliatory" "confident" "confused" "conscientious" "consistent" "constant" "conventional" "cool" "courteous" "credulous" "cruel" "cunning" "curious" "dainty" "daring" "deep" "definite" "despondent" "determined" "dignified" "direct" "disorderly" "disrespectful" "distant" "distrustful" "dull" "eager" "earnest" "elegant" "exact" "excessive" "expressive" "faithful" "fearful" "fickle" "fierce" "fiery" "firm" "foolish" "forcible" "forgetful" "frank" "friendly" "frugal" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "harsh" "hasty" "haughty" "headlong" "hearty" "honest" "hospitable" "humble" "ignorant" "impatient" "inconstant" "indifferent" "ingenious" "ingenuous" "intense" "intimate" "irreligious" "irresolute" "jaunty" "jovial" "kind" "lavish" "lazy" "lifeless" "lively" "loud" "loving" "loyal" "malicious" "manly" "meek" "merry" "mild" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "original" "particular" "patient" "peaceful" "philosophical" "pious" "placid" "pleasant" "polished" "political" "practical" "precise" "profound" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "reckless" "religious" "restless" "rigid" "roguish" "rough" "rude" "scornful" "sensitive" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "sparkling" "stable" "steady" "stern" "strict" "sullen" "sunny" "surly" "suspicious" "talkative" "temperate" "tender" "thorough" "thoughtful" "tight" "timid" "uncouth" "unkind" "vague" "vain" "violent" "warm" "whimsical" "wild" "wise" "worldly"
"fickle" 0 1 0 0 0 0 1 0 0 1 0 0 2 1 0 2 0 0 0 0 1 1 0 0 1 2 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 2 0 1 0 0 0 0 0 0 2 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"fierce" 0 0 2 0 0 0 1 0 0 1 0 0 3 2 2 7 0 0 1 0 0 2 2 0 2 1 1 1 0 1 2 0 0 1 1 0 0 2 0 0 1 0 3 0 1 0 2 3 1 0 0 0 1 0 0 6 0 3 0 0 0 0 2 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 1 1 2 0 0 0 0 1 0 2 2 0 0 1 1 0 0 0 1 0 2 1 2 5 0 2 0 1 1 0 1 0 0 0 1 0 3 0 1 1 1 0 2 0 1 1 2 1 2 0 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 0 4 0 0
"fiery" 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"firm" 0 0 0 0 1 1 0 0 1 0 0 0 0 0 2 4 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 2 0 0 1 1 0 0 0 3 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 1 4 1 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 2 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 3 1 0
"foolish" 1 0 0 1 0 0 0 1 0 3 1 1 1 3 0 3 0 0 1 1 0 0 0 0 3 2 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 1 1 0 1 0 0 2 1 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 1 0 0 2 2 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 0 0 1 1 1 0 0 1 0 0 1 0 2 0 1 4 0 0 2 3 1 0 0 0 1 2 0 0 0 1 1 0 2 1 1 3 0 0 2 1 0 1 1 0 0 0 2 0 1 0 0 0 0 0 3 1 1 2 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 2 0 0 0 0
"forcible" 0 2 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"forgetful" 0 0 1 0 0 0 0 0 1 0 0 1 2 1 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 3 0 0 0 1 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 3 0 1 0 1 0 0 0 0 1 0 2 0 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0
"frank" 2 0 0 1 0 0 0 1 0 1 0 1 0 1 1 3 0 0 1 1 0 0 1 0 3 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 3 0 0 2 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 0 2 0 0 1 0 1 2 2 0 0 0 1 1 2 0 2 4 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 3 0 0 0 1 0 0 0 0 1 1 0 0 0 2 0 0 0 1 0 2 0 0 1 0 0 0 2 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0
"friendly" 0 1 0 0 2 1 2 1 0 1 0 1 1 3 2 5 0 1 0 0 1 0 1 2 4 2 0 0 0 1 4 0 1 1 0 0 0 1 0 1 0 0 3 1 1 0 1 5 0 0 0 0 0 0 0 2 0 5 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 2 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 4 0 1 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 4 0 1 0 0 0 1 1 0 0 0 2 1 2 1 2 3 1 0 0 0 0 2 0 0 1 0 1 0 1 0 2 2 0 1 1 1 1 0 1 2 0 1 1 0 6 0 0 3 0 1 0 0 1 2 0 0 2 0 1 1 1 1 1 0 0 0 0 0 0 0 0 2 1 0 0 1 0
"frugal" 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0
"gallant" 0 0 1 0 0 1 0 0 0 1 1 0 1 0 3 2 0 0 0 0 0 0 1 0 4 1 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 1 1 0 2 1 1 0 1 0 0 1 0 0 1 1 0 1 0 0 0 1 2 0 1 0 0 0 1 0 0 1 0 1 1 0 0 2 1 0 0 1 1 1 0 0 0 0 0 1 1 2 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 4 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 2 0
"generous" 0 0 0 1 0 0 1 0 0 0 1 1 1 3 1 1 1 0 0 0 0 1 0 0 2 1 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 2 1 1 1 0 1 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 1 0 0 1 1 0 0 0 0 0 2 0 0 0 0 1 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"genial" 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
"genteel" 0 1 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 3 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"gentle" 2 0 1 0 0 0 2 1 0 0 1 1 2 2 2 10 1 0 1 2 1 0 1 0 4 5 1 1 1 0 8 1 0 0 0 0 1 3 0 1 3 0 1 0 2 0 0 5 0 0 1 0 0 0 1 6 1 2 0 1 2 0 3 1 0 1 1 3 1 1 2 0 3 2 0 0 1 2 1 0 0 2 1 5 0 1 1 3 0 1 10 0 1 0 1 1 2 0 2 0 0 0 0 0 0 2 0 1 0 1 1 1 0 0 3 0 1 4 0 1 2 2 4 0 0 1 4 1 1 1 0 1 8 0 0 0 1 0 2 3 1 4 10 1 2 0 1 0 0 2 0 1 1 3 0 6 1 1 2 3 0 1 1 3 1 1 1 0 0 1 1 0 0 1 0 3 2 0 0 0 1 1 1 2 0 4 2 1
"gloomy" 1 0 3 0 1 0 0 2 1 1 0 0 1 2 4 5 1 0 0 0 0 1 1 1 4 4 0 0 0 0 4 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 0 3 1 0 1 0 0 0 0 4 0 5 1 2 0 0 0 0 1 0 1 1 0 1 0 0 0 2 1 0 0 1 0 0 2 0 0 1 0 1 1 0 0 1 2 0 0 0 2 0 2 0 0 0 0 0 0 0 0 2 1 1 2 0 2 0 0 0 0 0 0 0 0 0 0 3 3 0 0 3 4 1 1 1 0 1 1 0 0 1 0 1 2 3 0 2 4 0 1 1 2 0 0 4 1 0 0 1 1 5 0 0 1 1 0 1 0 2 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 3 2 0 3 1 0
"graceful" 0 0 0 0 0 0 3 0 1 1 0 0 0 1 1 2 0 0 1 0 0 0 1 0 2 2 0 1 0 1 3 1 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 2 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 2 0 0 0 0 1 1 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 2 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 1
"gracious" 0 2 1 0 1 0 2 0 1 1 0 1 0 1 1 1 0 1 1 0 0 0 0 0 2 3 0 0 0 0 4 0 0 0 1 0 0 2 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 1 2 5 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 1 1 0 1 1 0 1 0 1 2 0 0 0 2 2 0 0 0 0 3 0 0 0 0 1 0 2 0 1 0 1 0 0 0 0 0 1 1 0 0 2 0 2 1 0 0 1 0 2 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0
"gruff" 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 3 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 1 1 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0
"harsh" 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 0 4 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 0 2 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 1 0 0 0 0 0 0 3 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"hasty" 1 0 4 0 0 0 1 1 0 0 0 0 2 4 2 5 2 0 1 1 0 1 0 0 1 2 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1 2 0 0 0 1 0 0 1 0 0 0 0 1 1 4 1 1 1 0 0 2 0 0 0 1 0 0 2 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 2 0 0 0 2 0 1 1 2 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1 1 1 0 0 1 1 0 1 0 1 5 1 0 0 2 0 0 3 0 0 0 1 0 2 0 1 0 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0
"haughty" 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 1 2 0 0 0 0 0 0 3 0 0 0 0 1 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"headlong" 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 2 1 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0
"hearty" 0 0 1 0 2 1 2 0 0 1 0 1 1 3 1 5 1 0 0 0 0 2 1 0 7 5 0 0 1 0 6 0 0 0 1 0 1 3 1 0 1 0 2 0 0 1 2 8 0 0 0 0 0 0 1 2 1 4 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 2 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 5 2 2 0 1 0 0 0 1 0 1 0 0 0 3 2 1 1 0 1 3 0 0 1 0 0 1 0 0 1 2 0 4 0 1 1 4 1 1 1 0 1 4 0 2 0 0 1 3 1 0 1 4 2 0 0 0 0 0 1 0 0 0 2 1 3 0 0 4 1 1 0 0 2 1 0 0 1 2 1 1 1 0 0 0 1 0 1 1 0 1 1 1 3 0 3 0 0
"honest" 0 0 1 1 2 3 2 1 1 1 1 3 1 5 2 4 1 0 1 1 0 2 2 1 7 5 0 2 1 0 7 0 2 0 0 1 1 1 1 0 2 0 1 0 0 0 1 9 0 1 0 1 1 0 1 5 1 5 0 1 2 0 2 0 1 2 0 1 1 4 0 0 1 4 4 0 1 3 0 0 10 2 2 1 0 2 1 2 0 5 0 1 3 1 0 1 2 0 1 0 0 0 0 1 2 4 1 1 0 0 2 0 0 1 2 1 1 3 0 4 3 1 3 1 1 2 4 1 0 0 0 0 5 0 0 1 1 3 3 8 1 3 7 1 0 2 1 1 0 3 0 1 1 1 3 7 1 2 2 3 3 2 0 2 5 1 1 0 1 2 1 1 0 1 0 1 3 2 0 0 3 3 2 2 0 6 1 0
"hospitable" 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 1 0 0 1 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0
"humble" 0 1 2 1 0 0 2 0 0 1 1 3 3 3 2 5 0 0 1 0 1 1 1 0 5 2 0 0 0 0 3 1 2 1 0 2 0 3 0 0 0 1 1 0 0 1 1 2 0 0 0 0 0 1 1 2 0 3 0 0 1 0 1 0 2 0 0 0 0 0 0 1 1 0 1 1 2 1 0 0 1 0 2 0 0 1 0 0 0 2 3 1 0 1 1 1 1 0 0 0 0 1 0 1 1 0 2 0 0 1 4 0 0 0 0 1 0 4 1 2 0 0 2 1 0 3 0 1 0 0 2 0 3 0 2 0 0 2 0 6 0 4 4 0 0 1 2 0 0 1 0 1 0 0 0 5 1 0 0 0 0 1 0 2 3 0 0 2 0 0 0 0 0 0 0 3 1 2 1 0 1 1 3 1 0 3 2 1
"ignorant" 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 3 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 0 1 0 0 1 0 0 0 1 1 0 1 2 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 0
"impatient" 1 0 0 0 0 0 1 1 0 2 0 0 1 1 2 3 0 0 1 1 0 1 1 1 1 1 0 0 0 0 3 0 0 0 1 0 1 1 0 0 0 0 0 1 2 0 1 2 0 0 1 0 0 0 1 3 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 2 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 2 2 1 1 0 1 0 1 0 0 1 3 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 0
"inconstant" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 2 2 1 0 0 0 2 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0
"indifferent" 0 0 2 0 0 0 0 0 1 0 0 1 0 1 2 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 2 0 1 0 0 0 1 0 1 0 3 0 1 0 0 1 1 1 0 0 0 0 1 1 1 0 1 2 0 1 0 0 1 2 2 0 2 0 0 1 0 0 0 2 0 1 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 1 3 0 0 0 1 3 0 0 1 0 1 0 0 1 0 2 1 0 0 0 0 0 2 1 2 1 1 0 0 1 0 0 3 0 2 0 0 1 2 0 0 2 0 0 2 1 0 2 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 2 0 3 1 0 1 0 0
"ingenious" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1
"ingenuous" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"intense" 0 0 1 0 0 0 1 0 0 3 0 0 1 0 2 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0
