"accomplished" "active" "adventurous" "affable" "affectionate" "agreeable" "ambitious" "amiable" "angelic" "anxious" "bitter" "blunt" "bold" "brave" "bright" "brisk" "calm" "capable" "capricious" "careful" "careless" "certain" "cheerful" "childish" "clever" "coarse" "cold" "complacent" "confident" "confused" "considerate" "constant" "constrained" "contented" "conversational" "cool" "cordial" "cruel" "curious" "dainty" "deep" "defiant" "determined" "devilish" "dignified" "direct" "disdainful" "distant" "dull" "dutiful" "eager" "earnest" "elegant" "emphatic" "exact" "excessive" "expressive" "faithful" "fearful" "fervent" "fierce" "fiery" "foolish" "forgetful" "formal" "frank" "friendly" "gallant" "generous" "genial" "genteel" "gentle" "gloomy" "graceful" "gracious" "gruff" "hasty" "haughty" "honest" "hospitable" "humble" "ignorant" "immovable" "impatient" "impetuous" "inconsistent" "independent" "indifferent" "inexperienced" "inflexible" "ingenious" "ingenuous" "intellectual" "intense" "intimate" "irrepressible" "jealous" "juvenile" "kind" "lively" "loud" "loving" "mercenary" "merry" "mild" "modest" "moral" "narrow" "natural" "negative" "nervous" "observant" "original" "particular" "passionate" "patient" "peaceful" "pensive" "pleasant" "polished" "polite" "practical" "presumptuous" "profound" "proper" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "reproachful" "respectful" "restless" "rigid" "rough" "sarcastic" "scornful" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smart" "social" "solemn" "steady" "stern" "stormy" "stubborn" "submissive" "sullen" "sunny" "suspicious" "tender" "thoughtful" "tight" "timid" "tough" "unkind" "unreasonable" "vague" "vain" "vigorous" "violent" "warm" "wild" "womanly" "worldly" "voluptuous" "wise"
"genteel" 0 0 0 0 0 2 1 0 0 1 2 0 0 0 2 0 0 1 0 1 1 2 0 1 0 0 2 0 0 1 0 1 0 0 0 2 0 0 3 0 0 1 0 1 0 0 0 3 4 1 1 1 3 1 0 0 1 0 0 0 2 0 1 0 1 1 1 0 0 0 0 1 1 2 2 0 0 1 1 2 0 0 1 0 0 2 0 1 0 0 0 0 1 0 1 1 0 1 3 0 1 0 1 0 0 1 0 0 0 0 0 0 1 3 0 0 0 0 3 0 3 1 0 0 0 6 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 1 0 2 1 1 0 2 3 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0 1 3 0 0 0 0 1
"gentle" 0 2 0 1 5 2 0 1 0 1 0 1 4 1 13 0 3 0 0 0 0 8 4 2 0 2 12 0 0 2 0 7 1 0 0 1 1 2 2 1 9 2 1 1 1 0 1 5 5 0 1 5 1 2 1 1 1 1 1 1 2 0 2 0 0 1 2 1 3 1 1 0 3 3 5 1 0 3 2 0 3 0 1 0 0 1 1 2 1 1 1 1 1 1 0 0 1 2 7 2 1 0 0 1 5 3 0 2 8 1 1 1 3 3 0 6 0 3 4 0 1 1 2 1 2 11 1 4 12 0 2 1 0 2 1 6 2 2 0 0 1 3 0 8 10 1 1 1 1 6 1 4 0 2 0 2 1 0 4 4 0 4 2 1 1 2 1 1 2 3 9 0 2 1 2
"gloomy" 0 0 0 1 0 1 1 0 0 2 0 1 3 1 5 1 1 0 1 0 1 1 1 0 0 0 5 1 0 1 1 4 0 0 0 0 0 0 0 0 3 0 2 3 0 1 1 3 2 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 2 1 0 1 3 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 2 0 2 1 0 0 1 1 0 0 0 1 2 0 0 0 1 0 1 0 0 3 1 0 0 1 1 0 5 0 3 1 1 0 0 0 1 1 2 0 0 0 0 0 0 0 4 0 0 0 1 0 2 0 0 0 1 0 1 0 0 0 0 1 3 2 1 0 1 1 0 1 0 2 0 1 0 0
"graceful" 0 1 0 0 0 1 0 0 1 3 1 0 0 1 2 0 1 1 0 1 0 0 1 0 0 1 4 0 0 0 0 1 1 0 1 1 0 1 1 0 3 1 2 2 1 0 1 3 3 0 0 2 3 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 2 3 1 0 1 0 0 3 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 2 1 0 0 1 0 0 2 1 1 2 0 1 1 1 4 0 0 0 0 3 1 1 0 0 0 1 5 0 1 5 0 0 0 0 0 0 0 0 1 0 2 0 0 1 4 3 0 2 0 0 4 2 0 0 1 0 1 1 0 1 0 2 0 1 0 0 2 0 1 0 1 1 0 0 1 0
"gracious" 0 2 0 0 1 1 0 1 1 3 1 0 1 0 3 0 1 0 0 2 1 6 0 0 0 1 3 1 0 1 0 2 0 0 0 1 1 0 4 0 2 0 1 1 1 0 0 0 4 1 0 2 3 2 1 0 3 0 1 0 0 0 3 0 0 1 3 0 0 0 2 5 0 1 0 0 0 3 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 1 0 0 0 0 2 0 0 1 1 1 0 0 0 5 0 1 0 2 2 1 0 1 0 0 1 3 0 1 3 0 0 0 0 0 1 0 0 0 1 0 1 1 1 5 2 1 3 1 0 2 1 1 0 0 0 1 1 1 1 1 2 1 1 0 0 0 0 0 2 0 3 1 0 0 1
"gruff" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 4 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 1 0 0 1 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 2 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1
"hasty" 0 1 0 0 0 2 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 1 1 2 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0
"haughty" 0 0 0 0 2 2 1 0 1 2 0 0 2 0 3 0 1 2 1 0 0 3 0 1 0 0 9 0 0 1 1 4 0 0 1 1 0 0 1 0 4 2 2 2 1 0 3 8 4 0 0 3 2 1 2 1 2 0 0 0 1 0 0 0 1 0 0 0 1 1 1 3 1 3 3 0 0 0 2 0 2 0 2 1 0 0 0 2 0 2 0 0 0 1 0 2 1 2 0 1 0 0 1 0 2 1 2 0 5 0 0 1 1 0 0 0 0 1 0 1 1 0 1 1 2 12 1 1 2 0 1 0 1 0 1 2 1 2 0 3 0 2 0 2 0 0 0 0 3 3 2 2 0 1 1 2 2 0 0 0 1 0 1 0 1 1 0 0 1 2 3 0 0 1 0
"honest" 0 1 0 0 3 4 0 1 0 3 2 0 2 0 8 0 3 1 0 1 0 5 2 0 0 2 2 0 0 1 1 3 1 2 1 1 1 1 1 0 5 1 1 0 1 0 1 2 3 0 0 1 0 0 1 1 2 1 0 0 1 0 0 0 1 2 2 2 1 1 1 2 0 1 1 0 0 2 0 0 1 1 0 0 1 0 2 4 2 0 0 0 0 0 0 0 1 0 6 2 0 0 0 0 1 0 2 0 3 0 0 0 0 3 0 1 0 1 3 0 1 0 1 2 0 5 2 3 5 0 1 0 0 0 0 4 1 0 0 0 1 1 0 2 1 2 3 1 0 2 2 1 2 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 2 4 4 0 1 0 1
"hospitable" 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 3 0 1 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 3 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1
"humble" 0 0 0 1 0 0 0 0 0 1 1 0 3 0 4 0 0 0 0 2 2 4 0 1 0 1 2 0 0 0 0 1 0 1 1 0 0 1 1 0 2 0 1 0 1 0 1 1 2 0 2 1 0 1 0 0 2 0 0 0 1 0 1 1 0 1 0 0 1 0 0 3 1 1 2 0 1 2 1 0 0 1 0 0 0 0 0 0 0 0 0 2 1 1 0 0 3 1 2 1 0 0 0 0 4 1 0 0 4 0 2 0 0 3 1 0 0 0 1 0 0 0 0 0 3 7 1 2 5 0 0 1 1 0 0 0 0 0 0 0 0 1 1 3 1 2 1 1 0 2 1 1 0 1 0 2 0 0 0 1 1 3 0 0 0 4 0 0 1 0 2 0 0 0 0
"ignorant" 1 1 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 5 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"immovable" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
"impatient" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 4 0 0 0 0 1 1 0 0 0 0 1 1 1 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 3 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"impetuous" 0 0 0 0 1 1 0 0 0 1 0 0 1 0 2 1 1 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 1 0 1 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"inconsistent" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 2 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0
"independent" 0 0 0 0 1 0 0 0 1 1 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"indifferent" 0 0 0 0 2 3 0 0 0 0 0 1 1 0 0 1 3 1 0 1 0 2 0 1 0 0 2 0 0 2 1 2 0 0 0 2 0 1 0 0 3 0 0 1 0 1 1 0 1 0 2 4 1 0 1 0 2 2 0 0 3 0 0 0 0 0 1 1 0 0 1 2 0 1 0 0 2 2 4 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 4 2 1 0 0 0 0 0 3 3 2 0 0 1 2 1 0 0 0 1 2 0 0 0 0 1 1 8 0 1 3 0 1 0 0 0 1 2 0 1 0 1 1 0 2 1 2 1 0 0 3 2 1 1 0 0 1 1 0 0 0 2 0 0 3 0 0 2 0 0 2 0 1 0 1 1 1
"inexperienced" 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"inflexible" 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 1 0 0 1 1 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 1 0 0 1 2 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1
"ingenious" 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 3 0 1 0 2 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ingenuous" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"intellectual" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 2 1 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 2 0 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 0
"intense" 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 0 1 0 2 0 0 2 0 1 1 0 1 1 2 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"intimate" 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 2 0 1 1 0 0 0 3 0 1 2 0 0 0 0 2 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1
"irrepressible" 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 0 4 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
"jealous" 0 0 0 1 1 0 0 1 0 0 1 1 2 0 2 0 0 1 2 1 0 1 0 2 0 0 0 2 1 0 0 5 0 0 0 0 0 1 0 1 5 1 0 2 1 0 2 1 0 0 1 0 0 0 0 0 1 1 2 0 1 0 1 0 0 0 0 0 2 1 0 1 1 0 0 0 0 1 1 0 3 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 1 0 1 1 0 0 0 0 2 0 0 1 2 2 1 0 0 0 1 0 0 0 1 0 1 6 1 2 2 0 0 1 0 0 0 2 1 0 1 0 0 0 0 4 0 1 3 0 0 1 0 0 1 0 0 1 0 0 0 1 1 1 2 0 1 1 0 0 1 1 3 0 0 1 0
"juvenile" 1 0 0 0 0 0 0 1 0 0 1 2 1 0 1 0 1 0 1 0 0 1 0 1 0 0 3 1 0 0 0 2 0 0 0 1 0 2 1 0 4 0 0 2 0 0 0 0 0 0 0 2 2 0 1 0 1 1 0 0 0 0 1 0 0 0 0 2 0 0 1 2 2 0 4 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 1 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 2 1 0 0 0 0 0 0 0 2 0 0 0 0
"kind" 3 0 0 0 3 3 2 3 2 3 0 1 2 3 11 1 2 1 0 3 1 6 4 3 0 0 6 0 0 2 1 2 1 0 0 0 0 4 6 1 7 0 1 2 1 0 0 0 4 0 1 8 0 2 2 1 1 3 2 2 1 1 1 1 0 2 3 2 1 1 3 7 0 2 4 1 2 0 6 1 2 0 0 2 1 1 1 4 0 1 1 2 1 0 0 0 0 0 0 3 3 1 0 0 1 4 2 0 11 0 0 1 3 7 1 2 0 3 2 1 3 0 0 1 1 9 0 4 6 1 1 0 0 1 2 3 0 0 2 0 2 2 3 10 5 1 4 3 2 3 3 3 0 0 0 0 1 1 0 6 2 2 1 3 0 1 0 0 1 6 5 1 1 0 2
"lively" 2 0 0 0 1 1 0 2 0 1 1 1 2 2 3 0 1 0 0 0 2 3 2 2 0 0 3 0 2 1 0 0 0 0 1 1 0 0 0 0 1 0 0 4 1 0 1 0 1 0 0 1 0 0 0 1 1 1 0 0 2 0 0 0 0 0 3 0 0 0 0 2 2 1 1 0 0 1 2 0 1 1 0 0 0 0 0 2 0 0 0 1 0 1 2 0 0 0 3 0 0 0 0 0 1 0 0 0 2 3 0 0 0 3 2 0 1 0 1 0 0 0 0 0 0 3 0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 2 1 0 0 0 2 0 1 1 0 0 1 0 0 0 0 1 2 1 1 0 0 0 1 0 1 1 0 0 1 0 0
"loud" 0 0 1 0 0 1 0 1 0 1 0 0 1 1 3 1 1 1 0 0 1 2 1 2 1 1 3 0 0 1 0 1 0 0 0 0 0 0 1 1 4 0 1 1 0 0 0 2 1 0 0 0 1 0 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 3 0 0 2 0 1 1 1 0 0 2 0 0 0 2 2 0 0 0 1 0 0 1 0 0 0 0 3 0 1 2 0 0 0 1 1 0 2 0 0 0 0 0 0 0 1 3 0 1 0 1 2 0 0 0 0 0 0 1 1 1 0 2 1 1 0 0 0 0 2 1 0 2 0 1 0 0
"loving" 1 1 0 0 0 0 0 1 0 0 0 0 0 1 3 0 1 1 0 0 0 1 2 1 0 0 2 0 0 1 0 0 0 0 0 0 0 2 0 0 2 0 0 1 0 0 0 1 1 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 4 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 3 1 0 0 0
"mercenary" 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"merry" 1 0 1 0 0 1 0 0 0 1 0 0 1 0 3 1 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 3 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"mild" 0 0 1 0 1 0 1 3 0 2 0 1 3 1 2 0 1 0 0 1 1 6 3 2 0 1 5 0 0 0 0 0 0 1 0 0 0 1 1 1 3 1 0 2 1 0 1 3 2 0 0 1 1 1 0 1 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 5 1 0 2 0 0 2 1 0 4 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 1 0 3 2 0 1 1 5 1 2 1 0 1 0 0 2 0 1 2 7 0 2 5 0 0 0 0 1 1 0 1 1 0 0 1 2 1 4 1 1 3 1 1 2 1 0 0 1 0 2 0 0 0 5 1 0 1 0 0 0 1 1 1 2 2 0 0 0 0
"modest" 0 1 1 0 0 1 0 0 0 1 0 0 3 2 2 0 2 0 1 1 1 2 2 2 0 0 3 0 0 0 0 0 0 0 1 0 1 1 4 1 2 0 0 1 1 0 0 1 1 0 1 3 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 3 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 1 0 0 0 1 0 0 0 4 0 0 0 0 2 0 0 0 1 3 0 1 1 0 0 0 5 1 1 4 0 1 0 0 0 0 0 0 0 0 0 0 2 1 4 3 0 2 0 0 3 0 2 0 1 0 0 1 0 2 2 1 1 0 1 0 0 0 0 2 2 3 1 1 0 0
