"abrupt" "accomplished" "active" "affected" "affectionate" "agreeable" "ambitious" "amiable" "anxious" "benevolent" "bitter" "boisterous" "bold" "bright" "calm" "capable" "careful" "careless" "certain" "cheerful" "childish" "civil" "clever" "coarse" "cold" "communicative" "confused" "consistent" "constant" "cool" "crafty" "critical" "cruel" "curious" "deep" "dependent" "determined" "dignified" "direct" "distant" "dull" "eager" "earnest" "enthusiastic" "exact" "excessive" "exclusive" "expressive" "facetious" "faithful" "fearful" "fierce" "firm" "foolish" "friendly" "gallant" "generous" "genteel" "gentle" "gloomy" "gracious" "harsh" "hasty" "haughty" "headlong" "hearty" "honest" "humane" "humble" "ignorant" "impatient" "impudent" "independent" "inflexible" "ingenious" "intense" "intricate" "ironical" "irrepressible" "kind" "lazy" "live" "lively" "loud" "malicious" "merry" "mild" "modest" "moral" "musical" "narrow" "natural" "nervous" "noisy" "observant" "original" "particular" "passionate" "peaceful" "petty" "philosophical" "pleasant" "polite" "precise" "productive" "profound" "prompt" "proper" "proud" "prudent" "quick" "quiet" "reasonable" "respectful" "rigid" "rough" "rude" "selfish" "sensitive" "serious" "silent" "simple" "slow" "smart" "solemn" "speedy" "steady" "stern" "strict" "sunny" "surly" "suspicious" "tender" "thoughtful" "tight" "unkind" "vague" "vigorous" "violent" "vivid" "warm" "wild" "religious" "zealous" "wise"
"modest" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
"moral" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"musical" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"narrow" 0 1 1 0 1 0 0 0 5 0 0 1 0 1 1 0 0 1 2 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 5 0 0 1 0 1 0 0 1 0 0 0 1 2 0 0 0 1 0 1 1 0 1 0 1 3 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 1 0 2 2 0 0 0 1 1 1 0 0 0 1 0 0 2 0 1 1 1 1 0 0 0 4 0 2 0 0 3 3 1 0 1 2 1 0 0 0 6 1 0 1 1 0 0 1 0 1 0 1 0 0 2 0 1 0 0 0 2 2 0 0 0
"natural" 0 1 0 1 0 3 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 3 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 1 0 0 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 2 0 0 0 1
"nervous" 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"noisy" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 1 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 3 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 2 0 0 0 0
"observant" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"original" 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"particular" 0 1 2 0 2 1 0 1 2 1 0 1 2 2 0 1 2 0 4 0 0 1 2 1 7 0 1 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 0 2 2 0 1 0 1 0 1 1 1 1 1 1 0 3 1 1 0 5 1 0 0 0 1 1 1 0 0 1 1 3 2 1 1 0 0 1 0 1 2 1 0 0 0 0 0 2 2 0 0 0 1 0 1 0 1 1 1 2 2 0 2 1 3 0 1 2 3 0 2 0 0 0 0 0 0 3 1 2 1 0 0 1 1 0 0 0 1 0 2 1 0 0 0 0 0 1 3 0 1 3
"passionate" 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"peaceful" 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 2 1 0 0 0
"petty" 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0
"philosophical" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"pleasant" 1 0 1 1 1 0 0 3 2 0 1 0 0 1 1 0 0 0 2 2 0 0 1 0 1 0 0 0 0 1 0 0 0 1 4 1 0 0 0 1 0 1 2 0 1 3 1 0 1 1 0 1 0 1 1 1 0 0 6 2 0 0 0 1 1 0 1 0 2 0 0 1 1 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 2 4 0 1 0 2 2 0 0 1 2 1 0 1 2 0 0 0 0 1 1 0 0 1 0 0 1 0 1 0 3 3 1 0 0
"polite" 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"precise" 0 0 0 0 0 1 1 0 2 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 0 1 2 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"productive" 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0
"profound" 0 1 0 0 0 1 0 1 2 0 0 0 0 0 0 0 3 0 4 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 2 0 1 0 0 0 2 1 0 1 0 1 0 0 0 0 1 1 1 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 4 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 1 0 1 1 2 0 0 1 1 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 3 1 1 0 0
"prompt" 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"proper" 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 1 0 4 1 0 1 0 0 5 0 1 0 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 1 1 0 0 1 2 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 4 0 0 0 1 0 0 2 1 0 0 0 0 3 0 0 1 0 0 1 1 0 1 0 0 0 1 2 3 1 1 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0
"proud" 1 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 0 1 0 1 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 1 0 4 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 3 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 0
"prudent" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 1 0 0 0 0 2 0 0 0 0 0 0 0 1 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"quick" 0 0 1 0 0 0 0 0 4 0 1 0 0 2 1 0 0 0 1 1 1 0 1 0 4 0 1 0 0 0 0 0 0 1 6 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 1 1 1 1 1 0 0 3 3 0 0 0 1 0 1 0 2 1 0 1 1 0 0 0 1 0 0 0 1 2 2 1 3 0 0 0 0 0 1 3 0 0 1 0 1 2 1 1 0 1 2 0 0 0 1 0 2 0 0 0 1 0 1 0 2 1 0 0 0 6 1 0 0 1 0 0 0 0 1 1 0 1 1 0 0 1 1 2 0 2 1 0 0 1
"quiet" 1 0 1 0 2 0 0 1 7 0 1 0 0 4 3 0 1 0 8 1 0 3 2 1 8 1 1 1 0 2 0 1 2 2 4 1 1 1 1 1 3 2 1 0 1 2 0 3 0 1 0 2 0 1 1 0 0 1 5 3 0 3 4 0 2 4 2 0 0 0 0 0 0 1 1 3 0 0 1 6 0 0 0 3 0 2 1 0 0 0 3 1 0 1 0 0 3 0 1 0 0 4 0 1 0 2 1 3 0 0 1 0 2 1 2 3 0 0 0 2 4 3 3 3 4 0 2 0 0 0 1 0 0 1 1 0 0 1 3 1 5 3 0 1 2
"reasonable" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 2 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"respectful" 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 2 0 0 0 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1
"rigid" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 2 2 0 0 0
"rough" 0 0 1 0 0 1 0 0 2 0 1 1 0 1 1 0 1 1 2 3 2 0 1 1 3 0 0 0 0 0 1 1 1 2 5 0 0 0 0 0 1 0 2 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 2 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 2 0 2 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 2 3 0 1 0 0 0 0 0 2 3 1 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 1
"rude" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0
"selfish" 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"sensitive" 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0
"serious" 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 2 0 0 0 0 0 0 0 0 1 3 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 1 2 1 0 1 2 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 2 0 0 1 2 0 1 1 0 1 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0
"silent" 0 1 2 0 2 0 0 0 5 0 2 1 0 3 2 0 1 1 3 4 0 0 1 1 7 1 3 0 1 0 2 0 2 1 10 1 1 0 0 4 0 2 4 0 1 0 0 1 0 2 4 2 0 1 0 0 2 0 4 1 1 0 1 0 2 1 3 0 0 0 2 0 0 0 0 1 1 1 1 3 1 0 1 5 1 1 0 0 0 0 6 0 2 3 1 0 3 1 0 1 1 2 0 0 0 1 1 3 1 0 6 4 1 1 0 3 0 1 0 1 0 1 2 1 2 1 0 1 0 0 0 0 0 0 0 0 1 1 3 1 1 1 0 0 0
"simple" 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 5 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 2 0 0 0 0 1 3 0 0 1 1 0 0 0 0 1 0 1 0 3 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 2 1 0 0 2
"slow" 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 4 0 0 0 1 1 0 0 0 1 2 0 1 1 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 2 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 0 0 3 0 0 1 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 2 0 1 0 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 4 0 1 2 0 0 3
"smart" 1 0 1 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0
"solemn" 0 0 0 0 2 0 0 0 2 0 1 0 0 2 3 0 0 2 1 2 0 0 2 0 0 0 0 0 0 1 0 0 0 0 4 1 1 0 1 1 1 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0 1 1 1 0 2 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 0 2 0 0 2 0 0 0 0 1 0 0 0 1 4 1 0 0 0 1 0 0 0 2 3 2 0 0 1 1 0 0 1 0 0 1 0 1 0 2 0 2 0 2 1 0 0 1
"speedy" 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"steady" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
"stern" 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"strict" 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0
"sunny" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0
"surly" 0 0 2 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1
"suspicious" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
