"" "absurd" "account" "anger" "animated" "back" "bee" "beg" "bird" "birds" "bitter" "black" "blush" "book" "box" "boy" "breathe" "bridge" "broad" "bustling" "camp" "can" "challenge" "charge" "chief" "chin" "cold" "command" "compare" "condition" "cow" "cure" "curious" "daughter" "desert" "destruction" "determined" "diligent" "dinner" "distance" "dogs" "dry" "earth" "end" "escape" "excuse" "experience" "fade" "familiar" "fat" "female" "fence" "finger" "first" "fish" "found" "frame" "fresh" "full" "gather" "gentle" "glib" "gold" "gorgeous" "hand" "hang" "history" "hope" "horse" "hot" "humor" "important" "include" "iron" "land" "large" "laugh" "leg" "legs" "letters" "lie" "line" "lip" "little" "lock" "marble" "married" "meeting" "minister" "money" "mother" "name" "natural" "neck" "obey" "open" "order" "page" "person" "pipe" "plants" "plate" "plot" "point" "pollution" "present" "protect" "quill" "ready" "red" "relation" "religion" "request" "rest" "round" "sack" "sad" "safe" "scale" "search" "secret" "sense" "separate" "shirt" "sigh" "space" "spare" "stage" "stamp" "store" "story" "strange" "street" "suspect" "tail" "talk" "teeth" "temper" "test" "thought" "time" "touch" "two" "window" "wine" "wire" "wipe" "vast" "wonder" "wrong" "yellow" "yard" "trouble" "venomous" "waiting" "wicked" "winter"
"little" 1 1 4 1 2 21 4 1 1 0 2 0 1 0 1 0 1 1 1 1 15 1 2 0 1 3 3 0 3 1 0 2 1 1 2 4 2 2 1 1 2 10 10 1 3 4 1 2 1 2 1 2 13 0 6 2 3 13 3 3 1 5 1 12 5 1 5 2 4 1 0 2 2 1 3 1 1 3 2 3 4 2 0 1 1 0 1 1 7 3 15 0 1 1 7 6 2 4 1 1 2 2 4 1 4 1 1 0 3 1 7 7 6 7 0 0 0 2 1 2 2 1 1 0 4 2 1 0 1 1 2 1 1 1 1 2 2 1 19 19 1 16 1 3 1 2 1 2 1 1 2 1 0 1 0 0
"lock" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"marble" 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"married" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"meeting" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"minister" 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 2 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 0 2 1 1 0 0 0 0 1 0 0 0 0 0 0 0
"money" 0 0 0 0 1 6 1 0 0 0 1 0 1 0 1 0 2 0 0 1 4 0 0 0 0 1 3 0 1 1 0 1 0 1 0 0 1 1 0 1 2 1 4 1 1 1 0 1 0 1 1 2 5 0 3 0 2 3 1 0 1 0 0 3 2 0 3 0 1 0 0 1 0 0 2 0 1 1 2 1 0 1 7 0 0 0 0 1 0 0 7 0 0 0 1 3 1 1 0 0 2 0 1 0 1 1 0 0 3 1 0 1 2 3 0 0 0 0 0 1 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 8 7 0 8 0 2 1 0 0 1 2 0 2 0 0 0 0 0
"mother" 0 0 0 0 0 5 1 0 0 0 1 1 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 2 0 2 0 0 1 0 0 0 2 0 4 2 1 1 1 1 0 0 0 0 0 1 0 0 2 0 0 0 0 3 1 0 0 0 0 0 0 4 0 1 0 1 1 1 1 0 0 0 0 0 0 2 0 0 1 1 0 1 0 2 1 0 1 1 0 2 1 1 0 2 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 3 4 0 4 0 0 0 1 0 0 0 0 0 0 0 1 2 0
"name" 1 0 3 0 0 13 4 0 0 0 1 0 1 1 1 0 2 0 0 2 12 2 2 0 1 2 4 1 1 0 1 2 1 2 1 4 1 1 1 1 1 8 9 0 2 1 0 1 2 1 0 3 15 0 4 0 2 7 1 2 1 4 0 8 4 1 3 3 3 0 0 2 0 0 3 1 1 2 2 2 4 3 15 1 0 0 0 2 7 4 0 0 1 1 5 3 2 3 0 0 0 3 4 1 4 1 1 1 3 1 4 4 5 3 0 0 0 0 1 2 1 1 2 1 1 1 1 1 1 1 1 2 0 0 1 1 1 1 17 16 1 14 1 3 0 3 0 1 2 0 0 0 0 0 1 0
"natural" 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"neck" 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 3 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1
"obey" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"open" 0 0 0 1 0 7 1 1 1 0 0 0 0 0 0 0 0 0 1 0 3 2 1 0 0 2 2 1 1 0 0 0 1 1 0 2 1 3 1 0 0 6 2 1 1 1 0 2 0 1 0 0 5 0 4 0 0 7 0 1 0 3 0 5 3 0 2 2 4 0 0 0 1 0 1 0 0 1 0 0 2 1 7 0 0 0 0 1 1 1 5 0 0 1 0 3 0 1 0 0 1 2 0 0 1 0 0 0 1 0 1 2 2 3 0 0 0 2 1 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 0 7 6 0 4 1 0 1 0 0 0 0 1 1 0 0 0 0 0
"order" 0 1 0 1 1 6 0 1 0 0 1 0 0 1 0 0 0 0 0 0 3 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 1 2 3 1 0 2 0 1 0 1 1 0 4 0 1 0 1 7 1 1 0 1 1 2 2 1 2 2 2 0 0 1 1 1 0 0 0 1 0 1 0 1 6 0 1 0 0 0 3 1 3 0 1 0 3 0 0 1 1 1 2 0 0 0 1 0 0 1 2 0 2 1 2 6 0 0 0 1 0 0 1 0 0 0 2 0 0 1 0 0 1 1 0 1 0 0 0 0 4 4 0 5 0 0 1 0 1 0 0 1 2 0 0 0 1 0
"page" 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 1 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 1 2 0 1 0 1 0 0 1 0 0 0 0 1 0 0
"person" 0 0 1 0 0 4 0 0 0 0 1 0 0 0 0 0 1 0 0 2 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 3 2 0 1 0 1 0 0 0 0 1 1 0 2 1 2 3 1 1 0 2 0 1 2 0 1 1 1 0 0 0 0 1 1 0 0 1 0 2 2 0 4 0 0 0 1 1 1 1 3 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 2 0 2 3 2 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 4 4 1 4 0 1 0 0 0 0 1 0 0 0 0 0 0 1
"pipe" 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"plants" 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1
"plate" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 2 1 0 0 0 1 0 0 1 0 1 0 1 0 0 2 0 0 0 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0
"plot" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 1 0 1 0 2 0 1 0 0 0 3 1 0 0 0 0 1 1 0 0 0 2 0 1 0 0 2 0 0 0 0 0 2 0 0 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 3 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 3 3 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"point" 1 0 2 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 4 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 2 4 0 0 0 1 2 0 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 1 0 4 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 1 0 1 1 1 0 2 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 4 5 0 4 0 2 0 2 0 0 1 0 0 0 0 0 0 0
"pollution" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"present" 0 1 2 0 0 7 1 0 1 1 1 0 0 1 0 1 0 1 0 0 7 0 1 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 3 0 6 3 0 0 1 0 0 1 0 0 0 5 1 2 0 1 4 0 0 0 2 1 1 1 0 0 1 2 1 0 0 0 1 4 0 1 1 1 0 0 0 4 0 1 0 0 0 1 2 4 1 0 0 1 1 0 1 1 1 0 0 2 0 0 0 0 0 2 0 2 0 1 2 1 0 0 0 1 1 2 0 1 0 1 1 0 0 1 0 2 0 0 1 0 2 0 1 4 6 0 4 1 2 0 2 1 0 1 0 0 0 0 0 0 0
"protect" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"quill" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ready" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"red" 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 0 1 0 0 1 3 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 2 4 1 0 1 1 0 1 0 0 1 4 0 2 1 2 3 0 0 0 1 0 1 1 0 1 1 3 0 0 1 0 0 1 0 0 0 0 0 1 1 3 0 0 0 1 1 3 1 3 0 0 0 1 2 1 2 0 0 1 0 1 0 2 0 0 0 0 0 1 1 1 2 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 5 0 2 1 2 0 0 1 0 1 0 0 0 0 0
"relation" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"religion" 1 1 2 0 1 9 0 0 0 0 1 0 0 1 0 1 0 1 0 0 6 0 1 0 1 0 0 0 2 0 0 1 0 0 1 2 1 0 0 1 0 6 5 0 0 2 1 1 1 0 0 1 5 1 2 2 2 5 1 0 0 2 1 6 1 1 1 2 0 0 0 1 0 0 1 1 1 0 0 0 1 1 7 0 1 0 1 0 0 1 4 0 2 0 1 2 1 2 1 1 0 1 1 0 2 0 0 1 1 0 0 2 3 3 2 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 2 0 0 4 6 2 4 0 1 0 2 1 1 0 0 0 0 0 0 1 1
"request" 0 0 2 0 1 6 1 0 0 0 0 0 1 0 1 0 0 0 0 1 4 1 1 0 0 1 1 0 2 0 0 0 0 0 1 2 1 0 1 0 0 4 3 0 2 0 1 0 0 1 0 0 4 0 2 2 1 4 2 2 0 1 0 3 1 0 2 0 2 0 0 0 0 1 0 0 0 0 0 2 3 0 7 0 0 0 1 1 1 0 4 0 0 1 2 1 0 3 0 0 0 1 0 1 0 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 4 5 0 5 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"rest" 1 0 1 0 1 6 1 0 0 0 0 0 0 1 0 0 1 0 0 0 4 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 2 4 5 0 0 0 1 1 0 0 1 2 4 0 2 1 2 5 0 1 1 3 0 4 4 1 1 1 1 0 0 0 0 0 1 1 1 2 1 1 2 0 6 0 0 0 1 1 2 2 5 0 1 0 2 2 0 2 0 1 1 0 2 0 1 1 0 1 1 1 3 2 0 1 0 0 0 0 1 2 0 0 0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0 6 7 0 7 1 0 0 1 0 0 1 0 1 0 0 0 1 1
"round" 0 1 0 1 1 7 0 1 0 0 2 0 0 0 0 1 0 1 0 0 4 1 1 0 0 1 1 1 1 1 0 1 2 0 0 0 0 1 0 1 1 4 3 1 0 2 0 1 1 1 1 0 4 1 1 0 1 7 0 0 0 1 1 3 1 0 2 2 1 0 0 2 1 0 1 0 1 1 0 0 0 2 7 0 1 0 0 0 3 1 3 0 0 0 3 6 2 0 1 1 2 1 0 0 2 0 0 0 2 0 3 0 1 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 1 0 1 1 0 5 5 1 5 0 1 1 1 1 0 0 1 2 0 0 1 0 0
"sack" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
"sad" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"safe" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"scale" 0 0 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"search" 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"secret" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 2 0 0 0 0 0 1 1 2 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"sense" 0 1 0 0 0 3 1 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 2 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 2 0 3 0 1 0 1 1 0 0 0 0 0 0 0 0 0
"separate" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0
"shirt" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"sigh" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0
