"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"forgetful";19;19;0;0;1;"forgetful";4,56623321927265;"forgetful";0,872010661377578;"forgetful";188;"forgetful";0,117647058823529;"forgetful";0,298359453678131
"fortunate";60;44;3;75;0,733333333333333;"fortunate";4,6107964291199;"fortunate";0,857790482707877;"fortunate";230,25;"fortunate";0,0842350795814713;"fortunate";0,396757155656815
"friendly";368;143;21;11,6190476190476;0,388586956521739;"friendly";4,59739661756729;"friendly";0,860757951382771;"friendly";226,454545454545;"friendly";0,0966476278712944;"friendly";0,384691455824809
"frightening";17;17;0;0;1;"frightening";4,27912846087662;"frightening";0,906883434244018;"frightening";112;"frightening";0,210526315789474;"frightening";0,169609367847443
"funny";71;48;4;35,5;0,676056338028169;"funny";4,68112349452884;"funny";0,84384296874885;"funny";258,6;"funny";0,0534857215663293;"funny";0,452518081665039
"furious";25;22;1;138;0,88;"furious";4,66518830240573;"furious";0,847588143056315;"furious";248,5;"furious";0,0614815306935955;"furious";0,416340082883835
"generous";81;53;4;50,75;0,654320987654321;"generous";4,51473379207225;"generous";0,872462547880414;"generous";208,4;"generous";0,132236813114936;"generous";0,335957527160644
"gentle";500;167;32;7,59375;0,334;"gentle";4,59816327197118;"gentle";0,858419141623269;"gentle";231,30303030303;"gentle";0,0941205054696779;"gentle";0,394198211305069
"genuine";64;42;3;6;0,65625;"genuine";4,63880465869545;"genuine";0,851186430661827;"genuine";232,75;"genuine";0,0693404520825846;"genuine";0,410119108855724
"glad";719;173;45;5,48888888888889;0,240611961057024;"glad";4,65185141240861;"glad";0,852526129652204;"glad";244,152173913043;"glad";0,0731962412361361;"glad";0,42096871526345
"good";2411;275;164;1,53658536585366;0,114060555785981;"good";4,61818526441088;"good";0,856210140246938;"good";234,345454545455;"good";0,0854659704735143;"good";0,401009623751496
"gorgeous";30;27;1;67;0,9;"gorgeous";4,65062609023785;"gorgeous";0,854803961819052;"gorgeous";232;"gorgeous";0,0736134792081083;"gorgeous";0,390506595373153
"graceful";130;77;6;32,3333333333333;0,592307692307692;"graceful";4,66339050282307;"graceful";0,852450983321528;"graceful";241,714285714286;"graceful";0,0696454586399736;"graceful";0,420576470238822
"gracious";83;53;5;41,8;0,63855421686747;"gracious";4,63128419003207;"gracious";0,858451344797302;"gracious";229;"gracious";0,0859772888602874;"gracious";0,391546495258808
"grateful";324;119;19;13;0,367283950617284;"grateful";4,5218292283074;"grateful";0,865024082052895;"grateful";222,15;"grateful";0,115314891095075;"grateful";0,37672765403986
"great";2417;276;166;1,53012048192771;0,114191146048821;"great";4,57801269978517;"great";0,861292975660273;"great";224,077844311377;"great";0,0962518137165351;"great";0,381294577867685
"greedy";17;17;0;0;1;"greedy";4,51375856160048;"greedy";0,885073878989068;"greedy";164;"greedy";0,150071123755334;"greedy";0,245693027973175
"handsome";147;83;8;30,75;0,564625850340136;"handsome";4,53614713434252;"handsome";0,87005097109414;"handsome";207,333333333333;"handsome";0,12151189683279;"handsome";0,346771707137426
"happy";922;198;61;4,11475409836066;0,214750542299349;"happy";4,58793778503736;"happy";0,85999292972529;"happy";228,048387096774;"happy";0,0987730185159183;"happy";0,389360779716122
"hard";520;153;35;7,11428571428571;0,294230769230769;"hard";4,56556048979527;"hard";0,861611893599443;"hard";224,694444444444;"hard";0,083247537966915;"hard";0,383649412956503
"harmless";52;41;2;21;0,788461538461538;"harmless";4,66414173851261;"harmless";0,849498119784221;"harmless";242,666666666667;"harmless";0,0624314067682689;"harmless";0,42415851354599
"healthy";118;65;6;33,8333333333333;0,550847457627119;"healthy";4,69101543998341;"healthy";0,845362755323698;"healthy";261,285714285714;"healthy";0,0547944750310491;"healthy";0,456564149686268
"helpless";117;73;7;34,1428571428571;0,623931623931624;"helpless";4,53541515606592;"helpless";0,87152728585359;"helpless";200,875;"helpless";0,12357437809092;"helpless";0,339283479377627
"hilarious";33;25;1;133;0,757575757575758;"hilarious";4,64336617149165;"hilarious";0,850934765343476;"hilarious";238;"hilarious";0,0721621970229206;"hilarious";0,419209852814674
"honest";368;129;24;8,375;0,35054347826087;"honest";4,67062667143866;"honest";0,847381318533913;"honest";251,24;"honest";0,0608175875429195;"honest";0,434230442047119
"hopeful";31;27;1;13;0,870967741935484;"hopeful";4,70568776338827;"hopeful";0,839988638139773;"hopeful";271;"hopeful";0,0433945481491168;"hopeful";0,470850303769112
"humorous";47;38;2;85,5;0,808510638297872;"humorous";4,70005285335797;"humorous";0,842661721008174;"humorous";267;"humorous";0,0500840342289662;"humorous";0,467854926983515
"ignorant";16;16;0;0;1;"ignorant";4,71774422093542;"ignorant";0,836723565226323;"ignorant";281;"ignorant";0,0384924623115578;"ignorant";0,485832095146179
"impatient";179;91;11;17,3636363636364;0,508379888268156;"impatient";4,56240177551706;"impatient";0,867118259845173;"impatient";212,5;"impatient";0,109060855959654;"impatient";0,35545069600145
"important";147;87;7;13,8571428571429;0,591836734693878;"important";4,597974270134;"important";0,863214160667528;"important";209,875;"important";0,0978889117217814;"important";0,347241958603263
"impressive";38;32;1;103;0,842105263157895;"impressive";4,70053986018635;"impressive";0,844155409127651;"impressive";263;"impressive";0,049240067371143;"impressive";0,464286401867867
"inconsiderate";22;22;0;0;1;"inconsiderate";4,74458591705755;"inconsiderate";0,835792088633778;"inconsiderate";292;"inconsiderate";0,0327109266943292;"inconsiderate";0,519297778606415
"independent";35;31;1;16;0,885714285714286;"independent";4,67517608363436;"independent";0,849600728090989;"independent";245,5;"independent";0,0613955805465128;"independent";0,422152683138847
"inexperienced";13;13;0;0;1;"inexperienced";4,61607685142212;"inexperienced";0,851590636725311;"inexperienced";226;"inexperienced";0,0746031746031746;"inexperienced";0,394638925790787
"innocent";275;122;16;14,9375;0,443636363636364;"innocent";4,66559926113959;"innocent";0,848231609922219;"innocent";254,941176470588;"innocent";0,0650500429964206;"innocent";0,444583787637598
"intelligent";17;17;0;0;1;"intelligent";4,58177589715893;"intelligent";0,867234377549432;"intelligent";197;"intelligent";0,108709273182957;"intelligent";0,312920957803726
"interested";129;75;8;22,625;0,581395348837209;"interested";4,65363329339216;"interested";0,852272577082867;"interested";237,444444444444;"interested";0,0703331331691972;"interested";0,406219313542048
"interesting";42;29;3;14;0,69047619047619;"interesting";4,68420963578056;"interesting";0,848048064732048;"interesting";250,75;"interesting";0,05782059353693;"interesting";0,430387049913406
"irresponsible";15;15;0;0;1;"irresponsible";4,67508625750255;"irresponsible";0,849192501303339;"irresponsible";246;"irresponsible";0,0609155439663914;"irresponsible";0,418571949005127
"irritable";13;13;0;0;1;"irritable";4,70544613017549;"irritable";0,838293023246773;"irritable";274;"irritable";0,0409982174688057;"irritable";0,497420907020569
"irritated";32;29;1;4;0,90625;"irritated";4,55041477211183;"irritated";0,880582292428716;"irritated";175,5;"irritated";0,132776178693464;"irritated";0,255404219031334
"irritating";12;12;0;0;1;"irritating";4,54876273816163;"irritating";0,879755694539785;"irritating";176;"irritating";0,130808080808081;"irritating";0,252709418535233
"jealous";109;75;6;37,3333333333333;0,688073394495413;"jealous";4,62401069280925;"jealous";0,860346522494444;"jealous";225,714285714286;"jealous";0,0910015144504217;"jealous";0,377963615315301
"joyful";32;28;1;113;0,875;"joyful";4,6426640057029;"joyful";0,853974182648958;"joyful";233;"joyful";0,0767006164035217;"joyful";0,390163421630859
