"active" "affectionate" "awkward" "bitter" "bold" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "civil" "clean" "close" "cold" "confident" "confidential" "considerate" "constant" "cool" "cruel" "cunning" "curious" "delicate" "dependent" "determined" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fearful" "fervent" "fierce" "fiery" "firm" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "hopeless" "humble" "hurried" "immovable" "impatient" "indifferent" "intense" "jealous" "keen" "kind" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "mournful" "natural" "nervous" "nigh" "noiseless" "noisy" "open" "original" "particular" "patient" "peaceful" "pleasant" "polite" "prompt" "proud" "punctual" "quick" "quiet" "rapid" "reasonable" "respectful" "responsible" "restless" "rigid" "rough" "rusty" "sad" "sarcastic" "scrupulous" "second" "selfish" "serious" "severe" "silent" "simple" "slow" "sluggish" "sober" "soft" "solemn" "spirited" "stately" "steady" "stern" "stiff" "strict" "strong" "sudden" "sufficient" "sure" "susceptible" "sweet" "thoughtful" "thoughtless" "tight" "timid" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "vicious" "violent" "virtuous" "weak" "willing" "worldly" "wise"
"mournful" 0 0 0 1 1 0 0 0 1 0 1 1 0 1 1 2 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 2 0 2 1 0 0 0 1 0 0 0 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 1 0 0 0 3 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 0 2 0 1 2 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 1 0 1 0 0
"natural" 1 4 1 1 2 0 0 3 1 1 12 2 0 1 3 3 1 4 0 3 3 2 0 1 2 0 0 2 0 3 6 0 1 5 3 3 1 0 1 0 1 1 6 3 2 0 12 0 2 5 2 1 4 3 1 3 2 0 6 7 2 5 2 4 1 4 1 3 3 2 1 4 0 6 2 1 0 4 3 1 1 0 0 0 5 5 0 1 8 2 5 3 2 8 2 2 3 0 2 11 0 2 1 3 3 2 6 0 3 0 0 2 1 5 3 6 2 7 2 0 1 1 1 4 2 0 3 2 10 3 1 24 2 5 3 1 2 1 9 2 3 1 4 1 0 1 3 4 3 3 2 1
"nervous" 0 1 1 0 1 0 1 0 2 0 3 0 0 1 1 4 0 0 0 1 1 2 1 0 2 1 0 3 0 0 3 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 2 0 0 3 1 2 0 1 0 2 1 0 3 0 0 1 0 2 1 0 0 0 2 1 2 0 0 0 2 0 0 0 0 0 5 0 1 0 1 2 1 1 1 0 1 0 1 2 0 2 1 0 1 1 0 0 0 1 1 2 0 0 1 0 2 0 1 1 1 0 2 0 0 0 2 1 1 0 1 4 2 4 6 0 0 0 0 0 2 3 1 0 0 3 0 1 0 2 1 2 2 0 1
"nigh" 0 1 0 1 1 0 0 0 0 0 2 1 1 0 0 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 1 2 0 0 0 0 5 1 0 0 0 4 0 2 1 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 0 2 0 3 0 1 0 0 0 0 0 0 1 0 0 0 1 1 3 0 0 4 0 3 0 1 1 0 1 0 0 1 1 0 0 1 2 0 0 2 0 1
"noiseless" 2 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 2 0 0 1 0 1 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 1 0 0 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 0 2 0 0 0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0
"noisy" 1 1 1 0 2 0 2 0 0 0 1 1 0 1 4 2 0 0 0 0 1 1 0 2 0 0 0 0 1 0 0 0 1 1 0 0 2 1 1 0 0 2 1 0 1 0 3 0 1 1 1 0 1 0 0 0 0 0 1 1 2 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 1 0 0 0 1 1 0 0 0 3 0 0 0 0 1 2 0 0 1 0 1 0 0 0 1 1 0 1 0 1 1 3 0 0 0 1 0 0 0 0 0 1 0 0 3 1 1 2 0 1 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0
"open" 2 8 3 3 0 2 3 2 1 1 13 6 2 2 11 16 0 1 0 3 2 3 2 2 2 0 1 1 5 2 6 1 3 0 0 2 0 0 3 1 1 5 7 0 2 0 5 3 5 8 1 2 3 3 3 1 1 1 5 4 4 9 3 9 0 4 1 2 3 1 2 2 2 8 3 0 4 10 2 8 2 3 2 8 2 4 1 1 0 10 11 1 0 13 2 0 9 4 3 15 6 2 2 0 2 2 2 4 1 1 1 8 4 7 1 9 0 4 1 3 2 3 2 1 3 3 3 4 15 4 3 17 0 5 2 1 1 1 7 3 3 2 6 2 2 1 13 1 4 3 3 4
"original" 0 5 2 0 2 0 1 3 1 1 6 3 0 0 5 6 2 2 0 0 2 0 1 0 0 0 0 1 2 2 2 0 1 1 1 2 0 0 1 1 1 1 5 0 2 1 7 0 3 4 0 1 1 4 1 0 2 2 3 2 0 4 1 3 0 2 1 2 2 3 1 0 2 1 1 0 1 5 0 3 3 2 1 2 1 0 1 1 10 0 7 2 2 6 2 1 3 0 2 3 0 0 0 0 1 0 2 4 1 1 0 7 1 3 0 5 0 2 0 1 2 3 0 3 0 3 1 2 8 1 3 8 0 2 2 1 1 0 4 0 0 0 1 0 4 5 5 1 3 0 1 1
"particular" 2 4 4 3 1 2 4 1 2 2 9 6 0 1 5 10 1 3 1 5 2 1 3 4 4 2 0 1 2 4 8 1 0 3 2 1 2 1 2 1 0 1 4 1 0 2 14 1 3 5 0 1 5 0 3 2 1 0 4 4 4 7 1 6 2 2 0 3 4 1 3 5 3 9 2 0 2 4 1 7 1 1 0 5 1 2 2 0 11 7 0 3 0 8 2 0 7 2 5 4 1 2 2 0 1 0 1 3 3 1 2 9 3 8 1 9 1 2 0 0 3 1 3 1 1 4 1 0 14 3 2 20 1 5 4 2 2 2 5 5 2 0 3 0 0 1 5 2 4 2 2 2
"patient" 0 0 1 2 0 0 0 1 0 0 3 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 1 0 0 1 2 0 0 0 0 2 1 1 1 1 1 1 1 2 1 0 0 0 3 0 2 1 0 0 1 0 2 0 0 0 3 1 1 0 0 1 2 3 0 1 1 0 0 0 0 1 2 0 0 0 0 0 0 1 0 1 0 0 2 0 3 1 0 0 2 0 0 0 0 0 1 0 0 0 0 2 1 2 5 1 0 0 3 1 0 0 0 0 1 3 1 1 0 2 0 3 0 1 0
"peaceful" 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 0 0 0 3 0 0 0 1 2 2 0 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 0 2 1 0 2 0 0 0 0 1 0 0 2 1 0 0 1 0 1 2 0 0 2 0 0 0 0 0 2 0 1 0 2 0 0 2 0 1 3 0 0 0 0 1 0 2 1 2 0 0 2 0 0 2 1 1 0 0 0 2 2 0 1 0 1 0 0 2 0 1 3 0 1 0 1 1 0 3 0 0 2 0 1 1 0 0 0 0 0 1 0
"pleasant" 0 3 2 4 3 1 4 1 2 0 8 5 1 4 4 6 0 3 1 3 2 1 0 2 3 1 1 2 6 1 6 2 0 2 1 4 1 3 2 1 0 5 10 3 1 1 12 1 2 9 1 1 2 2 3 0 3 0 3 1 1 6 1 3 1 7 1 1 2 0 0 4 1 9 0 2 3 7 0 0 2 3 2 8 1 2 1 3 13 6 8 1 2 0 2 0 8 3 4 12 1 1 1 0 1 1 3 1 1 0 2 9 0 3 2 4 1 6 2 0 6 4 2 2 2 2 1 2 10 2 2 20 0 6 2 0 3 0 9 1 3 1 4 0 3 1 7 4 1 2 1 3
"polite" 1 1 1 0 1 0 0 0 0 0 1 2 1 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 1 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 2 2 2 0 0 2 0 0 2 1 0 2 0 0 1 1 0 0 0 0 0 1 0 2 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0 1 1 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0
"prompt" 0 1 0 0 0 0 0 1 1 1 2 1 0 0 2 2 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 2 1 0 0 0 1 0 0 2 0 1 0 0 0 0 0 1 0 0 1 2 1 1 0 0 0 0 0 0
"proud" 0 2 3 1 0 1 1 1 1 0 5 3 1 1 2 1 0 1 0 3 2 3 1 1 3 1 0 0 0 2 5 0 0 1 3 1 0 0 0 2 1 2 3 2 1 1 6 2 0 5 0 0 1 0 3 0 3 0 3 3 0 2 1 4 0 3 0 1 1 0 1 4 0 4 2 0 1 0 1 3 1 2 0 3 2 0 1 0 9 3 7 0 2 8 2 0 0 3 1 1 1 0 0 0 1 2 0 1 2 0 1 5 3 8 0 5 2 3 0 1 1 3 1 3 0 0 1 1 12 1 2 14 0 5 2 1 1 0 9 1 0 0 2 1 2 1 8 2 2 1 3 0
"punctual" 0 1 0 0 0 1 2 0 1 0 2 2 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 1 0 2 1 1 0 0 1 0 1 2 0 0 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 3 1 0 3 0 0 2 0 1 0 0 0 0 0 1 0 0 1 4 0 3 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 1 2 2 0 3 0 0 0 0 4 0 0 0 1 2 0 0 1 0 0 0 0 0
"quick" 2 0 0 0 0 1 1 1 2 0 2 2 0 0 2 5 0 1 0 3 0 0 2 1 1 1 0 0 2 2 3 1 0 1 2 6 2 0 0 1 1 0 6 2 2 0 4 0 0 2 0 0 1 1 0 0 0 0 3 2 1 6 0 2 2 1 0 0 3 0 2 1 1 3 0 1 0 3 0 2 2 0 0 2 2 0 2 1 3 2 5 1 1 4 0 0 1 0 0 3 1 1 0 0 2 0 2 2 1 1 1 1 1 1 3 2 0 2 1 0 2 1 2 2 3 1 2 2 3 4 4 6 1 1 1 1 0 0 2 2 1 0 1 1 1 1 3 3 3 0 0 1
"quiet" 3 3 4 3 3 3 3 2 2 2 12 7 1 1 8 10 2 1 0 3 1 3 1 1 3 0 1 2 3 6 5 0 2 2 3 3 1 1 2 1 2 5 8 2 1 1 5 1 2 4 2 2 3 2 1 3 2 0 3 4 2 5 5 3 0 3 2 3 5 2 2 4 1 7 1 1 5 10 1 3 2 1 2 11 1 2 1 2 15 3 4 2 3 12 2 1 1 2 3 0 2 0 2 2 2 1 4 0 1 2 1 4 1 2 4 6 2 5 1 2 3 2 3 0 2 1 1 1 11 4 3 16 1 5 0 2 1 4 10 1 3 3 4 4 2 0 3 4 3 3 1 1
"rapid" 0 0 0 1 0 1 0 1 0 0 1 0 0 0 2 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 2 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 2 0 2 0 1 0 0 1 0 0 1 1 2 0 0 0 3 0 2 0 0 0 0 0 0 0 0 6 0 1 0 0 1 0 0 1 0 1 2 0 0 1 1 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 0 1 1 0 4 0 1 0 0 0 0 0 0 1 2 1 1 0 0 5 0 2 0 1 1
"reasonable" 0 0 0 0 1 0 1 0 0 1 2 1 0 0 1 1 0 0 0 0 1 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 2 1 0 0 0 2 0 2 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 4 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 2 0 0 0 0
"respectful" 2 0 1 0 0 1 0 0 0 1 2 2 2 1 0 2 1 0 0 0 0 0 1 0 1 1 0 1 0 0 2 2 0 1 2 0 1 0 0 0 0 1 1 0 0 0 3 1 0 1 0 0 1 0 0 0 0 0 2 1 0 1 0 1 0 0 1 0 0 0 0 1 0 2 1 0 1 3 0 0 0 0 0 1 1 0 0 1 2 0 2 0 0 1 1 0 0 0 0 2 1 0 0 0 0 0 2 1 0 1 0 0 0 1 1 2 0 2 0 0 0 0 1 0 0 0 0 1 3 1 1 4 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1
"responsible" 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 1 0 2 1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 4 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 3 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0
"restless" 0 1 0 0 0 0 0 3 1 1 2 1 0 1 1 2 1 0 0 2 1 0 1 1 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 1 1 1 1 2 0 1 0 0 0 0 0 1 0 0 0 1 0 2 3 1 0 1 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 0 0 3 0 0 0 1 2 1 1 0 1 1 0 1 1 0 2 2 0 1 0 0 0 1 1 1 2 0 0 1 0 1 0 3 0 0 1 0 0 1 0 2 1 1 0 0 3 0 0 5 0 0 0 0 0 0 3 2 1 0 1 1 0 1 1 0 0 1 0 0
"rigid" 0 0 1 0 0 0 0 2 0 0 2 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 5 0 1 0 0 0 0 0 1 1 0 1 0 4 0 0 3 0 0 0 0 2 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0
"rough" 1 2 0 1 1 0 1 3 0 1 3 0 0 1 1 4 1 2 0 2 0 0 0 0 1 0 0 2 0 2 2 1 0 0 1 1 1 1 0 0 1 0 1 0 1 1 3 0 3 3 0 1 1 2 0 0 1 0 2 2 0 2 1 1 0 3 0 1 1 1 0 1 0 1 1 0 0 4 1 1 2 0 1 6 1 1 0 0 2 2 1 1 2 3 0 0 0 0 2 4 0 1 2 0 1 1 0 0 0 1 0 4 0 2 2 1 0 1 0 0 2 1 1 1 0 1 1 0 3 1 0 9 0 1 0 0 0 0 2 0 0 0 0 0 1 1 1 1 1 0 0 0
"rusty" 0 0 0 1 0 0 1 0 2 2 4 0 0 1 1 4 1 0 0 0 0 0 2 1 3 0 0 1 2 2 3 0 0 1 1 1 0 0 1 1 1 1 0 1 2 0 3 0 1 1 0 0 1 0 0 0 0 1 0 0 0 3 0 1 0 0 0 0 2 1 0 1 0 2 0 0 0 3 0 3 1 1 1 0 1 0 1 0 4 4 3 0 1 1 0 0 1 1 2 0 0 1 1 0 1 0 0 0 1 0 1 4 1 1 0 4 0 2 0 0 0 1 0 1 0 1 0 0 2 0 2 1 0 0 2 0 1 0 1 1 1 0 1 0 0 0 2 0 0 0 0 1
"sad" 2 1 0 2 1 1 1 1 1 1 3 1 0 3 3 3 1 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 2 1 1 0 0 1 2 0 2 2 2 1 0 0 0 1 0 0 2 1 1 1 0 0 2 2 2 5 1 4 2 0 1 0 0 1 0 1 1 3 0 0 0 1 0 2 3 1 0 3 2 1 0 1 1 1 3 1 2 1 0 1 2 0 1 1 1 0 0 1 2 0 0 1 0 0 0 3 0 0 1 4 3 0 1 0 0 2 0 2 1 0 0 0 2 1 0 7 0 1 1 1 0 1 4 2 1 3 0 1 0 1 1 0 1 1 2 1
"sarcastic" 2 0 2 1 0 0 0 1 0 0 2 3 0 0 1 5 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 1 3 0 0 1 1 0 2 1 1 0 0 0 1 0 0 0 0 1 1 2 0 1 1 1 1 0 2 0 1 1 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 1 0 2 0 1 0 0 0 0 0 0 0 0 1 1 1 3 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 0
"scrupulous" 0 1 0 1 0 0 1 0 2 0 1 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 2 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 2 0 0 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 2 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"second" 2 4 2 1 1 0 3 1 1 0 11 2 1 4 4 8 1 2 1 1 1 2 2 4 3 1 2 1 0 4 3 1 0 1 3 2 0 1 1 1 1 5 2 0 1 0 9 0 5 6 3 0 4 3 3 1 0 2 3 1 3 6 2 3 1 3 1 2 0 0 0 3 0 2 1 0 2 7 0 6 1 1 3 2 1 2 0 1 8 7 9 2 2 9 2 1 5 4 1 4 0 2 0 0 1 1 4 4 3 1 1 0 1 7 0 7 2 1 0 0 1 5 2 3 0 2 1 0 13 4 6 16 1 4 2 1 2 2 9 0 0 1 3 1 3 1 5 0 5 1 1 0
"selfish" 0 1 0 1 0 0 0 0 1 0 3 1 0 0 0 4 0 0 0 2 0 1 0 1 2 1 0 0 1 2 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 2 2 0 0 0 0 1 2 0 0 0 0 0 2 0 3 0 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 0 0 0 1 0 0 0 0 4 1 3 0 0 0 0 1 3 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 2 2 0 0 0 0 1 1 1 0 0 1 1 0 0 2 5 0 1 0 0 0 1 1 0 1 1 3 0 0 1 5 0 3 1 0 1
"serious" 1 1 1 2 2 0 2 0 1 2 11 1 2 3 3 2 0 3 1 2 0 1 2 1 3 0 0 1 1 2 6 1 1 1 0 0 0 1 0 0 1 3 2 1 1 0 5 0 4 1 0 0 0 0 3 1 2 0 2 2 0 2 0 0 1 2 0 1 1 2 0 3 0 2 2 0 0 3 2 2 0 1 0 5 2 3 0 1 7 3 8 3 0 3 1 1 8 3 1 2 0 2 1 0 1 0 2 1 0 0 2 7 1 0 1 0 1 1 0 3 1 0 0 0 0 0 0 0 9 1 2 17 1 4 0 1 3 0 6 1 0 0 4 2 3 1 5 2 3 1 0 1
"severe" 3 0 0 0 0 1 1 2 1 0 4 1 0 2 0 6 0 0 2 1 0 0 0 2 3 0 0 1 1 1 0 0 0 1 0 2 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 1 0 0 0 2 0 2 0 2 0 1 1 0 0 0 1 0 1 0 2 3 2 0 0 6 1 1 0 0 0 3 0 0 2 1 1 0 1 1 2 2 0 0 0 0 3 4 1 0 1 1 0 0 2 0 1 1 0 0 0 1 0 1 0 1 0 0 2 2 0 0 0 0 0 0 3 3 2 7 1 2 0 2 1 0 3 0 1 1 0 2 1 0 3 0 0 1 0 0
"silent" 1 3 2 2 1 1 1 3 1 4 5 6 0 2 3 8 1 1 0 0 2 2 3 2 4 1 0 0 3 4 3 0 1 2 2 1 3 1 1 3 2 0 5 2 3 1 7 1 1 4 3 1 4 1 0 0 1 0 6 4 4 3 3 8 1 1 1 1 3 3 2 2 2 2 1 1 1 8 0 8 2 0 1 6 1 1 1 3 9 5 9 0 1 4 3 1 5 1 2 6 1 0 2 0 3 5 1 4 4 1 2 7 2 0 1 0 2 5 1 0 0 2 3 3 2 4 1 1 8 5 5 14 0 2 2 1 2 1 7 1 3 1 1 3 1 1 12 1 3 2 0 1
"simple" 0 0 0 1 0 0 1 0 0 0 2 1 0 0 1 2 0 1 0 1 0 0 0 0 1 0 0 0 0 2 1 0 0 0 2 1 0 0 0 0 1 2 0 2 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 4 0 0 0 1 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 1 1 1 0 2 1 0 2 0 0 0 0 0 0 0 0 3 0 0 2 2 1 0 2 0 1 0 0 0 0 1 0 0 0 0 0 2 0 3 4 1 1 0 0 0 2 2 0 0 1 1 1 0 0 1 0 2 3 2 0
"slow" 0 0 2 2 0 0 1 0 0 1 6 2 2 1 0 3 0 0 0 0 0 0 1 0 1 0 0 2 2 0 7 0 1 0 1 3 0 0 1 1 2 0 5 1 0 0 4 1 1 3 1 0 1 2 1 1 0 1 4 0 0 3 1 2 2 2 0 1 1 0 1 2 0 3 0 1 1 5 0 3 0 1 0 7 1 0 0 0 4 2 2 2 0 6 1 0 3 0 2 5 1 0 2 1 0 1 1 2 0 2 0 1 0 1 1 5 1 0 2 1 1 0 0 1 3 0 0 1 5 1 2 9 0 1 3 2 1 0 3 1 2 0 0 1 1 0 3 1 2 0 0 0
"sluggish" 1 1 0 0 0 0 2 1 0 1 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 3 2 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 1 2 0 2 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0
"sober" 0 0 1 0 0 0 0 0 0 0 2 1 0 0 1 3 0 0 0 1 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 1 3 1 0 0 0 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 1 0 0 0 0 1 0 1 0 0 0 2 0 1 2 0 0 0 0 0 0 1 1 0 0 0 0 1 0 1 0 2 0 0 0
"soft" 1 1 2 1 1 0 1 1 1 0 1 2 0 0 2 3 0 0 0 2 1 0 0 1 3 0 0 0 2 1 2 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 2 0 1 3 0 1 0 2 0 0 1 0 3 1 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 2 1 0 0 2 0 2 2 3 0 2 6 0 0 1 0 2 3 0 1 0 0 0 0 2 0 0 0 0 1 0 1 2 0 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 6 1 5 0 1 1 0 4 0 0 0 0 1 3 0 2 1 0 0 0 0
"solemn" 1 1 0 0 1 1 0 2 1 0 6 0 0 2 3 4 0 1 1 1 0 2 1 1 0 0 0 0 0 1 0 0 0 1 1 3 2 1 0 1 1 2 0 0 1 0 2 0 2 1 1 0 0 0 1 0 0 1 2 0 1 3 2 1 0 1 0 0 0 0 0 0 1 1 0 1 1 3 1 2 1 2 2 1 0 0 0 0 3 3 1 0 2 4 0 0 3 0 1 2 1 0 0 1 1 0 1 1 2 0 0 5 1 0 2 2 0 0 0 0 1 0 0 1 0 0 0 1 5 1 0 7 0 1 2 0 2 0 2 0 0 1 2 0 2 1 2 0 2 1 0 0
"spirited" 0 0 0 1 1 1 0 1 0 0 2 1 0 1 0 2 1 3 0 2 0 1 1 0 1 0 0 0 0 2 0 1 0 0 2 1 0 0 1 0 1 1 1 0 0 1 2 1 1 0 1 1 0 0 0 0 0 0 3 1 0 3 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 2 0 3 0 0 2 0 0 1 0 2 3 1 0 1 0 0 0 1 0 0 0 0 2 1 0 0 3 1 0 0 1 0 0 0 0 1 0 1 0 3 2 1 1 0 1 0 0 0 1 2 0 1 0 2 0 0 0 0 2 2 1 0 0
"stately" 0 0 1 0 0 0 0 1 1 1 1 2 0 0 0 1 1 0 0 1 2 0 0 0 2 0 0 1 0 0 1 0 0 0 3 1 0 1 0 1 1 0 1 2 1 0 3 0 2 3 0 0 1 3 1 1 0 0 1 2 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1 4 2 0 0 0 1 3 1 1 1 2 0 2 3 0 2 0 0 0 0 0 2 1 1 1 2 0 0 3 1 0 0 3 0 1 1 0 1 1 0 0 1 0 0 0 3 1 1 4 0 0 0 0 1 0 1 1 0 0 0 1 2 1 2 0 2 0 0 0
