"abrupt" "active" "affectionate" "bitter" "bland" "boisterous" "bold" "busy" "calm" "careful" "careless" "cautious" "certain" "cheerful" "clean" "close" "cold" "compassionate" "confidential" "constant" "cool" "cruel" "cunning" "curious" "delicate" "domestic" "eager" "earnest" "easy" "exact" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "helpless" "honest" "humble" "hurried" "impatient" "impetuous" "indifferent" "intimate" "jealous" "keen" "kind" "limp" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "modest" "mournful" "mute" "natural" "neat" "negative" "noiseless" "noisy" "obdurate" "open" "original" "particular" "patient" "peaceful" "placid" "pleasant" "polite" "practical" "proud" "prudent" "quick" "quiet" "rapid" "restless" "rough" "rude" "rusty" "sad" "second" "sentimental" "serious" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "stable" "stately" "steady" "stealthy" "stern" "strong" "submissive" "sudden" "sufficient" "sure" "suspicious" "sweet" "tearful" "tender" "thankful" "thoughtful" "thoughtless" "tight" "timid" "tranquil" "treacherous" "true" "ugly" "uncertain" "unhappy" "unmindful" "vague" "violent" "virtuous" "vocal" "watchful" "weak" "willing" "wise"
"peaceful" 0 0 1 0 0 0 2 2 1 1 0 0 3 1 1 2 2 1 0 1 0 1 2 0 1 1 1 1 1 0 0 1 0 0 0 1 3 0 0 0 0 0 1 0 1 2 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 2 2 2 1 0 0 0 0 2 0 0 0 0 1 5 0 0 1 1 1 1 0 0 0 2 0 2 3 0 0 0 0 2 0 0 0 0 1 1 1 1 0 4 0 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 1 0
"placid" 0 0 1 0 1 0 0 0 1 2 0 0 1 1 0 1 2 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 2 2 0 0 0 1 0 1 1 0 0 0 2 0 1 2 0 0 0 1 1 1 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 2 0 0 0 0 1 1 0 0 0 2 2 0 0 1 0 2 0 1 1 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 0 2 0 0 0 0 1 0 0
"pleasant" 2 1 2 2 1 2 0 3 4 3 0 2 9 13 2 5 8 2 2 3 1 1 3 1 0 1 0 7 9 1 1 3 3 3 7 1 9 3 6 1 5 2 1 1 4 4 3 0 3 1 2 2 2 4 1 6 4 1 3 1 0 3 1 1 7 0 2 3 4 2 2 1 0 0 4 0 6 1 2 0 4 3 15 6 10 2 2 1 0 2 2 0 0 6 11 2 1 3 2 1 6 8 0 2 9 6 2 2 2 1 0 1 1 1 0 0 1 0 11 1 6 0 15 2 5 1 3 2 4 1 4 5 2 2 8 2 4 1 1 4 0 1 2 1 7 2 2
"polite" 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 1 4 0 1 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 3 0 0 2 0 2 1 0 1 0 2 0 0 0 1 0 0 1 1 0 1 0 0 1 2 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 1 2 0 0 0 0 1 0 0 0 1 0 1 0 2 1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"practical" 0 0 0 0 0 0 0 0 1 0 0 1 2 0 0 2 1 0 1 0 1 0 1 0 0 1 0 0 1 2 0 0 2 0 0 0 1 2 1 0 0 1 0 0 3 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 2 0 0 0 0 0 2 0 3 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0 0 3 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0
"proud" 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 2 1 0 1 1 0 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 2 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 3 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 0 3 0 0 0 0 0 1 0 0 0 3 0 2 0 1 0 1 1 1 0 0 0 1 0 1 0 0 0 2 1 0 1 0 0 0
"prudent" 0 1 1 1 0 0 1 0 0 0 0 0 2 0 1 2 1 0 0 1 0 1 0 0 0 0 0 0 3 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 2 2 1 0 0 0 0 0 0 0 0 1 3 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 2 0 1 1 2 1 0 0 2 0 0 1 0 1 0 1 0 0 3 0 0 0 0 0 0 0 1 0 1
"quick" 1 0 3 0 1 0 1 1 0 2 1 1 6 2 1 6 6 0 0 3 0 2 1 3 2 0 0 3 2 0 0 2 1 2 4 0 1 3 2 0 1 4 1 1 1 1 0 0 5 0 1 1 0 2 0 3 1 1 2 0 0 0 0 1 6 0 1 2 3 2 0 0 1 1 1 1 5 1 0 0 2 0 3 4 4 0 1 2 6 1 0 0 1 0 4 0 1 3 0 2 1 0 1 0 5 1 0 6 2 1 0 2 0 0 0 0 0 0 4 2 3 1 7 0 3 1 0 0 4 1 0 3 0 0 4 2 0 1 1 1 0 0 0 0 1 0 0
"quiet" 2 1 5 0 0 2 4 7 7 6 0 1 6 9 1 9 13 1 0 3 4 4 2 2 1 1 2 9 12 2 0 3 4 1 2 1 7 4 2 1 1 3 0 0 7 5 0 0 3 1 2 3 1 5 2 4 9 2 2 1 1 0 0 0 9 0 1 2 1 0 2 3 3 2 6 2 6 2 2 1 6 3 15 7 6 3 5 2 11 0 1 0 3 4 0 0 3 0 4 5 7 3 0 1 13 5 3 8 3 3 0 1 8 2 2 2 2 1 14 2 8 1 22 0 5 2 3 2 4 1 0 8 2 2 9 5 8 1 3 5 2 0 0 2 8 1 3
"rapid" 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 2 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 2 0 1 0 0 0 1 0 2 2 0 0 0 0 2 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 1 0 2 1 0 0 0 0 0 0 0 0 1 2 0 1 0 4 0 1 0 0 0 0 0 0 0 0 1 1 2 1 0 0 1 0 0 1 0 0 0 0
"restless" 0 1 0 1 0 1 0 1 3 1 0 0 2 1 2 2 6 1 0 4 2 0 0 2 0 0 1 2 2 0 0 0 2 0 1 1 2 2 2 0 2 0 0 0 4 2 0 0 0 0 0 0 0 3 0 0 1 1 1 0 2 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 2 1 0 1 3 0 3 1 2 2 0 0 1 0 0 0 0 1 3 0 0 2 0 1 1 0 1 0 4 2 0 5 1 2 1 2 1 0 0 1 0 1 4 0 2 0 2 0 3 0 1 1 2 0 0 1 1 0 1 2 0 1 0 2 0 0 1 0 1 0 0
"rough" 0 0 0 1 0 0 0 3 0 1 0 0 5 4 2 4 5 0 0 3 1 0 1 2 1 0 2 0 3 0 0 1 0 0 2 0 4 4 2 0 1 0 0 1 3 3 1 0 3 0 0 0 1 5 0 0 3 0 0 0 0 0 0 1 1 1 2 0 3 0 1 0 0 2 2 0 4 1 0 1 3 1 5 5 1 1 1 1 3 1 0 0 1 3 0 3 2 0 0 1 1 1 1 0 4 2 0 4 3 1 1 2 1 0 0 0 0 2 2 0 1 1 7 0 1 0 2 0 3 0 0 1 1 0 4 2 1 2 0 2 0 0 0 0 1 1 0
"rude" 1 0 2 0 0 0 1 1 1 0 0 0 3 0 0 1 2 0 0 0 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 4 2 2 0 1 0 2 0 0 1 0 0 4 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 1 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 2 0 1
"rusty" 0 1 0 0 0 0 1 2 1 1 0 1 2 3 0 2 4 0 0 0 1 0 1 1 1 1 1 0 4 2 0 0 2 1 0 0 2 3 0 0 0 0 0 1 1 2 0 0 2 0 1 1 0 1 0 2 2 0 2 0 1 0 0 0 1 0 0 1 1 0 1 2 2 0 3 0 3 0 0 0 1 0 6 3 2 0 1 2 1 1 2 0 1 2 5 0 1 1 1 0 1 3 1 0 3 2 0 2 1 0 0 0 4 0 1 1 1 2 1 0 1 0 4 0 2 0 0 0 1 0 0 1 0 1 1 1 2 1 0 0 3 0 1 0 1 0 1
"sad" 0 0 0 0 0 0 1 3 0 5 1 1 3 7 0 3 5 0 0 1 1 1 0 1 0 0 0 1 2 0 0 1 3 0 1 0 5 1 0 0 0 2 1 0 3 5 0 0 4 0 0 1 2 2 0 6 1 0 1 0 0 0 0 0 5 0 0 3 2 1 4 0 3 0 4 1 0 0 1 0 2 1 10 0 3 1 1 0 6 0 0 0 0 1 7 1 1 1 0 1 0 0 0 0 6 3 0 5 0 2 0 3 2 0 0 2 0 0 9 1 2 0 11 1 2 0 5 2 2 1 1 1 0 0 8 3 1 1 2 1 0 0 0 0 3 1 1
"second" 1 1 0 2 1 0 0 3 2 1 0 1 8 5 1 3 4 1 2 0 2 1 2 1 0 1 1 5 6 2 3 1 1 2 1 0 6 2 2 2 1 1 0 1 3 1 2 0 2 1 3 2 2 3 0 0 2 0 2 0 1 1 3 0 4 0 0 3 1 1 2 1 0 2 3 0 7 1 0 0 2 1 5 3 7 1 0 1 8 2 2 1 1 0 3 0 0 1 0 3 0 0 1 2 2 1 1 1 1 2 0 1 1 2 1 0 1 0 5 0 3 1 6 2 2 0 1 1 2 0 4 3 1 2 2 0 2 1 0 3 0 0 0 1 1 1 0
"sentimental" 0 0 0 0 1 1 0 0 0 1 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
"serious" 0 1 0 1 0 0 0 1 0 2 0 1 2 2 0 1 1 0 0 0 1 1 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 3 1 0 0 1 0 1 1 0 0 1 0 2 1 0 1 3 2 0 1 0 0 0 0 0 0 1 0 0 0 2 2 0 0 1 0 0 1 0 2 0 1 0 0 0 2 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 3 1 2 1 5 0 0 1 0 0 1 0 0 2 0 0 2 0 2 0 0 0 1 1 0 0 2 0 0
"silent" 1 2 3 1 0 1 2 4 3 3 0 0 6 8 3 7 12 1 0 6 4 3 0 4 2 0 0 4 5 0 1 3 5 1 1 1 5 3 3 1 3 2 0 2 10 5 0 1 5 1 2 2 0 6 0 3 4 1 0 0 2 0 0 0 10 1 0 3 2 0 3 2 1 1 6 1 6 0 1 2 3 3 13 6 7 1 2 2 9 0 0 1 1 5 13 0 4 4 1 3 6 2 0 0 0 5 1 3 1 3 2 0 6 1 1 0 3 2 10 1 4 1 15 1 8 2 6 2 9 2 0 5 1 1 7 6 4 1 2 3 2 0 0 2 8 2 1
"simple" 0 1 1 1 0 0 1 1 2 1 0 1 8 4 0 2 4 1 0 1 0 0 0 1 0 0 0 3 2 1 0 0 0 0 1 0 3 1 2 1 0 1 1 1 5 3 0 0 3 0 1 0 0 4 1 1 3 0 0 0 0 0 0 0 5 0 0 4 2 0 2 0 4 0 4 0 0 0 0 0 1 0 5 4 1 1 0 0 6 0 0 1 0 1 5 1 2 2 0 2 3 1 0 1 5 0 1 1 0 0 0 0 3 1 1 0 0 2 3 0 1 1 7 0 2 1 2 3 2 1 1 2 2 0 3 2 1 1 0 4 2 0 0 0 6 1 1
"sincere" 0 0 2 1 0 1 1 1 1 2 0 0 2 0 0 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 3 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 2 0 0 0 2 0 2 1 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1 1 1 0 4 0 1 0 0 1 0 0 0 2 0 0 1 0 0 2 1 0 0 0 0 0 1 0 0
"slow" 1 0 1 0 0 1 3 5 3 3 1 2 4 4 4 4 8 0 0 4 4 1 3 6 2 1 2 1 5 0 0 2 3 0 6 3 7 9 1 0 0 1 1 1 3 5 1 0 6 0 0 0 1 7 3 3 5 1 3 0 1 0 0 3 3 0 0 1 0 1 1 1 0 0 3 0 1 1 0 0 6 0 10 4 1 1 3 1 2 1 0 0 0 6 8 2 5 4 1 2 5 1 1 1 3 1 1 0 2 4 0 3 4 0 0 1 1 1 5 2 1 0 9 1 2 0 1 1 2 0 3 2 0 0 5 3 1 2 2 4 1 0 0 0 4 0 1
"smooth" 0 0 1 0 0 1 0 2 0 0 0 0 1 1 1 3 3 0 0 1 1 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 2 1 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 1 3 1 0 0 1 0 0 1 1 0 1 0 2 0 0 0 0 0 0 0 3 0 1 0 3 0 5 3 2 1 0 0 2 0 0 0 1 2 3 1 1 3 1 1 0 1 0 0 1 0 1 2 0 1 0 1 0 0 0 0 0 0 2 0 0 0 4 0 1 0 0 1 0 0 0 2 1 1 1 2 1 0 1 1 0 0 0 0 0 0 0
"sober" 0 1 0 0 0 0 0 2 0 2 0 0 4 0 1 3 5 0 0 2 1 0 1 2 0 0 0 0 0 1 1 0 1 0 0 0 2 2 1 0 0 1 0 0 0 0 0 0 2 0 0 0 0 1 1 0 1 1 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 2 0 1 2 1 0 0 0 1 1 1 0 1 1 3 0 2 1 0 0 2 2 0 0 3 0 0 4 1 0 0 1 2 2 0 0 0 0 4 0 0 1 5 0 2 0 1 0 0 1 0 0 0 0 1 0 2 1 1 2 0 0 0 0 1 0 0
"social" 0 0 2 1 0 0 0 0 0 0 0 0 2 1 1 1 1 0 0 1 0 0 0 1 0 1 0 0 0 2 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
"soft" 0 0 0 0 1 1 0 2 0 3 0 1 2 4 0 3 2 0 0 2 0 0 0 1 0 0 0 2 3 0 1 1 2 0 0 0 3 0 0 0 1 1 0 0 3 1 1 0 1 0 1 0 1 2 0 2 1 0 0 0 0 0 1 1 2 1 0 1 1 2 0 1 1 2 0 0 0 0 0 0 2 0 5 0 3 0 0 0 1 0 0 0 0 2 1 0 2 2 0 0 3 1 2 0 0 0 0 3 1 1 0 0 1 0 0 0 0 0 5 1 0 0 4 0 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1
"solemn" 0 3 1 0 0 0 2 3 3 2 1 0 4 3 0 5 8 1 0 2 1 0 0 1 2 2 0 1 3 1 1 1 1 0 0 0 3 5 2 1 1 4 0 1 3 2 2 0 1 0 1 0 0 2 1 2 3 0 0 0 0 0 2 0 1 0 0 0 2 1 1 1 2 1 3 2 0 0 0 3 2 0 7 5 1 1 2 0 1 1 0 3 0 0 8 0 1 1 2 4 2 1 0 0 6 3 1 4 0 2 1 1 0 0 2 0 1 1 3 1 1 0 8 0 5 0 2 0 2 1 0 0 0 0 4 1 2 0 0 2 2 0 0 0 1 0 1
"stable" 0 0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 3 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 2 0 2 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 1 3 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 1 1 0 0 0 2 1 0 0 0 0 0 0 0 3 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"stately" 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 3 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1
"steady" 0 1 1 1 0 1 1 0 0 1 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 2 1 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"stealthy" 0 1 1 0 0 0 0 0 0 0 1 0 2 2 0 3 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 2 1 0 1 1 0 0 0 2 1 0 0 0 0 0 0 0 2 1 3 0 1 0 0 1 0 0 1 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 1 1 0 0 0 0 0 2 0 0 0 0 1 0 1 0 1 3 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 1 0 1 1 1 3 0 1 1 1 0 0 0 1 1 0
"stern" 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 2 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 2 0 2 0 0 0 0 2 2 0 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 1
"strong" 2 2 3 2 3 1 2 2 6 7 1 2 15 8 2 6 16 0 1 7 3 1 1 4 2 1 2 6 13 2 1 2 7 0 2 1 8 5 11 1 0 6 4 2 9 5 2 4 3 1 4 3 1 4 0 4 5 0 2 1 2 3 1 2 4 2 2 5 3 2 3 2 5 2 3 2 9 0 1 1 7 3 13 9 15 3 1 1 11 2 2 1 2 4 14 2 4 2 1 1 9 5 2 3 10 3 1 5 2 4 2 5 3 3 0 0 0 0 0 1 6 5 20 1 7 0 4 2 3 2 4 5 1 2 10 7 3 2 1 5 2 1 1 3 7 0 2
"submissive" 1 0 0 0 0 0 1 0 1 2 0 0 0 1 0 1 2 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 2 2 0 0 0 0 0 1 0 0 1 1 0 1 2 0 0 0 1 1 0 0 0 0 0 1 0 0 0 3 0 1 1 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1
"sudden" 1 3 4 2 0 0 2 0 1 2 0 1 3 4 2 5 5 1 2 2 2 1 1 1 0 0 0 7 6 0 0 2 3 1 2 1 4 4 5 0 2 4 1 0 2 2 1 1 3 2 0 3 3 1 1 3 3 0 2 0 0 1 1 1 2 1 0 1 2 0 3 1 0 0 5 1 4 0 0 0 3 2 8 3 6 1 1 0 6 1 0 0 1 3 8 1 2 1 0 1 2 3 0 2 4 1 1 1 0 0 1 0 1 0 1 1 0 1 6 0 0 2 6 0 2 0 3 1 1 0 1 3 0 0 9 1 1 1 0 0 1 1 0 0 1 0 1
"sufficient" 1 1 0 1 0 0 0 1 0 0 0 0 4 1 0 1 3 0 1 2 0 0 1 1 0 0 0 2 2 0 0 0 0 0 0 0 0 1 2 0 0 2 0 1 3 2 1 0 1 2 0 1 0 1 0 1 4 1 1 0 0 0 0 1 2 1 1 0 1 0 0 0 1 0 1 0 3 0 0 0 1 0 2 0 4 1 0 0 0 1 0 0 1 1 1 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 5 0 2 0 4 0 0 0 2 0 0 2 1 0 0 0 2 1 1 1 0 0 0 0 0 0 0 0 1
"sure" 1 2 8 2 0 2 6 9 5 10 3 4 18 10 5 6 14 3 0 6 6 5 3 5 3 0 3 10 10 4 0 3 4 3 4 1 13 11 10 1 1 9 3 3 12 6 3 2 5 2 3 5 3 6 4 14 10 2 4 2 3 2 0 2 16 0 2 3 4 1 8 5 6 4 6 3 12 1 3 2 5 3 23 8 14 1 4 3 15 1 3 3 2 7 22 4 2 7 1 4 11 6 0 5 15 7 4 9 4 5 1 4 8 3 3 2 2 1 20 3 6 4 0 3 11 4 8 5 5 3 3 6 1 2 20 6 8 2 6 4 5 2 2 3 10 1 2
"suspicious" 1 0 0 1 0 1 1 0 2 1 0 0 2 1 1 1 2 0 0 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 3 2 0 1 0 0 0 0 1 0 0 0 1 0 0 1 1 2 0 0 2 0 0 0 2 0 0 0 2 0 0 2 0 0 1 0 0 1 1 0 2 0 0 1 0 0 2 2 2 0 0 0 2 0 1 0 1 0 0 0 0 0 0 0 1 2 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 3 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"sweet" 0 0 0 0 1 0 1 4 3 1 0 0 6 3 2 2 7 1 0 5 0 0 3 1 0 0 1 1 1 1 0 1 0 0 0 1 7 3 1 1 1 1 0 1 3 1 0 0 2 0 1 2 0 4 0 2 1 0 1 2 0 1 0 1 2 0 0 2 2 1 2 1 1 1 4 3 2 0 1 2 2 1 6 3 4 1 1 1 5 0 0 2 0 3 5 1 3 1 0 2 2 2 0 0 8 2 1 2 1 2 0 1 5 1 1 0 0 1 7 1 2 0 11 1 0 0 3 1 4 0 3 2 0 0 1 2 2 1 0 2 2 1 1 1 2 0 1
"tearful" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 0 1 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 2 2 0 0 1 0 0 1 0 1 1 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 1 0 0 2 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0
"tender" 0 2 1 1 0 1 2 1 0 1 0 1 4 0 1 2 2 1 0 3 1 1 0 1 0 0 0 2 3 1 0 0 1 0 0 1 1 1 0 0 1 2 0 1 5 3 0 0 1 0 0 1 2 1 0 1 3 0 1 0 0 0 1 0 1 0 0 1 0 1 3 0 1 1 2 1 0 0 1 0 2 2 3 3 2 1 1 0 3 0 0 1 2 0 3 0 1 2 0 0 5 1 0 0 6 2 0 1 0 1 1 0 2 0 1 2 0 1 4 0 3 2 8 1 3 0 0 0 1 2 0 2 1 0 6 1 4 1 1 1 0 0 0 0 1 2 0
"thankful" 1 0 0 0 0 0 0 1 1 0 1 0 4 1 0 1 4 2 0 1 0 0 1 1 0 0 0 2 0 1 0 1 1 0 1 0 3 1 0 0 0 2 2 1 2 0 0 0 2 0 0 0 0 0 1 2 1 1 1 1 0 1 0 0 2 0 0 1 2 0 0 1 1 0 0 1 1 0 0 0 0 1 3 3 2 2 1 0 2 0 0 0 0 0 2 0 1 0 0 0 2 1 0 0 2 3 1 1 1 0 0 0 0 0 0 1 0 0 2 0 1 0 5 0 1 0 0 0 1 0 0 0 1 0 2 0 0 1 0 1 0 0 0 0 2 0 0
"thoughtful" 1 0 3 1 0 0 1 2 2 1 2 1 5 6 0 1 6 0 1 6 0 2 1 2 1 0 1 3 4 0 1 2 4 1 2 0 4 2 1 0 2 1 0 2 3 4 0 0 3 0 0 1 1 4 1 1 1 1 0 1 0 0 0 0 4 0 0 2 4 0 2 1 2 1 2 2 3 1 1 1 0 1 7 2 4 1 1 0 4 0 0 1 0 4 4 0 2 3 0 1 2 2 0 1 9 2 0 2 0 0 0 1 2 0 0 1 0 1 3 0 1 0 5 0 4 1 1 1 0 0 2 3 1 0 1 1 0 0 0 2 1 3 0 2 3 1 0
"thoughtless" 0 1 0 0 0 0 0 0 0 0 2 0 3 1 0 1 1 1 1 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 3 0 0 1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 0 2 1 0 0 0 1 0 0 1 0 0 0 1 0 2 0 0 2 3 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0
