"active" "affectionate" "awkward" "bashful" "bitter" "boisterous" "bold" "brave" "brisk" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "complimentary" "considerate" "constant" "cool" "cordial" "cruel" "curious" "delicate" "determined" "direct" "domestic" "dutiful" "eager" "earnest" "easy" "exact" "expressive" "facetious" "faithful" "familiar" "fast" "fearful" "fierce" "fiery" "firm" "frank" "free" "fresh" "friendly" "gallant" "general" "generous" "genteel" "gentle" "gentlemanly" "giddy" "gloomy" "graceful" "gracious" "grateful" "grave" "handsome" "hasty" "hearty" "heavy" "honest" "hopeful" "hopeless" "humble" "hurried" "impatient" "independent" "indifferent" "intense" "jealous" "keen" "kind" "literary" "lively" "lofty" "lonely" "loud" "malicious" "melancholy" "merry" "mild" "military" "moderate" "modest" "natural" "neat" "nervous" "noisy" "open" "original" "particular" "peaceful" "pecksniffian" "pious" "placid" "playful" "pleasant" "polite" "practical" "proud" "prudent" "punctual" "quick" "quiet" "rapid" "reasonable" "restless" "rough" "rusty" "sad" "sanguine" "second" "selfish" "sensible" "serious" "severe" "shrewd" "shy" "silent" "simple" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "spiritual" "stable" "stealthy" "stern" "stiff" "straight" "strong" "sudden" "sufficient" "sure" "surly" "sweet" "talkative" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "true" "ugly" "unhappy" "unmindful" "vague" "vain" "violent" "virtuous" "watchful" "weak" "worldly" "wise" "willing" "zealous"
"literary" 1 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 3 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 2 2 0 0 0 0 1 1 0 0 0 0 1 0 0 4 0 3 0 0 2 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 2 0 0 1 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"lively" 0 0 0 1 0 0 3 0 2 2 0 4 2 8 7 0 1 4 3 1 2 2 2 1 2 2 4 0 1 2 0 2 2 3 1 1 2 0 2 2 1 1 0 0 0 3 6 2 1 7 0 0 6 0 0 1 1 7 1 1 2 2 1 3 1 0 1 0 0 0 1 2 1 2 1 1 2 0 1 1 2 0 3 2 1 0 0 0 6 1 1 1 6 1 11 1 0 2 1 1 9 2 0 5 0 1 6 7 3 0 1 2 2 1 0 5 1 1 3 1 2 1 4 4 1 0 2 0 0 2 2 1 0 0 0 0 1 8 1 2 14 0 4 3 0 2 1 3 0 0 6 4 1 0 1 0 1 0 0 2 1 1 2 1
"lofty" 2 0 0 0 0 0 1 0 0 1 1 0 0 3 1 0 1 4 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 4 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 4 0 1 2 0 0 2 1 2 1 0 0 0 0 1 2 1 1 0 1 1 0 0 1 0 1 4 2 1 0 0 0 0 3 0 1 0 0 0 1 0 0 0 4 0 1 0 0 0 0 0 3 1 0 1 0 0 0 2 0 1 0 1 0 1 1 3 1 0 0 1 0 0 1 0 1 2 0 0 0 1 0 0 0 0 2 0 0 3 1 1 2 1 1 0 0 1 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 1
"lonely" 0 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 2 3 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 2 0 0 3 0 0 1 0 0 3 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 3 0 1 2 0 0 0 0 1 0 0 0 0 0 1 4 1 1 0 1 0 0 0 2 1 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 1 1 0 0 0 2 0 0 4 1 2 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1
"loud" 0 1 0 0 1 2 2 1 0 1 0 2 0 10 4 0 3 3 5 1 0 1 0 0 2 2 3 0 0 2 1 1 1 3 1 1 0 0 3 1 0 1 0 1 0 1 1 2 1 5 2 2 5 1 2 2 1 1 0 1 1 0 1 1 2 0 1 5 0 1 0 1 1 0 0 0 0 2 0 1 0 0 4 2 1 1 0 1 3 1 0 2 5 1 4 2 1 1 1 1 8 0 2 4 0 1 4 4 1 1 0 0 0 1 1 3 1 0 0 1 1 1 6 3 1 1 0 0 1 1 0 0 1 1 1 1 0 6 5 3 12 1 4 0 0 1 2 0 2 0 5 0 1 2 2 1 2 0 0 1 0 0 0 0
"malicious" 0 0 0 0 0 1 0 0 0 0 0 1 0 3 0 0 0 2 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 2 0 2 0 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 3 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
"melancholy" 1 3 0 1 2 0 3 2 3 1 0 0 1 12 8 0 1 4 6 0 1 1 2 0 2 4 1 0 0 0 1 0 2 9 1 0 0 0 3 3 2 0 1 1 0 5 2 1 1 9 2 3 3 0 3 1 1 2 4 0 3 1 0 6 2 2 3 1 2 0 1 1 4 0 0 6 0 3 3 1 4 0 0 3 5 1 0 1 4 1 0 0 8 0 7 1 1 1 0 0 13 1 0 3 1 1 2 5 2 1 1 3 0 3 0 1 0 1 1 2 1 1 2 3 1 1 0 0 3 2 2 1 1 1 1 1 2 8 1 0 8 1 3 0 1 2 0 3 2 2 2 2 2 0 0 2 0 1 0 2 0 0 0 0
"merry" 0 1 0 0 0 0 1 0 2 1 0 0 0 6 4 0 1 1 1 0 1 0 1 1 0 1 0 0 0 1 0 2 0 1 0 0 1 0 0 1 0 0 0 0 0 2 2 1 0 3 1 1 2 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 1 0 1 2 1 2 0 0 2 0 3 0 1 0 0 0 1 1 0 2 3 0 5 0 0 0 1 0 7 1 1 2 0 0 3 4 2 0 0 0 0 0 0 1 2 0 5 0 0 1 2 1 0 1 0 0 0 1 0 0 0 0 0 1 0 2 1 0 5 0 0 0 0 1 0 1 0 0 5 0 0 0 1 0 0 0 0 0 0 1 1 0
"mild" 2 2 0 0 1 0 0 1 0 0 1 0 0 4 2 0 1 3 3 0 1 0 2 0 2 3 2 0 0 0 0 0 0 7 0 0 0 0 0 0 3 0 0 0 1 3 1 0 1 5 2 2 2 2 0 1 2 1 3 2 3 0 2 4 2 0 2 0 2 0 1 1 1 2 0 3 1 1 1 0 1 0 5 1 0 0 2 0 4 1 1 0 6 0 8 1 0 3 1 1 7 0 0 3 1 1 0 4 0 0 1 0 1 3 1 1 1 0 3 0 0 0 3 2 2 1 0 0 4 2 2 1 1 0 0 0 0 5 1 0 6 0 3 0 0 0 0 1 2 1 3 1 1 0 0 0 2 2 0 0 0 0 1 0
"military" 0 1 0 0 2 0 1 1 0 0 0 0 1 3 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 2 0 2 1 2 0 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 4 1 0 1 0 0 1 0 0 0 0 2 0 3 0 0 0 0 0 1 0 1 0 0 0 0 0
"moderate" 0 1 0 0 1 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 2 0 1 0 1 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 1 0 0 3 0 3 0 0 0 0 0 1 0 0 0 0 0 1 3 0 2 0 0 0 0 1 2 0 0 1 0 0 0 2 1 0 0 0 1 1 2 0 0 0 0 0 0 0 2 1 0 2 0 1 0 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0
"modest" 0 0 1 0 0 0 1 0 1 0 0 1 0 3 1 0 0 0 4 0 0 1 0 1 0 2 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 2 1 0 2 0 0 1 0 1 0 0 1 2 0 0 0 1 0 1 1 1 2 0 0 0 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 2 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 2 5 1 2 0 1 0 1 1 1 0 1 1 0 0 1 2 0 0 0 0 0 3 0 1
"natural" 0 2 1 0 1 0 3 0 2 6 1 4 5 16 4 1 1 6 7 3 1 5 5 2 4 3 7 1 0 4 2 2 1 7 1 1 0 3 4 3 2 1 1 4 1 5 6 3 1 11 4 2 5 0 1 2 4 2 3 3 3 2 1 7 4 1 1 3 1 0 2 4 1 2 3 5 0 6 1 0 3 2 4 1 4 1 1 0 0 2 1 0 6 1 12 0 1 1 0 0 9 1 1 7 2 2 5 7 2 0 1 3 1 1 1 4 6 2 3 1 1 0 7 3 4 2 1 2 1 4 2 0 1 2 0 2 1 11 3 0 16 0 6 1 0 2 0 0 3 4 8 5 2 1 2 2 1 1 2 3 2 0 0 2
"neat" 0 1 1 0 0 1 2 0 1 3 0 3 0 1 3 0 0 1 2 0 1 0 0 0 0 1 2 0 0 0 0 1 0 2 1 0 1 0 1 0 0 0 0 1 0 2 2 1 0 2 0 1 1 0 0 0 1 0 0 1 0 0 2 1 1 1 1 0 0 1 1 2 0 0 1 1 1 1 0 0 1 0 1 1 1 0 1 0 2 0 0 0 5 0 2 0 0 0 0 0 2 1 1 1 1 0 2 2 0 1 1 1 0 1 0 2 0 0 2 0 0 0 0 1 1 2 0 0 2 1 0 0 1 0 0 0 1 1 2 0 4 0 0 1 0 1 0 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0
"nervous" 0 0 0 0 1 0 1 1 0 0 0 2 0 1 1 1 0 1 3 0 1 1 2 0 0 1 0 1 0 1 0 0 0 3 0 0 0 0 1 2 0 0 0 0 0 1 3 2 0 0 0 0 3 0 2 1 0 2 3 1 1 0 2 1 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1 0 0 2 0 0 0 0 1 1 3 0 2 0 0 0 0 1 0 0 0 0 0 0 1 4 1 1 0 1 1 0 1 1 0 0 0 0 0 1 5 1 0 5 1 1 0 0 0 1 1 0 0 2 1 0 0 0 0 0 1 0 1 0 0 0 2
"noisy" 0 1 0 0 1 0 0 0 1 1 1 0 0 4 1 0 0 2 2 0 0 0 2 0 1 3 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 2 2 1 1 5 0 0 1 1 0 2 1 1 1 1 1 1 0 1 2 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 2 0 0 2 0 0 0 1 0 0 1 0 0 0 3 0 0 0 1 0 2 0 0 1 0 0 2 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 2 5 1 2 1 0 1 0 1 1 0 5 0 0 0 2 0 0 0 0 0 0 1 0 0
"open" 2 3 0 2 0 2 6 2 0 5 4 3 4 14 6 0 3 11 8 1 1 5 6 0 2 6 6 1 1 5 1 0 6 15 3 4 0 2 4 4 6 1 5 2 1 6 6 8 0 17 4 3 11 0 2 5 2 6 7 3 9 2 2 9 6 2 2 4 0 2 1 3 3 2 2 7 4 6 4 3 5 2 8 3 6 1 3 1 6 5 1 0 0 1 19 1 0 5 1 0 14 1 0 4 1 2 7 16 4 3 3 3 2 4 2 10 2 2 7 4 3 0 10 4 5 2 0 2 6 7 3 1 3 4 1 5 1 14 7 1 27 1 9 0 0 2 1 5 6 2 5 4 2 1 2 3 2 1 4 7 1 0 1 1
"original" 0 0 0 0 0 0 2 0 0 0 0 0 0 4 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0 0 0 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 3 0 0 3 0 0 0 1 2 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 2 0 0
"particular" 4 3 1 2 4 1 5 3 1 5 1 2 2 26 6 0 3 10 7 1 1 4 5 2 3 5 8 1 1 3 1 2 0 13 4 3 1 3 6 1 2 1 3 0 1 8 2 6 2 22 4 4 6 3 2 3 3 5 6 7 7 3 1 10 3 1 3 1 2 2 3 3 1 1 2 8 3 11 1 1 4 0 7 5 8 1 3 0 12 2 1 3 19 2 0 2 0 4 0 1 17 2 4 7 2 2 3 14 2 1 2 1 4 4 1 12 3 1 9 4 2 1 6 4 3 3 2 3 4 9 2 1 1 2 0 4 2 19 3 4 25 0 7 1 0 2 0 4 5 2 12 2 4 0 1 2 3 0 1 5 2 1 1 0
"peaceful" 0 0 0 0 1 0 2 0 0 1 1 0 0 3 1 1 0 1 2 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 1 0 1 1 0 0 3 0 0 0 0 1 0 0 0 0 0 2 0 1 0 2 2 0 1 0 1 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 3 0 0 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 2 0 0 2 2 0 0 0 0 1 0 0 0 2 0 1 3 1 3 0 1 1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 1 0 0 0
"pecksniffian" 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 0 0 0 0 1 0 0 1 0 0 0 3 1 0 0 1 1 1 1 0 0 0 0 2 1 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 3 1 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"pious" 0 2 0 0 0 0 1 0 1 0 0 0 1 2 1 0 1 3 1 0 0 0 1 0 2 1 2 0 0 1 0 0 0 2 0 1 1 1 1 0 2 0 0 0 1 1 0 2 0 3 1 1 3 0 0 1 0 2 0 1 1 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 2 2 0 0 1 0 1 0 3 0 0 0 1 0 1 0 5 0 4 0 0 0 1 0 3 0 0 0 0 1 1 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 3 0 0 0 1 0 0 2 2 1 0 1 0 0 0 5 0 1 4 0 2 0 0 1 0 0 0 1 4 0 0 1 0 0 0 1 0 1 0 1 0 0
"placid" 1 1 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 2 1 1 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 1 0 1 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 2 4 0 0 1 1 0 1 1 0 0 0 0 0 1 0 1 0 1 2 0 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 1 0 3 0 3 1 0 1 1 1 0 2 1 0 1 0 0 0 0 0 0 0 0 1 1 0
"playful" 2 0 0 0 1 1 0 0 0 0 1 0 1 1 0 0 0 2 0 0 0 1 1 0 2 1 0 0 2 3 0 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 2 0 0 3 0 0 3 1 0 0 0 5 1 1 1 0 0 1 1 0 0 2 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 2 0 2 0 4 0 2 2 2 0 0 0 0 0 0 0 1 2 0 1 1 1 2 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 2 0 0 3 0 2 1 0 0 1 1 0 0 2 0 1 1 0 1 0 0 0 0 1 0 1 0
"pleasant" 3 2 2 2 1 2 7 3 4 6 4 3 1 21 13 0 2 9 7 1 2 2 4 0 4 6 5 0 2 2 0 2 3 9 1 3 2 1 2 2 1 2 2 2 1 5 8 3 2 17 3 4 10 3 1 5 2 8 7 4 1 1 2 9 4 1 3 3 3 5 1 3 2 0 0 6 1 9 3 1 8 0 13 7 7 1 1 2 9 2 2 2 14 0 17 3 0 3 4 4 0 1 3 9 2 1 8 16 2 1 2 1 3 1 1 7 2 3 6 3 2 1 6 7 3 3 2 3 6 8 0 0 1 3 1 2 3 11 6 5 32 3 9 3 0 4 1 5 2 2 11 5 1 0 2 2 3 3 0 2 0 2 3 0
"polite" 0 0 0 0 0 0 1 0 0 0 0 1 0 5 0 0 0 3 2 0 1 1 0 0 0 2 0 0 1 1 0 1 1 2 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 2 0 0 2 0 1 0 0 2 0 0 2 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 2 1 0 0 2 1 1 0 0 0 0 1 1 0 0 1 0 2 0 0 0 0 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 2 1 1 2 1 1 0 0 2 0 0 0 0 0 2 0 0 0 1 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 1 1 1 1 1 0
"practical" 0 0 0 1 1 0 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 2 0 0 1 1 0 0 2 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 0 1 0 0 1 0 2 0 1 1 0 0 1 1 0 1 3 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 1 0 0 0 1 1 1 0 0 0 0 4 0 1 0 0 2 3 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 0 3 0 1 5 0 1 0 0 0 0 1 0 0 2 1 0 1 0 2 0 0 0 0 1 1 1 0
"proud" 1 2 2 0 0 0 4 0 0 2 3 2 2 11 4 0 1 2 0 1 0 4 2 0 1 2 2 1 0 1 0 1 1 7 0 1 1 1 5 2 1 0 1 1 2 4 5 2 0 5 2 1 6 2 0 1 4 1 4 3 2 2 1 2 2 0 1 1 1 1 3 5 0 1 2 1 2 5 1 0 4 0 3 2 3 0 0 2 7 1 0 1 4 1 7 1 1 0 1 2 9 1 1 0 1 0 2 3 0 0 2 1 0 1 0 3 3 2 5 0 0 0 1 3 2 1 0 1 3 1 1 1 0 1 0 0 1 7 1 2 16 0 3 1 1 2 1 3 2 2 7 1 3 1 0 0 0 1 0 1 0 2 2 0
"prudent" 1 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1 1 0 0 2 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0 1 1 0 2 0 1 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 2 1 0 0 1 0 2 0 0 0 1 2 2 1 1 1 0 0 0 1 0 0 0 0 0 1 0 1 2 1 2 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 2 3 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 1 0 0 0 0 2 0 1 0 1 0
"punctual" 0 1 0 0 1 0 0 1 0 0 0 0 0 0 2 0 1 0 1 0 0 1 0 0 2 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 2 0 1 0 2 0 2 0 1 1 0 0 1 0 0 0 0 0 3 2 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 3 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 0
"quick" 1 0 1 0 2 0 2 0 2 5 0 1 2 9 6 0 0 6 8 1 2 0 0 0 2 3 1 1 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 1 0 6 2 3 1 4 1 0 2 0 1 2 0 0 3 1 0 0 1 7 3 0 2 3 0 2 2 1 2 1 0 1 0 6 0 1 4 1 2 3 0 1 1 1 5 2 1 2 7 0 3 0 0 1 1 0 8 0 1 2 0 3 0 8 1 2 1 1 0 1 0 3 1 2 2 1 1 3 9 2 1 0 0 0 0 4 1 0 1 1 1 0 1 8 4 0 11 1 2 1 0 0 1 1 2 1 8 3 1 1 1 1 2 0 3 2 2 0 1 1
"quiet" 1 2 3 2 2 1 6 3 3 9 3 1 3 15 7 1 1 5 12 1 3 0 3 2 3 3 4 1 1 3 1 1 3 13 1 0 2 1 3 1 2 2 2 2 1 8 5 6 3 10 4 0 13 1 3 8 1 5 6 4 1 2 1 12 7 2 2 4 2 3 1 2 2 4 2 7 0 7 2 4 4 0 5 4 4 0 3 1 7 2 3 1 16 1 14 2 1 1 1 0 16 0 0 3 1 2 8 0 4 1 2 4 2 3 0 6 2 2 4 3 2 1 16 5 5 1 1 1 3 4 1 0 1 2 1 2 0 10 4 0 25 4 7 2 0 1 1 3 2 2 7 6 5 0 3 1 3 1 2 3 0 1 1 2
"rapid" 0 0 2 0 1 0 2 0 1 0 0 1 0 3 4 0 1 0 2 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 2 1 1 0 0 2 5 1 1 1 1 0 1 0 0 1 0 1 1 0 0 1 0 1 2 0 0 0 0 0 0 0 1 0 0 1 0 3 0 1 1 0 2 2 0 0 0 0 2 0 0 0 4 0 2 0 0 0 0 0 2 0 0 0 0 1 1 4 0 0 0 2 0 1 0 1 1 0 0 0 0 2 4 2 1 0 0 0 0 0 0 0 0 1 1 0 0 2 0 0 4 0 0 0 0 0 2 0 0 1 2 2 1 0 0 0 1 0 0 0 0 0 0 0
"reasonable" 0 0 0 0 1 0 2 0 0 1 0 1 1 4 1 1 0 1 2 0 0 0 1 1 0 1 0 1 1 1 0 0 0 2 0 1 0 0 1 0 0 0 0 0 1 3 1 1 0 3 0 0 2 0 1 1 0 1 1 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 2 0 0 1 2 0 3 0 1 0 0 0 0 0 1 1 0 0 0 0 2 1 0 0 0 0 0 0 1 3 0 0 2 1 1 0 2 3 1 0 1 2 0 3 0 0 0 0 0 0 1 2 1 1 3 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1
"restless" 0 0 0 0 0 0 0 0 0 1 1 0 0 2 1 0 0 2 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 2 1 0 1 1 1 0 0 0 0 0 0 1 0 0 0 2 0 0 0 2 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 3 0 2 0 0 0 0 0 2 0 0 2 0 0 1 2 0 0 0 0 2 0 0 1 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 1 1 0 0 0 1 2 1 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"rough" 0 0 1 0 0 0 0 0 1 0 2 0 3 7 2 0 0 1 2 0 1 0 2 0 1 1 2 0 2 1 0 0 1 3 1 0 0 1 1 2 0 0 1 0 0 3 3 0 2 4 0 0 3 0 0 1 0 2 1 0 2 1 1 2 3 1 0 0 0 1 2 2 1 1 0 2 0 2 1 1 0 0 3 0 0 0 0 0 3 1 0 1 3 0 1 0 0 0 0 0 1 0 0 1 0 0 1 4 2 0 0 0 0 2 1 2 2 0 1 2 1 1 1 1 0 2 0 1 0 0 1 0 0 0 0 0 0 5 0 1 3 0 0 0 1 0 0 2 0 0 1 1 1 0 2 0 0 1 1 0 1 0 0 1
"rusty" 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 0 0 0 2 0 4 1 0 0 0 1 3 0 0 0 0 0 0 2 0 0 2 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0
"sad" 1 2 0 0 1 0 0 2 2 1 1 1 0 2 1 0 0 2 2 0 0 0 1 1 1 1 2 0 0 0 1 0 0 2 0 1 0 1 1 0 1 0 0 0 0 1 3 2 2 4 2 0 2 1 0 0 0 1 3 0 1 2 0 2 3 1 0 1 2 0 0 0 1 0 0 2 0 1 1 0 1 0 3 0 3 0 0 0 1 1 0 1 4 0 4 0 0 1 1 2 1 0 0 1 1 1 1 3 1 0 0 2 1 0 0 2 0 0 2 0 0 1 1 2 0 0 0 0 1 1 1 1 0 0 0 1 0 4 0 2 5 0 4 0 0 0 2 0 0 0 2 1 1 1 0 2 0 0 0 1 0 0 1 0
"sanguine" 0 0 1 0 0 0 1 1 1 0 0 0 0 1 1 0 1 1 2 0 2 0 0 0 0 1 0 1 0 1 0 1 1 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 2 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 2 0 0 0 1 1 0 0 0 0 5 0 1 2 0 0 0 0 1 0 1 0 0 2 1 1 1 0 0 0 0 0 0 0 0 0 1
