"active" "affectionate" "bitter" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "considerate" "constant" "cool" "cordial" "cruel" "curious" "dainty" "defiant" "delicate" "determined" "dignified" "direct" "disdainful" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fast" "fearful" "fierce" "formal" "frank" "free" "fresh" "friendly" "gallant" "gay" "general" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "grateful" "grave" "gruff" "handsome" "hasty" "haughty" "heavy" "honest" "hopeful" "hopeless" "hospitable" "humble" "impatient" "imperious" "incredulous" "indifferent" "inflexible" "intense" "intimate" "jealous" "joyful" "keen" "kind" "lively" "lofty" "lonely" "loud" "loving" "majestic" "melancholy" "mild" "military" "modest" "mute" "natural" "neat" "noiseless" "obdurate" "observant" "open" "original" "particular" "patient" "peaceful" "pensive" "pleasant" "polite" "practical" "presumptuous" "proud" "punctual" "quick" "quiet" "reckless" "resolute" "restless" "rigid" "romantic" "rough" "sad" "sarcastic" "scientific" "scornful" "second" "sensible" "sensitive" "serene" "serious" "severe" "silent" "simple" "sincere" "slow" "smooth" "sober" "social" "soft" "solemn" "sorrowful" "stately" "steady" "stern" "stiff" "strong" "sudden" "sufficient" "sullen" "sunny" "sure" "sweet" "tearful" "tender" "thankful" "thoughtful" "tight" "timid" "tough" "true" "ugly" "uncertain" "ungrateful" "unhappy" "vague" "vain" "violent" "watchful" "weak" "worldly" "wise"
"keen" 0 0 1 0 1 0 1 0 1 1 1 0 0 0 2 1 1 0 1 0 2 0 0 0 2 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 1 0 1 0 2 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 2 0 0 0 1 2 0 2 0 0 0 0 0 0 0 3 0 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 2 1 2 2 2 0 1 2 0 5 0 0 0 0 0 2 0 0 2 0 2 0 0 0 2 1 0 0 0 0
"kind" 0 3 0 2 3 3 2 3 1 6 4 2 1 7 6 0 1 2 0 0 4 6 1 0 1 1 1 0 0 2 1 8 5 2 2 1 3 1 1 2 1 0 2 4 4 3 2 0 3 1 3 7 0 2 4 4 4 1 3 2 0 7 6 2 2 1 2 2 0 1 4 1 0 0 0 0 0 0 3 1 6 3 1 0 2 1 0 4 1 11 1 1 1 1 10 3 7 2 0 3 2 3 0 0 9 0 4 6 1 1 1 2 2 3 6 0 1 0 6 3 0 2 2 3 10 5 1 4 2 0 2 1 3 2 3 3 3 0 9 2 0 0 1 20 12 1 0 2 6 2 2 1 12 1 0 0 2 1 0 1 1 8 1 2
"lively" 0 1 1 2 2 3 1 0 2 3 2 0 0 2 3 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 0 2 0 0 3 0 3 0 1 7 0 0 2 2 1 1 0 1 0 0 0 1 3 2 0 0 0 1 0 0 1 2 0 1 2 0 0 1 3 0 0 1 0 0 0 6 1 0 0 0 2 0 1 2 0 3 0 3 0 1 0 1 0 0 0 3 0 1 0 0 0 1 0 0 1 2 0 1 0 1 1 0 0 1 0 2 1 0 0 1 2 2 3 0 1 0 1 1 1 2 1 0 0 0 7 2 0 0 0 1 2 1 1 6 0 1 0 2 0 1 1 0 3 1 0
"lofty" 0 0 0 0 0 0 1 0 0 2 2 1 0 0 3 1 0 2 1 0 0 0 0 0 3 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 3 2 2 3 1 1 1 0 0 0 1 0 3 2 3 2 0 0 2 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 2 0 0 0 1 0 0 1 1 3 1 1 1 0 0 1 0 0 0 4 1 3 1 0 0 0 0 1 0 0 0 0 0 3 3 0 0 1 0 2 0 1 1 1 0 0 3 2 0 1 0 0 1 3 0 1 1 0 2 1 0 1 0 0 0 0 0 2 0 0 0 1 1 1 0 0 1 1 0
"lonely" 0 3 0 3 1 2 1 1 1 4 1 0 0 2 7 0 0 1 0 0 3 0 0 1 3 1 1 0 0 2 1 6 7 1 0 1 1 2 1 1 1 0 1 5 1 0 1 0 7 0 0 6 3 0 1 0 1 1 5 1 1 5 3 1 0 1 2 0 0 1 1 3 0 1 1 0 0 6 1 1 0 3 1 0 2 4 0 0 1 6 0 2 1 0 5 1 3 4 1 0 1 1 1 0 7 0 3 7 0 1 1 2 0 4 3 0 0 0 0 1 0 1 1 1 5 2 2 2 2 0 2 2 0 3 3 3 1 1 5 3 1 3 1 7 6 1 0 2 3 1 3 2 8 1 0 0 1 2 0 0 0 4 0 1
"loud" 0 0 0 1 1 3 1 0 1 2 1 0 1 2 3 0 0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 3 1 0 3 0 0 1 1 0 0 0 3 0 1 1 1 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 3 0 1 3 0 2 0 1 1 0 1 0 2 0 0 0 0 3 2 2 0 0 1 0 1 0 0 3 0 1 2 0 0 1 0 1 2 1 0 0 0 1 0 0 0 0 0 1 3 0 1 0 0 1 1 2 1 0 0 0 1 2 1 0 0 1 4 1 0 1 0 0 2 1 1 3 1 1 0 0 0 0 1 0 1 1 0
"loving" 1 0 0 0 1 3 1 0 0 1 2 0 0 0 2 1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 2 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 0 4 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 1 1 3 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0
"majestic" 0 1 0 0 0 0 0 0 0 3 1 0 0 1 1 4 0 1 0 0 0 0 0 1 0 0 0 1 2 1 1 1 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 4 1 2 0 0 0 0 1 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 3 0 1 2 1 0 0 0 0 1 1 1 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 1 0
"melancholy" 0 1 1 1 0 2 3 0 0 5 1 0 1 4 10 1 1 1 1 0 0 1 0 0 4 0 1 0 2 2 0 2 2 1 1 1 0 1 1 0 1 1 2 3 1 4 0 0 10 1 2 2 2 1 2 3 2 1 1 0 4 5 2 1 2 1 2 1 1 0 1 1 1 1 0 2 0 2 6 0 2 1 1 0 0 0 2 0 2 7 0 2 1 1 6 2 3 0 2 2 4 2 0 1 2 0 3 5 0 1 3 1 0 2 4 0 1 1 3 1 1 0 0 4 6 3 0 1 0 1 0 5 3 2 3 1 2 3 6 6 1 0 0 13 5 0 3 0 0 2 1 3 8 0 0 0 3 2 2 3 0 2 1 0
"mild" 0 1 0 3 1 5 1 1 1 6 3 0 2 4 5 1 0 0 0 0 1 1 1 1 2 0 1 0 1 0 0 1 2 1 0 2 0 3 0 0 2 1 0 4 1 0 0 3 9 0 0 5 1 0 2 2 2 0 2 0 2 0 1 0 2 0 4 0 0 0 0 0 0 1 0 1 1 1 1 2 4 1 0 1 0 0 1 1 3 3 1 1 0 1 5 1 5 2 1 0 1 0 2 0 7 0 2 5 0 1 1 1 1 0 1 1 0 1 2 0 0 1 2 1 4 1 1 3 0 0 1 1 2 0 1 1 0 3 3 2 4 2 0 8 3 2 0 0 5 1 0 1 4 0 0 1 1 0 1 1 1 4 0 0
"military" 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 1 0 0 1 2 1 1 0 0 0 1 3 1 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 2 1 0 0 0 1 0 0 0 0 3 0 2 0 0 1 1 1 0 0 3 0 0 3 0 0 0 1 0 1 0 0 0 0 1 2 0 0 1 0 3 0 0 3 0 2 0 0 0 1 0 0 0 2 0 0 0 0 0 1 2 0 1 0 1 1 0 2 1 0 0 1 0 0 0 1 1 1 0 0
"modest" 1 0 0 3 2 0 2 1 1 2 2 0 0 2 3 0 0 0 0 1 1 4 1 0 1 0 1 0 0 0 1 3 1 0 1 0 0 1 0 0 0 0 1 2 2 0 0 0 4 0 1 3 0 2 0 1 2 0 2 0 1 3 0 1 1 0 1 0 2 1 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0 1 0 0 0 4 0 0 0 0 1 0 2 0 0 1 3 1 1 0 5 1 1 4 1 0 0 0 1 0 0 0 0 0 2 0 0 0 2 1 4 3 0 2 0 0 0 1 3 3 1 0 2 0 4 0 0 0 1 1 5 1 2 0 2 1 1 0 3 0 1 0 0 0 0 2 0 0 1 0
"mute" 0 1 0 2 0 1 0 0 0 2 1 1 1 2 2 1 1 0 0 0 1 1 1 1 0 0 0 0 1 0 0 2 2 0 1 0 0 0 0 0 0 0 0 2 2 1 0 1 2 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 2 3 0 0 0 5 0 0 1 0 1 0 0 1 0 0 0 0 0 0 3 0 2 3 0 0 1 0 0 0 2 1 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 3 0 3 0 0 0 1 2 1 1 0 4 1 3 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 0 1
"natural" 2 3 1 3 3 5 1 2 0 9 4 2 1 7 10 3 2 6 0 0 5 4 3 2 3 0 2 1 1 3 0 7 5 3 4 1 2 4 2 1 1 0 3 6 2 3 2 1 9 2 0 8 1 2 1 2 1 1 3 1 5 7 3 1 0 1 4 3 1 1 2 1 0 0 2 1 2 11 2 1 6 2 0 1 7 3 1 4 5 0 1 1 1 1 10 2 13 2 0 2 6 1 0 2 11 1 5 7 1 1 2 1 1 6 4 3 0 1 8 2 2 1 2 0 8 7 1 5 2 0 4 5 6 5 5 5 5 2 8 5 3 2 0 23 8 4 3 1 4 2 5 3 14 0 1 3 4 2 3 2 1 3 0 2
"neat" 0 0 1 0 0 1 3 0 0 3 1 0 1 0 1 2 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 0 1 2 1 1 1 0 2 0 1 1 0 0 1 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 2 1 0 1 1 0 2 2 0 0 0 0 0 3 0 0 0 3 1 0 0 0 2 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 1 0 0
"noiseless" 0 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 2 0 0 3 1 1 0 0 1 0 2 0 0 1 0 0 0 0 1 0 1 0 2 1 1 0 0 0 0 1 1 0 2 0 0 0 2 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 2 2 0 0 1 0 0 2 0 0 1 1 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
"obdurate" 0 1 0 0 0 0 1 0 1 0 0 0 1 0 3 0 0 1 1 0 0 0 1 0 0 1 0 0 1 1 1 1 0 1 0 0 0 0 0 0 2 1 0 0 0 0 0 1 1 0 1 2 1 2 0 0 0 0 1 0 1 2 1 0 0 0 1 1 2 0 2 1 2 0 0 0 0 1 2 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 2 0 0 0 5 0 0 1 0 0 0 0 0 0 0 0 1 1 2 0 0 0 0 0 1 0 0 0 0 0 0 2 1 0 2 0 1 0 1 2 0 1 0 1 0 0 0 1 0 0 0 1 3 2 0 0 3 1 0 0 0 0 1 2
"observant" 0 0 0 1 0 2 1 0 0 2 1 0 0 1 2 0 0 1 0 0 0 0 0 0 3 1 1 0 0 0 0 0 2 0 1 0 0 2 0 2 0 1 1 0 0 0 0 0 2 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 2 1 1 1 2 0 0 0 0 1 2 2 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 4 0 0 0 1 0 0 2 1 0 0 0 0 1 0 0 0 0 1 3 1 0 0 1 2 0 0 0 2 0 1 0 1 0 2 0 1 0 0 0
"open" 1 1 2 5 2 6 3 2 2 12 9 2 2 9 16 1 1 6 2 1 2 5 0 1 6 1 1 3 2 2 1 4 8 0 1 3 4 7 1 1 3 1 3 14 8 3 2 2 17 5 5 11 3 3 2 7 3 2 9 2 4 7 4 5 5 1 6 3 2 3 3 1 0 1 1 1 2 10 3 3 5 3 2 1 6 5 3 1 1 10 2 0 0 0 0 3 8 2 0 1 7 4 2 2 12 1 4 13 1 1 2 2 0 8 2 2 1 1 9 7 4 4 2 2 7 1 3 3 0 2 4 4 8 2 8 2 6 4 15 7 1 0 2 18 12 1 1 2 7 1 4 2 8 3 3 2 2 4 2 2 2 11 2 0
"original" 0 0 1 2 0 3 0 0 0 0 1 0 1 3 4 1 0 1 1 0 2 1 1 0 1 0 0 0 0 2 0 0 2 1 2 0 0 3 0 0 1 1 0 2 1 0 0 0 6 2 1 3 0 1 0 0 2 0 2 1 1 3 0 0 0 1 0 1 0 1 2 0 1 0 2 0 0 3 0 1 1 2 0 1 2 1 0 0 0 2 0 1 0 0 3 0 2 0 0 0 0 1 1 0 3 0 2 2 0 1 0 1 1 0 0 1 0 1 4 0 0 0 2 0 2 2 0 2 1 0 3 1 1 0 2 0 0 0 3 1 2 0 0 5 2 0 1 0 1 0 0 1 6 1 0 1 1 2 0 0 1 1 1 0
"particular" 2 2 3 1 1 3 2 2 0 10 0 3 3 3 7 2 0 1 1 0 2 4 1 1 5 0 1 1 0 2 0 3 3 1 4 4 1 2 2 2 0 0 1 2 2 7 0 1 17 1 3 3 1 4 5 1 3 0 2 2 0 5 3 0 1 3 3 1 0 1 1 1 0 1 2 0 2 7 3 1 3 2 0 0 3 5 2 2 0 13 1 0 1 2 8 2 0 0 1 1 5 1 0 1 7 0 2 5 0 1 0 0 1 3 2 2 1 0 9 2 0 1 0 3 10 3 1 4 2 0 4 2 4 1 4 2 3 3 4 3 2 2 0 20 8 1 2 2 2 3 2 4 9 0 1 2 1 0 1 2 3 8 0 1
"patient" 2 0 1 4 0 4 2 0 0 4 0 0 0 3 3 0 0 1 0 1 2 0 0 0 2 0 0 0 0 1 1 2 3 0 0 1 1 0 0 1 0 1 1 1 2 1 1 1 0 2 0 6 1 0 1 0 0 0 2 1 0 0 1 1 1 1 0 0 0 0 0 1 0 1 0 0 0 2 0 1 4 0 0 0 0 2 0 0 1 2 1 0 0 1 2 0 0 0 0 2 2 0 0 0 3 0 4 4 0 0 2 0 1 1 0 0 1 0 0 0 0 2 0 0 3 1 0 1 0 0 2 1 1 1 0 1 0 0 2 3 1 2 0 4 3 1 1 0 1 1 2 1 6 1 0 0 0 1 0 0 0 3 0 1
"peaceful" 0 0 0 0 0 1 2 0 0 0 1 0 0 0 0 1 0 0 2 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 0 0 1 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0 0 1 3 0 1 0 1 0 0 1 0 0 0 0 1 3 0 0 0 1 1 0 1 0 1 0 1
"pensive" 0 0 1 1 0 2 3 0 0 3 1 0 0 0 3 0 0 1 0 1 1 0 2 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 3 1 0 3 0 0 2 1 0 0 2 1 1 2 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 3 0 0 0 1 1 0 2 0 1 1 0 2 1 0 0 1 1 0 1 2 0 0 2 0 0 0 1 0 0 2 0 0 0 0 1 2 1 0 1 1 2 1 0 1 1 0 1 3 0 3 0 1 0 0 3 0 2 0 0 0 3 1 0 0 0 3 3 0 1 0 3 0 3 0 2 0 0 0 0 0 0 1 0 2 0 0
"pleasant" 0 0 2 5 0 4 4 1 2 9 2 2 1 1 3 1 0 2 1 1 1 2 1 0 4 1 0 1 0 1 0 2 7 2 1 4 1 1 0 0 1 2 3 3 2 2 2 2 8 2 3 4 3 3 2 4 4 3 2 1 0 7 3 2 1 1 1 1 2 1 2 0 0 2 1 2 0 2 1 1 1 0 0 0 4 1 1 3 0 6 1 0 2 2 7 0 5 2 0 2 0 2 2 0 7 1 4 6 0 0 2 0 0 3 3 0 2 1 6 4 1 2 1 1 4 1 0 1 1 1 0 3 2 3 3 3 1 1 5 2 1 0 0 8 8 0 2 0 5 2 1 1 7 1 1 1 2 3 2 5 2 4 4 0
"polite" 0 0 0 1 0 0 0 0 1 1 0 0 0 2 5 2 0 1 3 0 0 1 0 1 1 1 0 0 0 1 0 0 2 0 1 0 0 3 0 0 0 1 0 2 0 0 1 0 3 0 3 1 0 1 0 1 4 0 2 0 1 2 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 3 0 0 1 1 0 0 2 0 1 1 0 1 0 0 0 0 4 1 1 0 1 0 2 0 0 0 4 0 0 1 0 0 2 1 0 0 3 1 0 0 1 1 1 0 1 2 1 0 0 1 0 0 0 0 2 1 1 0 1 1 2 3 1 0 0 2 3 0 0 0 1 1 0 1 3 0 0 0 0 1 1 3 0 3 0 0
"practical" 1 1 0 0 0 2 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2 0 0 0 0 1 2 0 2 0 0 3 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 0 0 2 1 0 0 0 0 2 0 0 0 3 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 0 0 1 0 2 0 1 0 0 0 0 2 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 2 0 0
"presumptuous" 0 2 0 0 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 2 1 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 1 0 3 0 0 0 0 0 2 0 0 0 0 0 2 0 1 0 0 1 1 1 0 0 0 0 2 2 3 1 0 0 2 1 1 0 1 0 4 0 0 1 1 1 0 0 1 3 0 0 0 1 0 0 0 1 2 3 0
"proud" 3 3 2 9 1 10 3 4 3 13 4 2 3 9 16 7 3 6 2 0 6 6 5 4 5 4 0 1 5 5 4 11 3 4 3 5 3 7 0 0 5 1 5 7 4 7 1 2 19 4 6 11 5 5 3 5 4 0 18 0 12 9 5 3 2 3 7 1 8 0 8 4 2 3 6 1 3 9 3 4 7 3 2 4 2 7 3 5 3 11 1 1 5 0 12 3 7 3 1 1 7 4 3 2 0 2 12 18 2 4 2 1 2 6 4 1 2 2 12 5 4 1 7 4 14 6 3 4 5 2 3 9 2 3 13 5 4 3 11 7 2 3 2 25 11 3 4 4 6 6 3 9 25 5 1 3 7 5 1 4 6 7 4 3
"punctual" 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 2 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 2 0 2 1 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0 3 0 0 0 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0
"quick" 0 0 3 5 1 1 0 0 2 6 3 0 0 6 9 2 1 1 1 0 5 0 0 1 3 2 0 0 1 0 0 4 0 1 1 3 1 0 0 1 4 2 1 5 2 5 0 0 4 4 0 4 3 1 1 2 1 1 2 0 1 1 3 1 4 0 2 1 1 0 1 0 1 1 2 1 1 4 1 3 3 1 0 2 3 2 0 1 2 5 0 0 0 2 4 2 2 4 0 0 4 0 0 0 12 2 0 6 0 0 0 1 0 3 3 1 0 0 4 3 2 1 3 0 8 0 0 1 1 0 1 5 3 2 2 3 0 0 5 5 2 0 0 14 2 1 2 0 4 1 1 2 4 1 1 0 1 0 1 2 2 3 0 1
"quiet" 3 5 0 1 2 10 6 1 1 8 4 0 3 4 13 3 1 4 1 1 5 5 2 0 4 1 0 0 2 2 1 6 11 1 1 1 4 5 0 1 3 2 0 10 4 3 2 2 14 4 0 12 1 5 3 5 4 2 7 1 2 6 5 2 4 1 5 0 2 1 3 2 1 2 2 2 1 6 0 1 7 2 4 0 5 5 3 4 3 7 1 1 1 2 13 2 5 4 2 2 6 1 1 3 18 1 6 0 1 1 5 2 3 4 1 1 0 1 7 2 0 4 2 2 11 6 3 3 4 3 1 6 7 4 7 2 3 2 9 8 1 2 2 21 16 4 2 4 9 3 4 0 14 3 1 2 1 7 1 5 2 7 3 2
"reckless" 0 0 2 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 2 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2 2 0 1 0 0 0 0 0 0 0 0 0 3 0 3 1 1 0 0 1 0 0 1 0 0 0 1 0 3 1 1 0 0 0 1 3 1 2 0 0
"resolute" 1 1 0 2 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 0 1 0 0 1 1 0 2 2 2 0 1 1 1 0 0 0 2 0 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 4 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 0 0 1 0 2 0 2 1 0 3 2 0 1 1 0 0 1 0 2 0 0 0 0 1 0 1 0 2 0 1
"restless" 0 0 0 0 0 2 0 0 0 2 1 0 0 1 1 0 0 1 0 0 1 2 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 2 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 2 0 0 0 1 1 0 1 1 0 0 3 1 0 0 1 2 0 0 0 0 2 0 0 2 1 0 2 2 0 0 2 0 0 5 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 2 3 1 1 0 3 1 1 0 0 1 1 0 0 3 1 0 0 0 1 1 2 0 0 0 1
"rigid" 0 1 0 0 0 0 2 0 0 0 1 0 1 0 2 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 0 0 1 0 3 0 0 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 1 1 1 1 0 0 1 0 1 0 0 2 1 0 0 0 0 0 1 0 0 1 0 1 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 2 1 0 0 1 1 1 1 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0
"romantic" 0 0 0 0 0 0 0 0 0 2 0 0 0 2 1 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 2 1 2 1 0 1 1 0 0 0 2 0 1 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 1 0 1 0 0 1 0 2 0 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 2 0 0 0 0 0 0 1 0 0 0 1 2 2 0 0 0 2 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1
"rough" 1 1 0 1 0 4 0 0 0 2 3 0 1 5 6 0 0 5 0 0 0 1 1 1 3 1 0 1 1 1 0 2 3 1 0 0 4 4 1 0 0 0 0 2 4 3 1 1 3 1 0 6 2 0 0 1 0 2 1 0 2 9 4 1 0 0 0 1 1 1 2 0 0 1 2 0 0 3 1 0 4 2 1 1 2 0 1 0 0 6 0 0 0 0 8 0 3 1 0 2 3 0 0 2 6 1 3 4 1 1 0 0 0 0 1 1 0 0 3 2 1 0 1 2 1 2 0 1 3 1 2 1 1 1 1 1 0 2 3 1 0 0 1 8 3 0 0 0 3 1 3 6 5 2 0 0 1 0 0 2 2 1 2 1
"sad" 0 1 0 1 0 0 1 2 2 4 2 0 0 4 3 0 0 2 0 1 0 2 0 0 1 1 0 0 0 1 0 3 1 0 1 1 1 2 0 0 1 1 0 5 1 2 0 0 3 0 1 2 1 1 2 3 2 0 0 0 0 1 1 2 0 0 2 0 0 0 1 1 0 1 0 1 1 6 2 0 3 1 0 0 4 1 0 0 2 4 0 0 0 0 2 0 2 0 0 1 3 3 0 0 4 0 3 1 0 0 1 0 1 1 0 0 0 0 2 1 0 0 0 2 3 1 0 1 1 0 0 1 3 1 0 2 1 1 1 2 0 0 0 8 5 3 2 0 1 2 3 0 2 1 1 0 2 2 0 2 0 2 0 1
