"active" "affectionate" "awkward" "bitter" "boastful" "bold" "brave" "busy" "calm" "careful" "careless" "certain" "cheerful" "christian" "clean" "close" "cold" "confidential" "conventional" "cool" "cruel" "curious" "delicate" "determined" "dignified" "direct" "domestic" "eager" "earnest" "easy" "emphatic" "exact" "expressive" "faithful" "familiar" "fierce" "free" "fresh" "friendly" "gallant" "general" "generous" "gentle" "giddy" "gloomy" "gracious" "grateful" "grave" "greedy" "handsome" "heavy" "honest" "hopeful" "hospitable" "humble" "impatient" "impertinent" "independent" "indifferent" "industrious" "inquisitive" "insolent" "intimate" "jealous" "kind" "literary" "lively" "lofty" "lonely" "magnanimous" "majestic" "maternal" "melancholy" "mercenary" "methodical" "mild" "modest" "natural" "neat" "nervous" "observant" "open" "orderly" "original" "particular" "passionate" "patient" "peaceful" "playful" "pleasant" "polite" "practical" "proud" "punctual" "quick" "quiet" "reasonable" "reckless" "responsible" "romantic" "rough" "rusty" "sad" "scornful" "second" "selfish" "sensible" "sensitive" "serious" "severe" "shy" "silent" "simple" "slow" "smooth" "social" "soft" "solemn" "stable" "stately" "steady" "stern" "stiff" "straight" "strict" "strong" "sudden" "sufficient" "sure" "suspicious" "sweet" "sympathetic" "tender" "thankful" "thoughtful" "tight" "timid" "true" "uncertain" "ungrateful" "unhappy" "unsteady" "vague" "vain" "violent" "virtuous" "watchful" "weak" "willing" "wise"
"particular" 1 1 1 1 1 2 1 2 0 1 2 14 3 0 1 4 5 2 1 2 2 2 5 1 1 0 3 0 1 6 3 1 1 3 2 1 1 2 1 2 6 1 0 0 1 2 2 0 1 1 3 2 0 0 2 0 3 3 0 1 0 0 1 0 3 2 2 0 3 1 2 2 1 0 0 0 3 5 2 0 0 7 2 1 0 2 2 0 1 2 3 1 3 1 2 7 2 0 0 0 1 0 1 0 3 0 2 0 1 2 2 3 2 2 1 2 1 0 1 1 0 0 0 0 0 5 2 1 12 3 2 0 1 2 2 1 1 7 1 1 1 1 1 1 2 1 0 1 2 0
"passionate" 0 1 1 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 2 1 0 0 0 0 1 0 1 0 0 1 0 1 0 2 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 2 1 0 0 2 0 1 2 0 0 0 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 2 0 0 3 0 0 0 0 1 0 0 1 4 0 0 1 0 0 0 1 0 0 0 1 0
"patient" 0 0 0 1 0 1 0 2 0 0 0 3 2 1 0 1 0 0 1 1 0 1 2 0 0 1 1 0 0 2 0 0 1 2 0 0 0 1 1 0 1 2 1 0 1 1 1 1 0 2 1 3 0 0 1 1 0 0 0 1 0 0 2 0 1 1 1 0 0 0 0 0 1 2 0 1 1 1 1 2 0 1 0 0 2 0 0 1 0 1 0 0 1 0 2 2 1 0 0 0 2 2 2 0 1 1 1 0 1 0 0 2 1 2 0 1 1 1 0 1 0 0 0 0 0 0 2 0 3 1 1 1 0 1 2 0 0 3 0 1 0 0 0 0 1 0 2 0 0 0
"peaceful" 1 0 0 0 0 1 0 0 0 0 0 5 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 3 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 0 1 1 1 0 0 2 1 1 0 0 1 0 0 1 0 0 1 0 2 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 2 1 0 0 0 2 0 0 1 1 2 0 0 2 0 0 0 2 0 0 1 0 1 1 0 0 0 0 1 0
"playful" 0 2 0 0 0 0 1 0 0 0 0 3 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 2 1 1 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 2 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 1 1 0 0 0 2 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 2 0 1 3 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 3
"pleasant" 0 1 1 2 2 2 0 2 0 1 0 7 4 3 2 2 3 0 1 1 3 0 0 0 1 0 2 0 1 4 1 0 3 2 0 0 3 2 2 0 5 1 1 0 0 1 1 1 1 1 3 2 1 0 1 0 0 1 0 0 0 1 1 0 3 2 3 1 0 1 3 1 3 1 1 1 2 3 1 0 0 6 0 3 2 1 1 1 2 0 1 0 3 0 2 8 0 0 1 1 1 0 2 1 1 0 1 0 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 2 1 4 2 1 9 1 0 1 0 3 1 3 1 4 1 0 1 1 0 0 0 0 0 2 2 1
"polite" 1 1 0 0 0 0 0 0 1 0 0 5 0 0 1 2 0 0 0 0 0 0 3 2 0 1 1 0 0 2 2 0 1 0 0 0 1 0 2 0 0 1 3 1 2 0 0 0 2 0 1 0 0 0 2 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 1 2 0 0 0 1 1 1 3 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 2 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1 0 1 1 2 4 1 1 0 1 1 1 0 0 2 1 0 1 1 0 1 0 0 0 1 1 0
"practical" 0 0 0 0 0 2 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 1 1 2 0 0 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 4 0 1 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 0 2 0 0
"proud" 1 0 0 0 1 1 2 3 0 1 1 10 1 1 2 0 3 0 0 0 0 4 3 1 1 1 2 0 1 4 1 0 1 0 2 0 5 1 2 0 5 2 0 1 2 4 4 0 0 1 3 4 2 1 1 1 2 2 1 0 0 0 0 2 4 0 1 2 1 0 1 0 3 2 2 0 3 7 0 0 1 3 2 3 3 0 1 1 0 3 0 1 0 1 5 5 0 0 0 0 0 0 0 0 5 1 0 0 1 0 0 2 2 1 0 2 0 0 1 0 1 0 1 0 1 5 1 0 9 1 1 3 0 1 0 0 1 8 1 0 0 0 0 1 0 1 2 0 0 0
"punctual" 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 2 0 1 0 0 0 0 1 0 1 1 2 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 3 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 2 0 1 0 2 0 1 1 0 2 0 0 0 0 0 0 0 0 0 1 1 1
"quick" 1 0 1 0 1 1 3 3 1 1 0 6 4 1 1 3 2 1 1 2 0 2 2 0 1 0 2 0 0 3 0 1 1 1 0 1 2 4 0 1 5 1 1 1 3 1 2 0 0 0 2 3 1 1 1 1 1 1 1 0 0 0 0 1 3 1 1 2 0 0 1 0 0 0 0 0 2 3 1 0 2 5 0 0 2 0 2 2 1 2 0 1 5 0 0 6 0 0 1 0 4 0 0 0 3 0 1 0 1 1 0 6 1 1 2 1 0 2 0 0 1 1 1 0 0 2 0 1 9 0 3 3 2 0 0 1 0 3 0 1 1 1 0 1 0 1 1 2 0 2
"quiet" 2 1 0 1 1 1 1 5 1 1 1 14 2 5 2 4 5 1 0 1 1 1 2 1 2 0 3 0 0 5 1 1 2 3 2 0 1 3 2 1 6 1 4 1 2 4 4 1 0 1 3 4 4 0 3 3 4 0 0 1 0 1 0 1 5 0 2 2 0 0 4 1 1 2 1 0 2 9 0 1 1 6 0 2 7 0 2 3 1 8 1 0 5 4 6 0 1 1 0 2 2 3 1 0 4 2 2 0 3 1 0 5 0 4 0 1 1 3 0 1 4 1 0 0 0 8 1 1 17 3 3 4 2 3 0 2 1 8 1 0 2 0 0 1 2 1 1 4 3 0
"reasonable" 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 1 2 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 0 3 2 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 1 3 1 0 2 1 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 0 1 1 0
"reckless" 0 0 0 0 0 0 0 0 1 0 4 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 0 0 0 0 1 0 0 3 0 0 0 0 0 0 1 0 0 1 0 0
"responsible" 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 2 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 1 0 1 3 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 1 0
"romantic" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 2 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 1 0 1 1 0
"rough" 0 0 0 1 0 0 0 1 1 1 0 7 0 0 0 2 1 1 1 0 0 0 1 1 0 1 1 0 0 1 1 0 1 2 0 1 0 3 1 1 1 0 1 0 1 0 0 1 0 0 2 3 1 1 1 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 4 0 2 1 0 2 1 0 1 1 0 0 0 4 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 2 0 1 1 0 0 0 1 0 1 1 5 1 1 5 0 1 0 0 1 0 0 0 3 0 0 0 0 0 1 0 0 2 2 2 1
"rusty" 1 0 0 1 0 0 0 0 0 1 0 3 1 1 1 1 3 0 0 0 1 1 0 0 0 0 2 1 0 1 0 3 0 0 0 1 1 0 1 1 4 1 0 1 1 1 0 1 0 2 2 2 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 1 0 1 0 0 3 0 0 0 0 2 0 0 0 0 1 0 1 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 2 1 0 0 0 2 2 0 3 0 1 0 0 0 1 2 0 1 1 0 0 0 1 0 0 0 1 1 0 1
"sad" 0 1 0 1 0 0 0 1 0 0 0 2 2 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 0 0 1 0 4 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 0 1 0 0 1 1 2 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 2 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 1 0 2 0 2 0 0 0 0 1 0 1 0 0 0 0 1
"scornful" 0 0 0 0 1 1 0 0 0 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 1 1 0 1 1 0 0 1 2 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 6 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 1 0 0
"second" 1 2 0 1 0 0 0 1 2 2 0 10 3 2 3 4 6 2 0 1 1 5 4 1 0 2 3 1 3 2 1 3 3 0 3 1 4 2 2 0 6 2 3 0 2 2 1 4 1 0 4 8 0 1 0 0 2 1 1 1 2 0 2 2 2 1 2 1 2 1 1 0 3 0 1 1 2 8 1 0 1 11 1 5 3 0 1 0 1 1 1 0 5 0 3 4 1 1 0 1 2 1 1 0 0 0 2 1 1 4 1 3 2 3 2 3 1 2 1 0 0 0 1 1 1 6 2 0 12 1 1 1 0 1 1 1 1 6 0 1 1 1 2 2 2 0 0 2 0 1
"selfish" 0 0 0 1 1 0 0 1 0 1 0 4 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 0 1 2 0 0 0 2 0 0 1 2 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 1 3 0 0 0 2 0 2 0 0 1 0 1 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 3 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 3 1 1 0 0 1 2 0 0 2 0 4 0 0 0 0 0 0 0 3 0 2
"sensible" 0 0 0 1 0 0 0 0 0 0 1 1 1 0 0 2 0 1 0 0 0 1 3 0 1 0 0 0 0 1 2 0 2 0 1 0 2 0 0 0 2 0 1 1 1 1 0 0 2 1 1 0 0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 2 0 1 2 1 1 0 0 1 2 0 0 0 1 2 1 0 0 0 0 0 1 1 2 0 0 1 0 0 0 2 1 0 0 1 1 1 1 0 0 0 0 0 0 2 1 0 6 1 1 0 2 3 0 1 0 4 1 0 1 1 0 1 2 0 0 0 0 0
"sensitive" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 3 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 3 1 0 0 1 0 0 0 0 3 1 0 0 1 0 0 0 1 1 2 0 0
"serious" 0 1 0 1 0 0 1 0 0 0 2 6 1 0 0 1 3 0 0 3 1 2 0 1 2 1 4 0 1 1 0 0 0 1 0 0 1 1 0 0 2 1 0 1 1 1 2 0 0 1 2 2 1 0 1 1 1 0 1 1 0 1 0 0 2 0 0 1 0 0 1 1 0 2 0 0 1 2 0 0 1 1 0 1 1 0 1 0 1 1 0 0 1 0 1 3 1 2 0 0 0 0 0 1 1 3 0 0 0 2 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 5 0 0 7 0 1 0 0 0 1 0 0 3 0 1 0 0 1 1 0 0 1 1 2 2
"severe" 0 0 0 0 0 0 1 1 0 1 0 5 1 0 2 1 0 0 0 0 2 1 1 0 0 0 1 0 0 0 0 2 1 0 0 0 2 0 0 0 2 2 0 0 1 1 0 0 0 0 0 2 0 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 1 1 1 2 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 4 0 0 0 2 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 0 3 1 1 0 0 0 0 0 0 3 0 0 1 0 1 0 1 0 0 0 0 2
"shy" 1 0 0 0 0 0 0 0 0 1 0 3 1 2 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 1 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 2 1 0 0 0 0 0 1 2 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 2 0 0 0 0 0 1 1 0 0 2 0 0 4 0 0 1 0 0 0 0 1 3 0 0 0 2 0 0 0 0 0 0 0 1
"silent" 1 1 3 1 0 2 0 3 1 2 4 9 1 2 1 2 4 0 0 3 1 3 4 1 1 0 1 1 0 4 2 0 1 0 1 2 4 2 2 1 1 2 1 0 3 2 1 2 1 2 3 6 0 0 1 0 1 0 0 0 1 1 1 0 3 1 0 2 2 0 1 0 1 2 1 0 2 3 3 1 0 7 0 4 3 1 2 2 1 1 1 0 2 0 6 5 3 2 0 0 1 1 1 1 3 1 2 1 0 1 0 0 0 1 1 0 0 1 0 1 2 2 1 1 0 2 1 0 13 2 3 2 1 1 1 1 0 7 0 2 1 1 3 3 2 1 1 5 3 2
"simple" 0 0 0 0 0 0 1 2 0 1 0 2 3 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 3 0 1 1 2 0 0 2 0 1 0 0 1 0 1 2 0 1 0 0 0 0 0 0 0 2 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 2 0 0 3 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0
"slow" 0 1 1 1 0 0 0 1 1 0 1 5 1 2 0 3 2 0 0 2 0 0 3 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 2 1 0 1 2 0 1 1 1 2 1 0 2 3 1 1 1 1 1 0 0 1 1 2 0 1 2 0 1 1 1 0 1 0 0 0 0 0 0 3 0 0 0 4 0 2 2 1 2 1 0 1 0 0 1 0 1 4 0 2 0 1 0 1 1 0 3 2 0 0 1 1 0 1 0 0 1 2 0 1 0 1 0 0 0 0 0 2 2 1 6 4 2 1 0 0 2 1 1 4 2 0 0 0 1 0 1 2 0 2 1 0
"smooth" 0 0 1 1 0 0 0 0 0 1 0 4 2 2 0 3 2 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 5 0 1 1 0 0 0 1 1 0 1 0 0 2 0 1 0 0 0 2 1 0 0 2 0 0 1 0 0 1 1 0 1 0 1 2 0 0 0 0 0 0 0 0 1 0 1 4 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0
"social" 0 1 0 1 0 1 0 0 0 0 0 4 1 1 1 0 0 0 1 1 0 1 4 0 1 0 0 0 0 1 0 1 2 0 1 0 1 1 1 0 3 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 1 0 1 0 1 1 0 0 0 0 0 3 3 1 0 0 3 0 1 2 0 1 0 0 1 1 0 2 0 1 1 0 0 1 0 0 0 0 0 3 0 1 0 1 1 2 0 0 2 1 0 0 0 0 1 0 0 1 0 0 0 0 0 3 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0
"soft" 0 1 0 1 0 1 1 0 0 1 0 2 0 0 0 1 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 1 1 2 1 0 0 1 0 1 1 1 1 0 0 1 2 2 2 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 2 0 1 1 1 1 0 1 1 0 1 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 5 1 0 1 0 3 0 1 2 3 1 0 0 0 1 0 0 0 1 0 0 0
"solemn" 0 0 0 0 0 0 0 1 1 1 0 2 0 2 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 2 1 2 0 2 0 1 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0 0 2 3 0 0 0 1 1 0 0 0 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 3 1 0 0 1 0 0 0 1 0 0 0 0 1 1 1 0
"stable" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 0 0 0 0 0 1 1 0 0 3 0 0 1 0 0 2 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 0 1 0 1 0 0 0 0 1 1 0 0 1 0 1 0 0 0 3 0 1
"stately" 0 2 0 0 0 2 0 1 0 0 0 2 2 0 0 2 1 0 0 0 1 0 1 0 0 2 3 0 0 1 0 0 1 0 1 0 0 0 0 0 3 2 1 0 0 1 2 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 0 4 0 0 2 0 1 2 1 1 0 0 0 0 4 0 1 0 1 0 2 1 0 1 0 1 1 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 1 0 0 0 1 1 0 5 0 1 0 1 1 0 0 1 2 1 0 0 0 0 0 0 0 0 1 0 0
"steady" 1 0 0 0 0 1 0 0 0 0 0 3 0 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 1 1 0 0 0 2 3 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 2 0 1 0 0 1 0 1 4 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 5 1 0 4 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 0 0 0 1
"stern" 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0 1 1 0 4 0 0 0 0 0 0 0 0 3 0 0 1 0 0 1 0 0 0 1 1 1
"stiff" 0 0 1 0 0 0 0 0 0 0 0 3 1 1 0 1 0 0 0 1 1 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 2 0 1 0 0 0 1 0 0 0 0 0 3 1 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 0 1 0 0 0 1 0 0 0 0 2 1 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 4 0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 0 2 1 0
"straight" 0 0 0 0 0 0 0 0 0 0 0 3 1 0 1 1 1 1 0 1 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 2 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 0 0 0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0
"strict" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 2 1 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 1 1 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 2 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 2 0 0
"strong" 2 2 2 2 1 1 2 1 2 3 1 19 2 1 2 4 10 6 1 1 4 4 2 4 1 0 2 2 3 6 2 2 6 3 4 3 5 5 4 3 7 3 1 0 4 4 6 3 0 2 4 8 3 2 1 1 2 2 2 2 2 1 1 0 4 3 1 1 3 1 3 0 5 4 1 3 2 6 0 0 3 12 1 5 5 2 0 2 2 4 1 1 5 2 2 8 3 2 1 0 5 2 1 1 6 2 2 1 5 2 2 2 2 2 1 0 2 2 1 1 5 1 2 1 3 0 2 0 24 2 2 3 0 7 2 3 0 18 0 0 2 3 1 0 2 2 3 10 2 2
"sudden" 0 1 1 0 0 0 0 0 1 1 1 7 0 1 0 2 0 1 0 0 0 1 2 1 0 1 0 1 1 2 0 1 0 1 1 0 1 1 1 0 3 0 0 0 1 1 0 1 1 2 2 0 0 1 1 0 1 0 0 0 1 1 2 2 2 0 0 0 0 0 1 0 0 0 0 0 0 2 2 1 0 2 0 1 2 0 2 0 0 2 1 0 1 1 0 1 1 0 0 0 1 2 0 0 2 0 1 0 0 0 0 1 0 2 0 0 0 0 0 1 1 1 0 0 1 2 0 0 6 2 0 0 0 0 2 0 0 4 1 0 0 0 0 0 1 0 1 2 0 1
