"affectionate" "agreeable" "amiable" "anxious" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "constant" "cool" "cruel" "curious" "deep" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "gentle" "gloomy" "graceful" "gracious" "honest" "humble" "ignorant" "impatient" "indifferent" "ingenious" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "patient" "pleasant" "practical" "proper" "proud" "quick" "quiet" "rough" "serious" "silent" "simple" "slow" "social" "steady" "stern" "tender" "tight" "timid" "vague" "violent" "warm" "wild" "wise"
"silent" 0 3 1 6 6 2 3 3 1 1 3 3 2 5 1 3 4 2 0 4 3 4 1 2 3 2 2 6 0 2 1 2 0 2 0 3 1 0 4 2 2 4 3 4 2 4 2 1 7 5 0 0 2 3 0 0 1 1 1 1 1 4 4 4 1
"simple" 1 2 0 0 2 0 1 5 2 1 1 2 2 1 1 1 2 0 1 0 1 0 2 2 0 1 0 0 1 1 0 1 2 1 1 1 2 2 1 5 0 5 3 3 0 0 2 2 3 2 0 2 0 1 1 1 0 1 0 2 1 1 2 0 1
"slow" 3 4 0 1 4 1 2 6 0 1 3 1 0 1 1 0 0 2 2 0 3 4 1 4 4 3 2 1 0 1 1 0 0 2 4 2 0 1 1 9 3 5 0 2 0 1 2 6 3 0 1 3 1 0 0 0 0 1 2 0 1 1 1 2 3
"social" 1 1 0 1 0 0 1 6 0 1 1 0 1 1 4 2 2 0 0 1 3 3 0 2 0 0 0 1 2 0 0 0 0 3 1 0 1 1 2 0 1 0 1 2 1 1 2 0 3 0 0 0 1 0 0 1 1 0 0 1 1 0 0 1 0
"steady" 0 0 2 0 3 0 1 5 0 0 1 0 0 1 1 3 1 0 1 1 1 3 1 1 3 1 0 1 0 1 0 0 2 2 1 2 2 1 1 3 1 2 1 1 1 2 3 1 4 0 0 0 1 0 1 0 3 0 0 1 2 1 0 0 2
"stern" 0 3 1 0 1 0 1 2 0 3 3 0 1 1 0 2 1 1 0 1 1 2 1 2 5 1 1 0 0 0 0 0 0 3 1 0 0 0 0 1 0 3 0 1 1 3 2 0 0 0 1 1 0 0 1 3 0 1 0 1 0 0 1 0 0
"tender" 0 0 0 1 2 0 1 3 1 2 1 0 4 4 1 2 0 2 2 0 1 1 1 1 2 1 2 0 1 1 0 0 1 1 3 1 0 1 0 3 3 3 1 1 1 1 3 2 4 0 1 1 1 1 0 0 1 0 1 1 0 0 0 0 1
"tight" 0 3 1 3 3 1 0 3 1 1 0 0 0 1 1 1 0 0 1 0 0 2 1 2 1 0 2 2 0 1 0 0 0 2 0 2 0 1 3 3 0 0 0 1 2 3 1 3 3 1 0 1 0 2 0 0 0 1 0 1 0 0 1 0 1
"timid" 2 0 1 4 2 0 0 3 2 2 4 3 0 3 0 2 1 0 2 0 2 1 1 1 0 1 0 0 0 1 0 0 0 1 0 2 1 1 2 5 0 1 1 1 0 0 3 2 2 1 0 1 2 0 1 1 1 1 1 0 0 0 0 1 0
"vague" 1 0 0 1 1 0 1 1 1 0 0 0 0 1 2 2 0 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 0 0 1 2 2 1 0 2 1 3 1 0 3 1 3 0 2 1 1 1 1 2 0 0 0 0 0 1 0 0 1
"violent" 0 0 0 3 3 1 0 5 0 2 1 0 1 1 0 2 1 3 1 1 2 2 0 0 1 0 3 2 0 0 0 0 0 4 1 0 0 1 2 2 2 2 2 1 1 2 1 2 4 2 0 4 1 1 0 1 0 0 0 0 1 0 1 0 1
"warm" 0 3 0 0 3 0 1 2 1 0 2 1 0 1 2 3 2 1 1 1 0 0 2 1 2 0 0 0 1 0 0 1 0 2 2 0 1 0 2 2 0 0 2 3 0 1 1 0 3 6 0 4 2 1 0 0 1 0 1 0 0 1 0 1 1
"wild" 2 1 2 1 3 3 2 4 0 1 4 1 0 3 1 3 6 2 0 1 0 1 1 2 5 0 0 1 2 0 3 2 1 2 0 1 0 1 2 4 1 3 1 0 1 1 2 3 7 2 2 4 0 2 1 0 0 0 0 1 0 0 1 0 0
"wise" 1 3 1 1 1 0 2 3 0 0 1 3 0 1 0 1 0 1 1 1 1 2 2 4 0 0 1 0 0 1 0 0 1 2 0 1 2 1 1 4 2 3 1 1 0 1 2 2 3 0 1 1 1 3 0 2 0 1 1 0 1 1 1 0 0
