"","Words","count.present","A Tale of Two Cities","Barnaby Rudge","Bleak House","David Copperfield","Dombey and Son","Great Expectations","Hard Times","Little Dorrit","Martin Chuzzlewit","Mystery of Edwin Drood","Nicholas Nickleby","Oliver Twist","Our Mutual Friend","Pickwick","The Old Curiosity Shop"
"206","constrai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","construc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","contempl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","contente",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","contrads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","contrady",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","contrarm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","contrary",28,0,1,3,14,1,0,1,2,0,1,0,1,2,2,0
"214","controll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","conventi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","conversa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","cool",133,6,13,15,9,6,5,3,9,16,4,11,3,17,8,8
"218","coolhead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","cooperat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","cordial",45,1,3,6,7,3,2,1,5,6,1,3,0,1,3,3
"221","correcti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","cosmopol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","counsela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","courageo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"225","courteou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","courtly",26,3,3,6,1,2,0,0,7,2,2,0,0,0,0,0
"227","covetous",8,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0
"228","cowardly",11,0,2,0,0,0,1,0,0,1,0,3,3,1,0,0
"229","coy",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"230","crabby",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","crafty",15,0,4,0,2,2,0,0,2,0,0,1,1,1,0,2
"232","cranky",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"233","creative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","credulou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","critical",22,0,2,1,1,1,2,0,0,0,1,2,3,3,3,3
"236","crotchet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","cruel",179,12,18,11,22,17,6,3,17,15,6,18,5,14,4,11
"238","crusadin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","cultivat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240","cultured",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","cunning",93,1,6,4,6,3,2,3,0,10,1,17,8,8,11,13
"242","curious",302,10,12,54,24,21,21,9,32,25,10,14,8,19,28,15
"243","curt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","cynical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","dainty",29,2,1,2,0,7,0,0,3,1,1,5,1,1,3,2
"246","dapper",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"247","daring",37,1,10,1,2,5,2,1,4,1,2,0,0,4,2,2
"248","dauntles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249","debonair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","deceitfu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","deceivab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","deceptiv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253","decisive",8,0,0,1,1,1,1,0,0,0,0,2,1,0,1,0
"254","dedicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255","deep",460,19,38,27,28,63,13,7,23,56,10,34,33,38,37,34
"256","defensiv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
