"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"428","supportive",0,0,0,0,0,0,0
"429","surprised",17,0,8,2,1,3,3
"430","suspicious",4,1,1,0,1,0,1
"431","sweet",43,8,8,9,3,5,10
"432","sympathetic",2,0,1,1,0,0,0
"433","talented",0,0,0,0,0,0,0
"434","talkative",2,1,1,0,0,0,0
"435","tall",16,3,5,0,2,4,2
"436","temperamental",0,0,0,0,0,0,0
"437","tense",0,0,0,0,0,0,0
"438","terrible",9,0,7,0,0,0,2
"439","terrific",2,0,0,1,0,1,0
"440","thankful",9,1,0,0,1,6,1
"441","thin",8,1,1,1,2,1,2
"442","thinking",0,0,0,0,0,0,0
"443","thorough",18,6,3,0,1,3,5
"444","thoughtful",14,3,5,0,2,0,4
"445","thoughtless",1,0,0,0,1,0,0
"446","tiny",0,0,0,0,0,0,0
"447","tired",12,3,1,5,1,2,0
"448","tolerant",0,0,0,0,0,0,0
"449","tough",1,0,1,0,0,0,0
"450","traditional",1,0,0,1,0,0,0
"451","troubled",0,0,0,0,0,0,0
"452","trusted",0,0,0,0,0,0,0
"453","trusting",0,0,0,0,0,0,0
"454","trustworthy",0,0,0,0,0,0,0
"455","truthful",0,0,0,0,0,0,0
"456","unattractive",0,0,0,0,0,0,0
"457","uncomfortable",9,1,0,3,0,3,2
"458","undependable",0,0,0,0,0,0,0
"459","understandable",0,0,0,0,0,0,0
"460","understanding",0,0,0,0,0,0,0
"461","uneducated",0,0,0,0,0,0,0
"462","unemployed",4,1,1,0,1,0,1
"463","unfair",4,3,0,0,0,0,1
"464","unfaithful",0,0,0,0,0,0,0
"465","unforgettable",0,0,0,0,0,0,0
"466","unfriendly",3,1,1,1,0,0,0
"467","ungraceful",0,0,0,0,0,0,0
"468","unhappy",30,6,3,4,1,3,13
"469","uninhibited",0,0,0,0,0,0,0
"470","unlucky",18,3,5,0,0,7,3
"471","unpopular",0,0,0,0,0,0,0
"472","unpredictable",0,0,0,0,0,0,0
"473","unreasonable",23,6,9,1,0,5,2
"474","unreliable",0,0,0,0,0,0,0
"475","unstable",0,0,0,0,0,0,0
"476","unsure",0,0,0,0,0,0,0
"477","unusual",12,3,4,3,1,0,1
"478","upset",0,0,0,0,0,0,0
"479","useful",46,11,23,2,7,2,1
"480","valuable",26,7,4,1,4,6,4
"481","violent",20,0,1,2,1,8,8
"482","warm",49,14,12,5,8,3,7
"483","warm-hearted",2,0,2,0,0,0,0
"484","wasteful",0,0,0,0,0,0,0
"485","weak",13,5,3,0,3,2,0
"486","wealthy",5,0,0,3,1,0,1
"487","weird",0,0,0,0,0,0,0
"488","well",0,0,0,0,0,0,0
"489","well-adjusted",0,0,0,0,0,0,0
"490","well-known",7,2,0,3,1,0,1
"491","well-liked",0,0,0,0,0,0,0
"492","well-to-do",0,0,0,0,0,0,0
"493","wise",9,3,1,0,2,2,1
"494","wishy-washy",0,0,0,0,0,0,0
"495","witty",3,2,0,0,0,0,1
"496","wonderful",26,8,8,4,1,3,2
"497","worthy",26,14,3,3,2,3,1
"498","young",457,111,84,58,49,93,62
"499","youthful",4,0,0,1,1,0,2
