"active" "affable" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bold" "bright" "calm" "careful" "certain" "cheerful" "clever" "cold" "considerate" "constant" "cool" "cruel" "curious" "deep" "determined" "direct" "distant" "dull" "earnest" "expressive" "faithful" "friendly" "generous" "genteel" "gentle" "gloomy" "graceful" "gracious" "hearty" "honest" "humble" "ignorant" "immovable" "impatient" "indifferent" "ingenious" "jealous" "kind" "lively" "loud" "modest" "moral" "narrow" "natural" "original" "particular" "passionate" "patient" "pleasant" "polished" "polite" "political" "practical" "precise" "profound" "proper" "proud" "quick" "quiet" "reasonable" "responsible" "rigid" "rough" "sensitive" "serious" "severe" "silent" "simple" "slow" "social" "spirited" "steady" "stern" "submissive" "tender" "thoughtful" "tight" "timid" "vague" "vain" "violent" "warm" "wild" "wise"
"particular" 4 1 3 4 2 3 0 2 4 0 3 8 1 2 2 1 4 1 2 0 3 1 1 4 5 2 2 2 1 1 3 1 2 0 5 1 3 5 1 1 2 4 3 2 6 4 2 3 2 1 9 6 0 0 2 6 2 2 2 2 3 0 1 4 7 7 1 1 0 0 1 0 0 4 5 5 0 0 2 3 2 3 0 0 1 2 3 2 0 3 3
"passionate" 0 0 1 0 2 0 0 0 3 1 0 2 1 0 0 0 1 0 1 2 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 3 0 0 0 2 0 0 0 3 2 1 1 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2 1 1 0 1 0
"patient" 1 0 1 1 0 2 0 1 2 0 2 6 0 0 0 0 1 0 3 1 0 0 1 0 0 2 1 3 1 0 2 0 0 1 2 1 3 0 0 0 0 1 3 1 1 0 0 1 1 0 4 2 2 0 0 2 0 0 1 3 1 0 2 1 1 4 1 1 0 3 0 0 0 3 3 0 1 0 1 0 0 1 0 0 1 1 0 2 2 1 1
"pleasant" 0 2 4 5 2 6 1 1 6 0 4 9 5 3 5 0 1 1 0 6 3 2 1 1 4 2 4 1 2 2 1 0 2 1 2 1 2 2 2 1 1 0 2 0 6 1 1 2 2 3 6 2 6 3 2 0 0 0 1 4 2 1 3 2 6 10 1 1 1 2 0 0 2 4 3 2 2 1 1 1 0 1 0 1 1 3 2 1 3 0 1
"polished" 0 0 0 0 2 0 3 1 0 0 0 2 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 2 2 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0 0 0 1
"polite" 1 0 1 3 0 1 0 0 1 1 0 2 0 1 1 0 0 2 1 1 0 0 1 2 1 1 1 0 1 0 0 0 0 1 2 0 1 0 1 1 2 1 1 0 2 0 0 0 2 0 3 2 2 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 2 0 0 0 0 0 1 2 2 0 0 1 0 1 0 0 1 0 0 1 0 1 0
"political" 1 0 0 2 0 0 0 1 2 0 0 4 0 0 0 1 2 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 2 0 1 1 0 0 0 2 0 0 0 1 2 1 0 1 0 1 0 0 0 1 1 0 2 0 0 0 0 0 0 0 0 1 0 0 1 0 1
"practical" 1 1 1 3 1 0 0 1 6 0 0 6 1 0 1 1 1 0 1 2 2 1 0 0 0 0 0 0 2 0 0 2 1 1 1 0 1 1 1 1 0 1 3 0 2 0 2 1 0 1 2 5 2 2 3 4 0 0 2 0 0 1 1 1 2 4 0 1 0 2 0 1 1 2 0 0 1 0 1 1 0 1 1 2 0 1 1 1 0 1 0
"precise" 0 0 2 2 0 1 0 0 0 0 2 3 0 1 0 2 1 1 0 1 0 0 1 0 0 1 0 0 3 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 2 2 0 3 1 3 0 1 2 0 0 0 0 0 0 1 1 2 1 1 1 1 0 1 1 1 0 1 2 0 0 1 0 0 1 0 0 0 2 1 0 0 0 2
"profound" 0 0 0 1 1 2 0 0 0 0 1 3 0 1 0 0 0 2 0 0 0 1 0 1 0 0 0 0 1 2 1 3 0 0 2 0 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 1 1 0 0 0 1 0 1 0 0 2 1 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1
