"active" "adventurous" "affectionate" "agreeable" "amiable" "anxious" "benevolent" "bitter" "bold" "bright" "calm" "capable" "certain" "cheerful" "childish" "chivalrous" "coarse" "cold" "confused" "constant" "contented" "cool" "cruel" "deep" "distant" "docile" "eager" "earnest" "enthusiastic" "excessive" "expressive" "fearful" "firm" "gallant" "generous" "genial" "gentle" "gloomy" "harsh" "heroic" "humane" "ignorant" "impatient" "indifferent" "inquisitive" "intense" "intimate" "invincible" "kind" "lifeless" "lively" "loud" "mild" "moderate" "moral" "narrow" "natural" "nervous" "passionate" "peaceful" "placid" "pleasant" "profound" "proud" "quick" "rough" "rude" "rugged" "saintly" "selfish" "sensitive" "serene" "serious" "severe" "silent" "simple" "slow" "solemn" "steady" "thoughtful" "vain" "violent" "warm" "wild" "vivid"
"natural" 0 1 0 0 1 1 2 2 1 1 2 2 1 1 1 1 0 2 0 0 0 0 1 0 1 2 2 1 0 0 2 0 0 1 0 0 1 1 1 1 1 0 1 1 1 2 0 1 0 1 1 0 2 1 1 1 0 1 0 2 1 0 1 0 1 2 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 3 1 1 0
"nervous" 0 0 0 0 1 0 1 0 0 0 2 1 0 0 0 0 0 4 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 1 2 1 0 0 0 0 1 0 0 1 0 0 0 0 2 1 0 0 0 0 0 1 0 0 1 1 2 0 0 0 1 1 0 0 0
"passionate" 0 0 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0
"peaceful" 0 1 0 0 2 1 1 1 0 1 2 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 2 1 0 0 1 1 2 0 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 2 0 1 0
"placid" 0 0 0 0 1 2 1 1 0 1 1 0 2 3 0 0 0 1 0 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1 0 0 1 1 0 0 1
"pleasant" 2 0 1 2 1 0 1 0 0 1 2 2 1 2 0 0 2 5 1 1 1 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 4 1 2 0 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 2 1 0 1 0 0 0 0 1 1 0 2 0 0 0 1 0 2 1 1 1 1
"profound" 0 0 0 0 1 1 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 2 1 1 0 0 1 0 0 0 0 0 1 0 1 0 2 0 0 1 0 0 0 1 0 1 1
"proud" 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1
"quick" 0 0 0 1 2 0 3 0 0 0 2 1 1 1 0 0 0 3 0 2 0 0 1 2 0 1 0 1 0 1 2 0 0 0 0 0 4 0 3 1 0 0 0 0 0 2 1 0 2 2 1 2 0 0 0 0 1 2 0 0 0 1 1 0 0 1 1 0 0 0 1 2 0 0 2 0 1 0 0 0 0 1 0 0 1
"rough" 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 1 1 2 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 2 0 0 0
"rude" 1 0 1 0 3 0 2 1 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3 0 2 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"rugged" 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 1 2 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 3 0
