"afraid" "agreeable" "alone" "angry" "anxious" "ashamed" "awful" "bad" "beautiful" "blind" "bright" "busy" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "delighted" "devoted" "difficult" "excellent" "expressive" "extraordinary" "fair" "faithful" "familiar" "fine" "friendly" "generous" "gentle" "glad" "good" "gracious" "grateful" "great" "handsome" "happy" "hard" "honest" "innocent" "interested" "interesting" "kind" "little" "lovely" "modest" "natural" "neat" "old" "open" "original" "patient" "plain" "pleasant" "pleased" "poor" "pretty" "private" "proud" "quiet" "remarkable" "respectable" "rich" "ridiculous" "rough" "satisfied" "sensible" "serious" "short" "strange" "strong" "suspicious" "sweet" "terrible" "thankful" "uncomfortable" "warm" "weak" "well" "wise" "wonderful" "worthy" "young"
"little" 36 23 32 23 15 14 10 62 26 16 36 13 12 79 24 16 14 29 25 13 19 11 15 20 14 20 18 36 11 11 23 16 16 10 45 184 22 15 121 19 36 49 31 22 10 12 23 0 21 13 36 10 150 57 26 12 20 24 21 109 32 14 25 37 22 13 29 18 14 16 9 18 79 23 47 13 18 7 15 12 14 27 10 15 16 22 108
"lovely" 6 4 3 0 1 0 0 5 5 2 2 1 1 7 3 2 0 3 2 0 2 0 1 2 0 4 1 5 0 0 0 0 2 0 3 13 4 0 8 1 4 3 1 2 0 2 2 21 0 2 4 2 14 2 9 0 2 4 0 15 5 1 1 5 1 0 3 0 0 1 0 3 8 1 0 0 2 3 2 0 0 3 1 0 1 3 9
"modest" 1 1 1 0 1 0 5 2 1 0 2 1 1 6 1 1 0 1 2 2 1 1 0 0 0 1 0 2 2 0 0 1 0 0 1 10 1 0 8 0 4 2 6 4 0 1 0 13 2 0 1 3 10 3 3 1 2 2 0 5 4 1 3 2 3 0 0 1 1 1 0 1 7 1 2 0 2 3 1 1 0 1 2 1 0 1 6
"natural" 9 8 9 3 3 1 0 9 6 2 5 1 1 13 7 4 4 6 3 1 3 1 2 1 1 3 4 2 1 2 4 1 4 2 8 27 5 1 16 3 7 9 2 2 1 1 5 36 4 1 0 1 19 3 4 1 1 3 4 18 3 2 7 9 2 4 4 2 1 1 1 2 15 4 6 2 4 2 1 1 3 2 1 2 0 2 18
"neat" 1 1 0 2 2 0 0 4 2 2 1 0 1 8 3 1 1 1 0 1 0 0 2 1 1 1 0 0 2 0 2 1 0 0 1 6 1 0 6 1 2 1 3 1 0 0 2 10 2 3 1 0 7 6 2 1 2 1 1 4 3 0 0 0 0 1 0 1 1 0 0 0 4 0 0 0 1 0 0 0 0 2 0 0 1 1 6
"old" 23 18 26 13 5 11 5 45 16 9 32 11 8 63 14 14 8 24 19 6 10 8 11 12 6 14 6 19 6 9 13 15 9 7 24 120 13 8 85 11 21 36 14 13 6 10 19 150 14 10 19 7 0 42 18 8 12 15 15 70 21 10 20 25 13 6 19 8 9 10 7 4 51 12 30 6 11 6 12 9 11 20 8 10 14 13 71
"open" 10 8 7 9 4 2 4 23 5 6 11 3 3 21 2 4 6 8 4 6 2 3 3 3 6 8 3 10 2 6 7 6 2 2 7 48 5 5 31 6 5 8 7 6 2 2 5 57 2 3 3 6 42 0 7 1 5 6 5 28 7 4 3 6 2 2 3 4 4 3 2 1 16 7 12 6 6 1 4 1 2 7 3 2 3 6 28
"original" 6 5 2 1 2 1 1 7 5 2 5 2 2 7 4 0 1 3 5 2 3 0 3 1 0 3 1 4 1 3 2 0 0 1 3 25 2 0 12 0 6 0 5 3 0 2 3 26 9 3 4 2 18 7 0 0 1 3 1 15 4 0 3 2 1 1 3 2 2 1 1 1 12 4 5 0 2 3 2 1 0 5 1 0 4 4 18
"patient" 2 2 5 1 0 0 0 3 1 1 1 2 0 3 1 2 0 0 0 1 1 0 1 1 0 1 0 2 2 0 1 1 2 1 2 11 1 1 3 2 2 6 3 0 1 1 1 12 0 1 1 1 8 1 0 0 1 1 1 8 1 0 1 2 1 1 1 0 2 0 1 1 3 1 0 1 1 1 1 3 0 0 1 0 0 0 7
"plain" 2 4 2 3 2 1 0 4 2 3 0 0 1 7 3 2 0 2 3 1 2 2 2 4 0 1 2 1 2 0 2 1 1 1 5 13 1 2 12 0 6 2 3 4 0 1 2 20 2 2 1 2 12 5 1 1 0 6 2 7 4 1 2 2 0 2 1 1 1 1 2 1 2 7 4 0 2 0 1 1 1 1 2 1 1 3 8
"pleasant" 5 2 4 4 1 1 3 9 4 2 3 2 1 7 3 4 2 3 4 1 0 1 0 3 1 3 2 3 2 0 4 2 1 1 8 13 1 1 13 1 5 2 2 2 0 2 3 24 4 2 3 1 15 6 3 1 6 0 6 14 4 2 3 8 1 0 3 0 1 2 1 1 5 4 4 1 0 1 3 2 2 2 3 1 2 2 14
"pleased" 4 8 2 3 4 1 0 5 5 0 5 1 1 7 4 2 3 1 4 0 1 1 3 4 3 1 1 3 3 3 2 2 2 0 6 16 3 2 10 0 4 4 2 2 2 0 4 21 0 0 4 1 15 5 1 1 2 6 0 8 7 0 3 8 5 2 4 0 1 2 4 0 5 3 2 1 0 0 1 1 0 1 1 0 4 1 12
"poor" 19 12 16 7 4 7 6 28 15 5 20 4 6 28 7 8 4 13 11 6 7 3 4 9 7 16 3 14 6 7 10 3 6 7 24 79 10 6 55 14 15 22 10 12 4 4 12 109 15 5 18 4 70 28 15 8 7 14 8 0 16 5 8 17 4 5 14 10 6 7 5 7 35 6 19 3 12 5 10 4 6 12 5 5 6 9 51
"pretty" 6 6 4 4 0 1 2 6 9 1 8 1 0 11 4 8 1 1 5 1 3 3 2 3 3 3 0 3 1 0 2 2 0 0 6 27 3 4 18 0 10 6 4 2 1 1 2 32 5 4 3 3 21 7 4 1 4 4 7 16 0 2 3 5 2 2 4 2 2 4 2 0 10 2 5 1 2 1 2 1 0 4 0 0 5 4 17
"private" 0 2 3 1 4 1 2 4 0 0 2 1 0 5 1 1 1 3 2 0 1 0 0 0 0 1 0 1 1 0 2 4 0 0 2 8 0 1 8 1 2 2 3 0 0 1 1 14 1 1 2 0 10 4 0 0 1 2 0 5 2 0 1 0 2 0 2 2 2 0 1 1 3 3 5 2 1 0 1 2 1 1 0 4 1 0 6
"proud" 3 2 5 0 3 1 2 5 6 1 8 3 1 10 5 1 2 3 3 0 4 0 2 2 0 1 3 5 0 2 2 2 2 0 5 13 4 4 12 1 8 6 4 1 2 0 4 25 1 3 7 0 20 3 3 1 2 3 3 8 3 1 0 5 4 0 3 1 0 3 0 1 8 6 5 1 1 1 1 2 1 0 3 0 2 1 12
"quiet" 8 2 6 5 3 4 3 17 7 3 7 5 1 14 1 2 2 5 2 1 1 0 1 5 4 2 1 4 3 2 3 2 1 4 8 31 4 4 22 1 3 6 4 2 2 0 5 37 5 2 9 0 25 6 2 2 2 8 8 17 5 0 5 0 3 1 4 4 2 6 2 3 10 6 8 3 3 3 3 1 1 4 3 0 3 2 19
"remarkable" 2 2 2 0 2 0 2 4 4 0 2 1 2 9 2 0 2 0 2 1 3 1 1 5 0 3 5 3 1 0 2 3 0 0 3 17 4 2 13 2 6 4 3 3 3 3 2 22 1 3 2 0 13 2 1 1 0 1 5 4 2 2 4 3 0 2 4 2 0 1 3 1 9 2 3 2 0 1 0 1 3 2 2 1 3 3 12
"respectable" 3 1 1 0 0 0 1 6 0 0 0 1 0 3 0 0 1 1 2 3 1 0 3 1 1 3 3 0 0 1 1 0 0 0 2 11 0 1 7 1 3 3 2 1 2 1 1 13 0 0 4 1 6 2 1 1 2 0 2 5 2 0 0 1 2 0 2 2 1 1 3 0 6 1 2 0 2 0 0 1 2 1 2 0 0 1 5
"rich" 7 2 2 2 2 1 0 7 5 2 7 3 1 6 3 3 1 8 4 2 4 1 4 4 3 2 0 2 1 1 3 0 4 2 6 19 3 2 17 5 4 8 1 1 5 0 2 29 3 0 4 0 19 3 3 1 1 3 4 14 4 2 3 4 4 2 0 3 2 1 2 3 11 3 6 2 3 1 3 2 3 4 3 1 1 3 14
