"lady_lucas::determined";"william::determined"
"darcy::excessively";"george_wickham::excessively"
"darcy::excessively";"george_wickham::particulars"
"darcy::particulars";"george_wickham::excessively"
"darcy::particulars";"george_wickham::particulars"
"george_wickham::excessively";"george_wickham::particulars"
"darcy::insolent";"george_wickham::insolent"
"darcy::informed";"elizabeth::informed"
"bingley::ignorant";"darcy::ignorant"
"bingley::ignorant";"wickham::ignorant"
"darcy::ignorant";"wickham::ignorant"
"bingley::warmly";"elizabeth::warmly"
"elizabeth::confidence";"elizabeth::modest"
"elizabeth::confidence";"jane::confidence"
"elizabeth::confidence";"jane::modest"
"elizabeth::modest";"jane::confidence"
"elizabeth::modest";"jane::modest"
"jane::confidence";"jane::modest"
"bingley::just";"bingley::pleasantness"
"bingley::just";"collins::just"
"bingley::just";"collins::pleasantness"
"bingley::just";"elizabeth::pleasantness"
"bingley::just";"lucas::just"
"bingley::just";"lucas::pleasantness"
"bingley::pleasantness";"collins::just"
"bingley::pleasantness";"collins::pleasantness"
"bingley::pleasantness";"elizabeth::just"
"bingley::pleasantness";"elizabeth::pleasantness"
"bingley::pleasantness";"lucas::just"
"bingley::pleasantness";"lucas::pleasantness"
"collins::just";"collins::pleasantness"
"collins::just";"elizabeth::just"
"collins::just";"elizabeth::pleasantness"
"collins::just";"lucas::just"
"collins::just";"lucas::pleasantness"
"collins::pleasantness";"elizabeth::just"
"collins::pleasantness";"elizabeth::pleasantness"
"collins::pleasantness";"lucas::just"
"collins::pleasantness";"lucas::pleasantness"
"elizabeth::just";"elizabeth::pleasantness"
"elizabeth::just";"lucas::just"
"elizabeth::just";"lucas::pleasantness"
"elizabeth::pleasantness";"lucas::just"
"elizabeth::pleasantness";"lucas::pleasantness"
"lucas::just";"lucas::pleasantness"
"de_bourgh::gentleman";"lady_catherine::gentleman"
"darcy::compliment";"darcy::consider"
"darcy::compliment";"darcy::impertinent"
"darcy::compliment";"elizabeth::compliment"
"darcy::compliment";"elizabeth::consider"
"darcy::compliment";"elizabeth::impertinent"
"darcy::consider";"darcy::impertinent"
"darcy::consider";"elizabeth::compliment"
"darcy::consider";"elizabeth::consider"
"darcy::consider";"elizabeth::impertinent"
"darcy::impertinent";"elizabeth::compliment"
"darcy::impertinent";"elizabeth::consider"
"darcy::impertinent";"elizabeth::impertinent"
"elizabeth::compliment";"elizabeth::consider"
"elizabeth::compliment";"elizabeth::impertinent"
"elizabeth::consider";"elizabeth::impertinent"
"collins::consider";"collins::determined"
"collins::consider";"collins::proper"
"collins::consider";"collins::understanding"
"collins::consider";"elizabeth::consider"
"collins::consider";"elizabeth::determined"
"collins::consider";"elizabeth::proper"
"collins::consider";"elizabeth::understanding"
"collins::determined";"collins::proper"
"collins::determined";"collins::understanding"
"collins::determined";"elizabeth::consider"
"collins::determined";"elizabeth::determined"
"collins::determined";"elizabeth::proper"
"collins::determined";"elizabeth::understanding"
"collins::proper";"collins::understanding"
"collins::proper";"elizabeth::consider"
"collins::proper";"elizabeth::determined"
"collins::proper";"elizabeth::understanding"
"collins::understanding";"elizabeth::consider"
"collins::understanding";"elizabeth::determined"
"collins::understanding";"elizabeth::proper"
"collins::understanding";"elizabeth::understanding"
"elizabeth::consider";"elizabeth::determined"
"elizabeth::consider";"elizabeth::proper"
"elizabeth::consider";"elizabeth::understanding"
"elizabeth::determined";"elizabeth::proper"
"elizabeth::determined";"elizabeth::understanding"
"elizabeth::proper";"elizabeth::understanding"
"collins::#-discouraged";"darcy::#-discouraged"
"collins::dissatisfied";"elizabeth::dissatisfied"
"bingley::agreeable";"bingley::reflections"
"bingley::agreeable";"elizabeth::agreeable"
"bingley::agreeable";"elizabeth::reflections"
"bingley::agreeable";"jane::agreeable"
"bingley::agreeable";"jane::reflections"
"bingley::reflections";"elizabeth::agreeable"
"bingley::reflections";"elizabeth::reflections"
"bingley::reflections";"jane::agreeable"
"bingley::reflections";"jane::reflections"
"elizabeth::agreeable";"elizabeth::reflections"
"elizabeth::agreeable";"jane::agreeable"
"elizabeth::agreeable";"jane::reflections"
"elizabeth::reflections";"jane::agreeable"
"elizabeth::reflections";"jane::reflections"
"jane::agreeable";"jane::reflections"
"bingley::#-determined";"elizabeth::#-determined"
"bingley::#-determined";"jane::#-determined"
"elizabeth::#-determined";"jane::#-determined"
"darcy::inexpressible";"darcy::vain"
"darcy::inexpressible";"elizabeth::inexpressible"
"darcy::inexpressible";"elizabeth::vain"
"darcy::vain";"elizabeth::inexpressible"
"darcy::vain";"elizabeth::vain"
"elizabeth::inexpressible";"elizabeth::vain"
"darcy::#-civility";"darcy::particular"
"bennet::chicken";"bennet::cold"
"bennet::chicken";"lady_lucas::chicken"
"bennet::chicken";"lady_lucas::cold"
"bennet::cold";"lady_lucas::chicken"
"bennet::cold";"lady_lucas::cold"
"lady_lucas::chicken";"lady_lucas::cold"
"--_elizabeth::affected--elizabeth";"mary::affected--elizabeth"
"collins::consider";"collins::obliging"
"collins::consider";"collins::pleasure"
"collins::obliging";"collins::pleasure"
"bennet::clever";"bennet::kind"
"bennet::clever";"bennet::seriously"
"bennet::clever";"collins::clever"
"bennet::clever";"collins::kind"
"bennet::clever";"collins::seriously"
"bennet::clever";"lady_lucas::clever"
"bennet::clever";"lady_lucas::kind"
"bennet::clever";"lady_lucas::seriously"
"bennet::kind";"bennet::seriously"
"bennet::kind";"collins::clever"
"bennet::kind";"collins::kind"
"bennet::kind";"collins::seriously"
"bennet::kind";"lady_lucas::clever"
"bennet::kind";"lady_lucas::kind"
"bennet::kind";"lady_lucas::seriously"
"bennet::seriously";"collins::clever"
"bennet::seriously";"collins::kind"
"bennet::seriously";"collins::seriously"
"bennet::seriously";"lady_lucas::clever"
"bennet::seriously";"lady_lucas::kind"
"bennet::seriously";"lady_lucas::seriously"
"collins::clever";"collins::kind"
"collins::clever";"collins::seriously"
"collins::clever";"lady_lucas::clever"
"collins::clever";"lady_lucas::kind"
"collins::clever";"lady_lucas::seriously"
"collins::kind";"collins::seriously"
"collins::kind";"lady_lucas::clever"
"collins::kind";"lady_lucas::kind"
"collins::kind";"lady_lucas::seriously"
"collins::seriously";"lady_lucas::clever"
"collins::seriously";"lady_lucas::kind"
"collins::seriously";"lady_lucas::seriously"
"lady_lucas::clever";"lady_lucas::kind"
"lady_lucas::clever";"lady_lucas::seriously"
"lady_lucas::kind";"lady_lucas::seriously"
"bingley::exhibition";"elizabeth::exhibition"
"darcy::#-determine";"darcy::gentleman"
"darcy::#-determine";"darcy::insolent"
"darcy::#-determine";"darcy::intolerable"
"darcy::#-determine";"darcy::opportunity"
"darcy::#-determine";"darcy::silent"
"darcy::gentleman";"darcy::insolent"
"darcy::gentleman";"darcy::intolerable"
"darcy::gentleman";"darcy::opportunity"
"darcy::gentleman";"darcy::silent"
"darcy::insolent";"darcy::intolerable"
"darcy::insolent";"darcy::opportunity"
"darcy::insolent";"darcy::silent"
"darcy::intolerable";"darcy::opportunity"
"darcy::intolerable";"darcy::silent"
"darcy::opportunity";"darcy::silent"
"collins::assured";"collins::indifferent"
"collins::conversation";"lucas::conversation"
"hurst::complain";"hurst::impatient"
"bingley::detached";"jane::detached"
"elizabeth::steady";"elizabeth::violent"
"elizabeth::steady";"hurst::steady"
"elizabeth::steady";"hurst::violent"
"elizabeth::steady";"lydia::steady"
"elizabeth::steady";"lydia::violent"
"elizabeth::violent";"hurst::steady"
"elizabeth::violent";"hurst::violent"
"elizabeth::violent";"lydia::steady"
"elizabeth::violent";"lydia::violent"
"hurst::steady";"hurst::violent"
"hurst::steady";"lydia::steady"
"hurst::steady";"lydia::violent"
"hurst::violent";"lydia::steady"
"hurst::violent";"lydia::violent"
"lydia::steady";"lydia::violent"
"bingley::opportunity";"bingley::pleasure"
"collins::business";"collins::observances"
"collins::business";"collins::orderly"
"collins::observances";"collins::orderly"
"elizabeth::modesty";"elizabeth::perfections"
"collins::solemn";"elizabeth::solemn"
"jenkinson::condescended";"miss_de_bourgh::condescended"
"catherine::certain";"collins::certain"
"collins::warmth";"elizabeth::warmth"
"collins::directly";"lizzy::directly"
"bennet::excessively";"elizabeth::excessively"
"elizabeth::determination";"jane::determination"
"lucas::cruelly";"lucas::melancholy"
"bennet::conversation--\"oh!";"bennet::doleful"
"collins::silent";"madam::silent"
"bennet::authority";"bennet::compliment"
"bennet::authority";"bennet::consider"
"bennet::authority";"bennet::disrespect"
"bennet::compliment";"bennet::consider"
"bennet::compliment";"bennet::disrespect"
"bennet::consider";"bennet::disrespect"
"collins::peevish";"elizabeth::peevish"
"collins::gentleman";"collins::resentful"
"collins::gentleman";"elizabeth::gentleman"
"collins::gentleman";"elizabeth::resentful"
"collins::resentful";"elizabeth::gentleman"
"collins::resentful";"elizabeth::resentful"
"elizabeth::gentleman";"elizabeth::resentful"
"elizabeth::elegant";"elizabeth::particular"
"bingley::distrust";"bingley::expressions"
"bingley::distrust";"elizabeth::distrust"
"bingley::distrust";"elizabeth::expressions"
"bingley::distrust";"jane::distrust"
"bingley::distrust";"jane::expressions"
"bingley::expressions";"elizabeth::distrust"
"bingley::expressions";"elizabeth::expressions"
"bingley::expressions";"jane::distrust"
"bingley::expressions";"jane::expressions"
"elizabeth::distrust";"elizabeth::expressions"
"elizabeth::distrust";"jane::distrust"
"elizabeth::distrust";"jane::expressions"
"elizabeth::expressions";"jane::distrust"
"elizabeth::expressions";"jane::expressions"
"jane::distrust";"jane::expressions"
"darcy::eager";"darcy::impatient"
"georgiana_darcy::accomplishments";"georgiana_darcy::affection"
"georgiana_darcy::accomplishments";"louisa::accomplishments"
"georgiana_darcy::accomplishments";"louisa::affection"
"georgiana_darcy::affection";"louisa::accomplishments"
"georgiana_darcy::affection";"louisa::affection"
"louisa::accomplishments";"louisa::affection"
"bingley::seriously";"darcy::seriously"
"bingley::seriously";"jane::seriously"
"darcy::seriously";"jane::seriously"
"elizabeth::deliberation";"elizabeth::disobliging"
"elizabeth::deliberation";"elizabeth::mature"
"elizabeth::disobliging";"elizabeth::mature"
"bingley::affection";"jane::affection"
"bennet::kind";"elizabeth::kind"
"bennet::kind";"jane::kind"
"bennet::kind";"kitty::kind"
"bennet::kind";"lydia::kind"
"bennet::kind";"mary::kind"
"bennet::kind";"william::kind"
"collins::kind";"elizabeth::kind"
"collins::kind";"jane::kind"
"collins::kind";"kitty::kind"
"collins::kind";"lucas::kind"
"collins::kind";"lydia::kind"
"collins::kind";"mary::kind"
"collins::kind";"william::kind"
"elizabeth::kind";"kitty::kind"
"elizabeth::kind";"lady_lucas::kind"
"elizabeth::kind";"lucas::kind"
"elizabeth::kind";"lydia::kind"
"elizabeth::kind";"mary::kind"
"elizabeth::kind";"william::kind"
"jane::kind";"kitty::kind"
"jane::kind";"lady_lucas::kind"
"jane::kind";"lucas::kind"
"jane::kind";"lydia::kind"
"jane::kind";"mary::kind"
"jane::kind";"william::kind"
"kitty::kind";"lady_lucas::kind"
"kitty::kind";"lucas::kind"
"kitty::kind";"lydia::kind"
"kitty::kind";"mary::kind"
"kitty::kind";"william::kind"
"lady_lucas::kind";"lucas::kind"
"lady_lucas::kind";"lydia::kind"
"lady_lucas::kind";"mary::kind"
"lady_lucas::kind";"william::kind"
"lucas::kind";"lydia::kind"
"lucas::kind";"mary::kind"
"lucas::kind";"william::kind"
"lydia::kind";"mary::kind"
"lydia::kind";"william::kind"
"mary::kind";"william::kind"
"collins::amiable";"collins::kindness"
"collins::amiable";"elizabeth::amiable"
"collins::amiable";"elizabeth::kindness"
"collins::kindness";"elizabeth::amiable"
"collins::kindness";"elizabeth::kindness"
"elizabeth::amiable";"elizabeth::kindness"
"lucas::independence";"lucas::slyness"
"madam::certain";"madam::particularly"
"bennet::speedy";"catherine::speedy"
"bennet::understand";"mary::understand"
"bennet::agreeable";"bennet::clever"
"bennet::agreeable";"bennet::companion"
"bennet::agreeable";"bennet::reflections"
"bennet::agreeable";"mary::agreeable"
"bennet::agreeable";"mary::clever"
"bennet::agreeable";"mary::companion"
"bennet::agreeable";"mary::reflections"
"bennet::clever";"bennet::companion"
"bennet::clever";"bennet::reflections"
"bennet::clever";"mary::agreeable"
"bennet::clever";"mary::clever"
"bennet::clever";"mary::companion"
"bennet::clever";"mary::reflections"
"bennet::companion";"bennet::reflections"
"bennet::companion";"mary::agreeable"
"bennet::companion";"mary::clever"
"bennet::companion";"mary::companion"
"bennet::companion";"mary::reflections"
"bennet::reflections";"mary::agreeable"
"bennet::reflections";"mary::clever"
"bennet::reflections";"mary::companion"
"bennet::reflections";"mary::reflections"
"mary::agreeable";"mary::clever"
"mary::agreeable";"mary::companion"
"mary::agreeable";"mary::reflections"
"mary::clever";"mary::companion"
"mary::clever";"mary::reflections"
"mary::companion";"mary::reflections"
"collins::calmly";"collins::direct"
"collins::calmly";"collins::reproach"
"collins::calmly";"collins::steady"
"collins::calmly";"eliza::calmly"
"collins::calmly";"eliza::direct"
"collins::calmly";"eliza::reproach"
"collins::calmly";"eliza::steady"
"collins::calmly";"lucas::calmly"
"collins::calmly";"lucas::direct"
"collins::calmly";"lucas::reproach"
"collins::calmly";"lucas::steady"
"collins::direct";"collins::reproach"
"collins::direct";"collins::steady"
"collins::direct";"eliza::calmly"
"collins::direct";"eliza::direct"
"collins::direct";"eliza::reproach"
"collins::direct";"eliza::steady"
"collins::direct";"lucas::calmly"
"collins::direct";"lucas::direct"
"collins::direct";"lucas::reproach"
"collins::direct";"lucas::steady"
"collins::reproach";"collins::steady"
"collins::reproach";"eliza::calmly"
"collins::reproach";"eliza::direct"
"collins::reproach";"eliza::reproach"
"collins::reproach";"eliza::steady"
"collins::reproach";"lucas::calmly"
"collins::reproach";"lucas::direct"
"collins::reproach";"lucas::reproach"
"collins::reproach";"lucas::steady"
"collins::steady";"eliza::calmly"
"collins::steady";"eliza::direct"
"collins::steady";"eliza::reproach"
"collins::steady";"eliza::steady"
"collins::steady";"lucas::calmly"
"collins::steady";"lucas::direct"
"collins::steady";"lucas::reproach"
"collins::steady";"lucas::steady"
"eliza::calmly";"eliza::direct"
"eliza::calmly";"eliza::reproach"
"eliza::calmly";"eliza::steady"
"eliza::calmly";"lucas::calmly"
"eliza::calmly";"lucas::direct"
"eliza::calmly";"lucas::reproach"
"eliza::calmly";"lucas::steady"
"eliza::direct";"eliza::reproach"
"eliza::direct";"eliza::steady"
"eliza::direct";"lucas::calmly"
"eliza::direct";"lucas::direct"
"eliza::direct";"lucas::reproach"
"eliza::direct";"lucas::steady"
"eliza::reproach";"eliza::steady"
"eliza::reproach";"lucas::calmly"
"eliza::reproach";"lucas::direct"
"eliza::reproach";"lucas::reproach"
"eliza::reproach";"lucas::steady"
"eliza::steady";"lucas::calmly"
"eliza::steady";"lucas::direct"
"eliza::steady";"lucas::reproach"
"eliza::steady";"lucas::steady"
"lucas::calmly";"lucas::direct"
"lucas::calmly";"lucas::reproach"
"lucas::calmly";"lucas::steady"
"lucas::direct";"lucas::reproach"
"lucas::direct";"lucas::steady"
"lucas::reproach";"lucas::steady"
"collins::#-exactly";"collins::worldly"
"elizabeth::reflecting";"william_lucas::reflecting"
"collins::earnestness";"collins::forward"
"collins::earnestness";"collins::knowledge"
"collins::earnestness";"collins::unpleasant"
"collins::earnestness";"elizabeth::earnestness"
"collins::earnestness";"elizabeth::forward"
"collins::earnestness";"elizabeth::knowledge"
"collins::earnestness";"elizabeth::unpleasant"
"collins::earnestness";"jane::earnestness"
"collins::earnestness";"jane::forward"
"collins::earnestness";"jane::knowledge"
"collins::earnestness";"jane::unpleasant"
"collins::earnestness";"william::earnestness"
"collins::earnestness";"william::forward"
"collins::earnestness";"william::knowledge"
"collins::earnestness";"william::unpleasant"
"collins::forward";"collins::knowledge"
"collins::forward";"collins::unpleasant"
"collins::forward";"elizabeth::earnestness"
"collins::forward";"elizabeth::forward"
"collins::forward";"elizabeth::knowledge"
"collins::forward";"elizabeth::unpleasant"
"collins::forward";"jane::earnestness"
"collins::forward";"jane::forward"
"collins::forward";"jane::knowledge"
"collins::forward";"jane::unpleasant"
"collins::forward";"william::earnestness"
"collins::forward";"william::forward"
"collins::forward";"william::knowledge"
"collins::forward";"william::unpleasant"
"collins::knowledge";"collins::unpleasant"
"collins::knowledge";"elizabeth::earnestness"
"collins::knowledge";"elizabeth::forward"
"collins::knowledge";"elizabeth::knowledge"
"collins::knowledge";"elizabeth::unpleasant"
"collins::knowledge";"jane::earnestness"
"collins::knowledge";"jane::forward"
"collins::knowledge";"jane::knowledge"
"collins::knowledge";"jane::unpleasant"
"collins::knowledge";"william::earnestness"
"collins::knowledge";"william::forward"
"collins::knowledge";"william::knowledge"
"collins::knowledge";"william::unpleasant"
"collins::unpleasant";"elizabeth::earnestness"
"collins::unpleasant";"elizabeth::forward"
"collins::unpleasant";"elizabeth::knowledge"
"collins::unpleasant";"elizabeth::unpleasant"
"collins::unpleasant";"jane::earnestness"
"collins::unpleasant";"jane::forward"
"collins::unpleasant";"jane::knowledge"
"collins::unpleasant";"jane::unpleasant"
"collins::unpleasant";"william::earnestness"
"collins::unpleasant";"william::forward"
"collins::unpleasant";"william::knowledge"
"collins::unpleasant";"william::unpleasant"
"elizabeth::earnestness";"elizabeth::forward"
"elizabeth::earnestness";"elizabeth::knowledge"
"elizabeth::earnestness";"elizabeth::unpleasant"
"elizabeth::earnestness";"jane::earnestness"
"elizabeth::earnestness";"jane::forward"
"elizabeth::earnestness";"jane::knowledge"
"elizabeth::earnestness";"jane::unpleasant"
"elizabeth::earnestness";"william::earnestness"
"elizabeth::earnestness";"william::forward"
"elizabeth::earnestness";"william::knowledge"
"elizabeth::earnestness";"william::unpleasant"
"elizabeth::forward";"elizabeth::knowledge"
"elizabeth::forward";"elizabeth::unpleasant"
"elizabeth::forward";"jane::earnestness"
"elizabeth::forward";"jane::forward"
"elizabeth::forward";"jane::knowledge"
"elizabeth::forward";"jane::unpleasant"
"elizabeth::forward";"william::earnestness"
"elizabeth::forward";"william::forward"
"elizabeth::forward";"william::knowledge"
"elizabeth::forward";"william::unpleasant"
"elizabeth::knowledge";"elizabeth::unpleasant"
"elizabeth::knowledge";"jane::earnestness"
"elizabeth::knowledge";"jane::forward"
"elizabeth::knowledge";"jane::knowledge"
"elizabeth::knowledge";"jane::unpleasant"
"elizabeth::knowledge";"william::earnestness"
"elizabeth::knowledge";"william::forward"
"elizabeth::knowledge";"william::knowledge"
"elizabeth::knowledge";"william::unpleasant"
"elizabeth::unpleasant";"jane::earnestness"
"elizabeth::unpleasant";"jane::forward"
"elizabeth::unpleasant";"jane::knowledge"
"elizabeth::unpleasant";"jane::unpleasant"
"elizabeth::unpleasant";"william::earnestness"
"elizabeth::unpleasant";"william::forward"
"elizabeth::unpleasant";"william::knowledge"
"elizabeth::unpleasant";"william::unpleasant"
"jane::earnestness";"jane::forward"
"jane::earnestness";"jane::knowledge"
"jane::earnestness";"jane::unpleasant"
"jane::earnestness";"william::earnestness"
"jane::earnestness";"william::forward"
"jane::earnestness";"william::knowledge"
"jane::earnestness";"william::unpleasant"
"jane::forward";"jane::knowledge"
"jane::forward";"jane::unpleasant"
"jane::forward";"william::earnestness"
"jane::forward";"william::forward"
"jane::forward";"william::knowledge"
"jane::forward";"william::unpleasant"
"jane::knowledge";"jane::unpleasant"
"jane::knowledge";"william::earnestness"
"jane::knowledge";"william::forward"
"jane::knowledge";"william::knowledge"
"jane::knowledge";"william::unpleasant"
"jane::unpleasant";"william::earnestness"
"jane::unpleasant";"william::forward"
"jane::unpleasant";"william::knowledge"
"jane::unpleasant";"william::unpleasant"
"william::earnestness";"william::forward"
"william::earnestness";"william::knowledge"
"william::earnestness";"william::unpleasant"
"william::forward";"william::knowledge"
"william::forward";"william::unpleasant"
"william::knowledge";"william::unpleasant"
"elizabeth::rude";"lucas::rude"
"elizabeth::rude";"william::rude"
"lucas::rude";"william::rude"
"bennet::agreeable";"bennet::foolish"
"bennet::agreeable";"charlotte_lucas::agreeable"
"bennet::agreeable";"charlotte_lucas::foolish"
"bennet::foolish";"charlotte_lucas::agreeable"
"bennet::foolish";"charlotte_lucas::foolish"
"charlotte_lucas::agreeable";"charlotte_lucas::foolish"
"collins::affected";"kitty::affected"
"collins::affected";"lucas::affected"
"collins::affected";"lydia::affected"
"kitty::affected";"lucas::affected"
"kitty::affected";"lydia::affected"
"lucas::affected";"lydia::affected"
"bennet::sour";"lucas::sour"
"caroline::reasonably";"jane::reasonably"
"bennet::complain";"bennet::contrary"
"bennet::complain";"collins::complain"
"bennet::complain";"collins::contrary"
"bennet::contrary";"collins::complain"
"bennet::contrary";"collins::contrary"
"collins::complain";"collins::contrary"
"bennet::indifferent";"collins::indifferent"
"bennet::gentle";"bingley::gentle"
"bingley::indifferent--but";"elizabeth::indifferent--but"
"bennet::bitterly";"bennet::complained"
"bennet::bitterly";"charlotte::bitterly"
"bennet::bitterly";"charlotte::complained"
"bennet::bitterly";"collins::bitterly"
"bennet::bitterly";"collins::complained"
"bennet::complained";"charlotte::bitterly"
"bennet::complained";"charlotte::complained"
"bennet::complained";"collins::bitterly"
"bennet::complained";"collins::complained"
"charlotte::bitterly";"charlotte::complained"
"charlotte::bitterly";"collins::bitterly"
"charlotte::bitterly";"collins::complained"
"charlotte::complained";"collins::bitterly"
"charlotte::complained";"collins::complained"
"collins::bitterly";"collins::complained"
"bennet::live";"charlotte_lucas::live"
"bennet::#-understand";"bennet::determine\""
"bennet::#-understand";"collins::#-understand"
"bennet::#-understand";"collins::determine\""
"bennet::determine\"";"collins::#-understand"
"bennet::determine\"";"collins::determine\""
"collins::#-understand";"collins::determine\""
"elizabeth::communicated";"elizabeth::silent"
"elizabeth::communicated";"jane::communicated"
"elizabeth::communicated";"jane::silent"
"elizabeth::silent";"jane::communicated"
"elizabeth::silent";"jane::silent"
"jane::communicated";"jane::silent"
"bingley::affected";"bingley::materially"
"bingley::affected";"jane::affected"
"bingley::affected";"jane::materially"
"bingley::materially";"jane::affected"
"bingley::materially";"jane::materially"
"jane::affected";"jane::materially"
"bennet::reflections";"elizabeth::reflections"
"bennet::reflections";"jane::reflections"
"jane::amiable";"jane::live"
"collins::prudent";"collins::steady"
"bingley::scheming";"elizabeth::scheming"
"bennet::considering";"elizabeth::considering"
"gardiner::agreeable";"gardiner::lived"
"elizabeth::conversation";"gardiner::conversation"
"gardiner::conversation";"jane::conversation"
"darcy::live";"jane::live"
"jane::affection";"jane::natural"
"bennet::pleasure";"bingley::pleasure"
"bennet::pleasure";"caroline::pleasure"
"bingley::pleasure";"caroline::pleasure"
"elizabeth::imprudence";"elizabeth::seriously"
"gardiner::pleasure";"wickham::pleasure"
"gardiner::considerable";"wickham::considerable"
"darcy::intelligence";"wickham::intelligence"
"bennet::approaching";"collins::approaching"
"bennet::approaching";"gardiner::approaching"
"bennet::approaching";"jane::approaching"
"bennet::approaching";"lady_lucas::approaching"
"bennet::approaching";"lucas::approaching"
"collins::approaching";"gardiner::approaching"
"collins::approaching";"jane::approaching"
"collins::approaching";"lady_lucas::approaching"
"collins::approaching";"lucas::approaching"
"gardiner::approaching";"jane::approaching"
"gardiner::approaching";"lady_lucas::approaching"
"gardiner::approaching";"lucas::approaching"
"jane::approaching";"lady_lucas::approaching"
"jane::approaching";"lucas::approaching"
"lady_lucas::approaching";"lucas::approaching"
"elizabeth::affected";"elizabeth::sincerely"
"elizabeth::affected";"elizabeth::ungracious"
"elizabeth::affected";"lucas::affected"
"elizabeth::affected";"lucas::sincerely"
"elizabeth::affected";"lucas::ungracious"
"elizabeth::sincerely";"elizabeth::ungracious"
"elizabeth::sincerely";"lucas::affected"
"elizabeth::sincerely";"lucas::sincerely"
"elizabeth::sincerely";"lucas::ungracious"
"elizabeth::ungracious";"lucas::affected"
"elizabeth::ungracious";"lucas::sincerely"
"elizabeth::ungracious";"lucas::ungracious"
"lucas::affected";"lucas::sincerely"
"lucas::affected";"lucas::ungracious"
"lucas::sincerely";"lucas::ungracious"
"charlotte::eagerness";"charlotte::exactly"
"charlotte::eagerness";"elizabeth::eagerness"
"charlotte::eagerness";"elizabeth::exactly"
"charlotte::eagerness";"lady_catherine::eagerness"
"charlotte::eagerness";"lady_catherine::exactly"
"charlotte::exactly";"elizabeth::eagerness"
"charlotte::exactly";"elizabeth::exactly"
"charlotte::exactly";"lady_catherine::eagerness"
"charlotte::exactly";"lady_catherine::exactly"
"elizabeth::eagerness";"elizabeth::exactly"
"elizabeth::eagerness";"lady_catherine::eagerness"
"elizabeth::eagerness";"lady_catherine::exactly"
"elizabeth::exactly";"lady_catherine::eagerness"
"elizabeth::exactly";"lady_catherine::exactly"
"lady_catherine::eagerness";"lady_catherine::exactly"
"charlotte::cheerfully";"elizabeth::cheerfully"
"charlotte::cheerfully";"lady_catherine::cheerfully"
"elizabeth::cheerfully";"lady_catherine::cheerfully"
"collins::rationally";"elizabeth::rationally"
"collins::rationally";"rosings::rationally"
"elizabeth::rationally";"rosings::rationally"
"caroline::opportunity";"jane::opportunity"
"caroline::giving";"caroline::reproached"
"bingley::certainty";"bingley::giving"
"elizabeth::considered";"jane::considered"
"darcy::seriously";"wickham::seriously"
"jane::seriously";"wickham::seriously"
"elizabeth::gentleman";"elizabeth::information"
"elizabeth::gentleman";"gardiner::gentleman"
"elizabeth::gentleman";"gardiner::information"
"elizabeth::information";"gardiner::gentleman"
"elizabeth::information";"gardiner::information"
"gardiner::gentleman";"gardiner::information"
"elizabeth::acquisition";"elizabeth::agreeable"
"elizabeth::acquisition";"elizabeth::independence"
"elizabeth::agreeable";"elizabeth::independence"
"gardiner::#-cordial";"gardiner::impartial"
"catherine_de_bourgh::amiable";"catherine_de_bourgh::sincere"
"catherine_de_bourgh::amiable";"elizabeth::amiable"
"catherine_de_bourgh::amiable";"elizabeth::sincere"
"catherine_de_bourgh::sincere";"elizabeth::amiable"
"catherine_de_bourgh::sincere";"elizabeth::sincere"
"elizabeth::amiable";"elizabeth::sincere"
"elizabeth::earnestly";"gardiner::earnestly"
"elizabeth::earnestly";"jane::earnestly"
"gardiner::earnestly";"jane::earnestly"
"elizabeth::eagerness";"elizabeth::shyness"
"elizabeth::eagerness";"gardiner::eagerness"
"elizabeth::eagerness";"gardiner::shyness"
"elizabeth::eagerness";"jane::eagerness"
"elizabeth::eagerness";"jane::shyness"
"elizabeth::shyness";"gardiner::eagerness"
"elizabeth::shyness";"gardiner::shyness"
"elizabeth::shyness";"jane::eagerness"
"elizabeth::shyness";"jane::shyness"
"gardiner::eagerness";"gardiner::shyness"
"gardiner::eagerness";"jane::eagerness"
"gardiner::eagerness";"jane::shyness"
"gardiner::shyness";"jane::eagerness"
"gardiner::shyness";"jane::shyness"
"jane::eagerness";"jane::shyness"
"gardiner::complimented";"wickham::complimented"
"elizabeth::foolish\"";"elizabeth::mercenary"
"elizabeth::acceptance";"elizabeth::agreeable"
"collins::civility";"collins::formal"
"collins::civility";"collins::just"
"collins::civility";"elizabeth::formal"
"collins::civility";"elizabeth::just"
"collins::formal";"collins::just"
"collins::formal";"elizabeth::civility"
"collins::formal";"elizabeth::formal"
"collins::formal";"elizabeth::just"
"collins::just";"elizabeth::civility"
"collins::just";"elizabeth::formal"
"elizabeth::civility";"elizabeth::formal"
"elizabeth::civility";"elizabeth::just"
"elizabeth::formal";"elizabeth::just"
"elizabeth::cheerful";"elizabeth::companion"
"charlotte::opportunity";"collins::opportunity"
"charlotte::opportunity";"william::opportunity"
"collins::opportunity";"william::opportunity"
"catherine_de_bourgh::condescension";"collins::condescension"
"catherine_de_bourgh::condescension";"elizabeth::condescension"
"collins::condescension";"elizabeth::condescension"
"elizabeth::questions";"elizabeth::vain"
"elizabeth::questions";"maria::questions"
"elizabeth::questions";"maria::vain"
"elizabeth::vain";"maria::questions"
"elizabeth::vain";"maria::vain"
"maria::questions";"maria::vain"
"de_bourgh::proper";"elizabeth::proper"
